make,model,ModelType,ModelTypeLink
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-145-specs/73534
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 145 specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-145-specs/73535
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-165-turismo-specs/73536
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 165 Turismo specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-165-turismo-specs/73537
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-180-competizione-specs/73538
Abarth,Abarth 595 Cabrio,2016 Abarth 595 Cabrio 1.4 T-Jet 180 Competizione specs,https://www.cars-data.com/en/abarth-595-cabrio-1-4-t-jet-180-competizione-specs/73539
Aiways,Aiways U5,2020 Aiways U5 Standaard specs,https://www.cars-data.com/en/aiways-u5-standaard-specs/84688
Aiways,Aiways U5,2020 Aiways U5 Showroom specs,https://www.cars-data.com/en/aiways-u5-showroom-specs/84689
Aiways,Aiways U5,2020 Aiways U5 Premium specs,https://www.cars-data.com/en/aiways-u5-premium-specs/84690
Alfa Romeo,Alfa Romeo 4C Spider,2015 Alfa Romeo 4C Spider 1.750 Tbi specs,https://www.cars-data.com/en/alfa-romeo-4c-spider-1-750-tbi-specs/66221
Alpine,Alpine A110,2018 Alpine A110 Pure specs,https://www.cars-data.com/en/alpine-a110-pure-specs/85884
Alpine,Alpine A110,2018 Alpine A110 Legende specs,https://www.cars-data.com/en/alpine-a110-legende-specs/85885
Alpine,Alpine A110,2018 Alpine A110 Premiere Edition specs,https://www.cars-data.com/en/alpine-a110-premiere-edition-specs/85886
Asia Motors,Asia Motors Rocsta,1993 Asia Motors Rocsta 1.8 Softtop specs,https://www.cars-data.com/en/asia-motors-rocsta-1-8-softtop-specs/68781
Asia Motors,Asia Motors Rocsta,1993 Asia Motors Rocsta 1.8 Hardtop specs,https://www.cars-data.com/en/asia-motors-rocsta-1-8-hardtop-specs/59624
Asia Motors,Asia Motors Rocsta,1993 Asia Motors Rocsta 2.2 Diesel Softtop specs,https://www.cars-data.com/en/asia-motors-rocsta-2-2-diesel-softtop-specs/68782
Asia Motors,Asia Motors Rocsta,1993 Asia Motors Rocsta 2.2 Diesel Hardtop specs,https://www.cars-data.com/en/asia-motors-rocsta-2-2-diesel-hardtop-specs/59625
Aston Martin,Aston Martin DB11 Coupe,2016 Aston Martin DB11 5.2 V12 Coupe specs,https://www.cars-data.com/en/aston-martin-db11-5-2-v12-coupe-specs/73540
Audi,Audi RS5 Sportback,2019 Audi RS5 Sportback 2.9 TFSI Quattro specs,https://www.cars-data.com/en/audi-rs5-sportback-2-9-tfsi-quattro-specs/80343
Austin,Austin Maestro,1983 Austin Maestro 1.3 Special specs,https://www.cars-data.com/en/austin-maestro-1-3-special-specs/59627
Austin,Austin Maestro,1983 Austin Maestro 1.3 specs,https://www.cars-data.com/en/austin-maestro-1-3-specs/59628
Autobianchi,Autobianchi A112,1980 Autobianchi A112 Junior specs,https://www.cars-data.com/en/autobianchi-a112-junior-specs/59681
Autobianchi,Autobianchi A112,1980 Autobianchi A112 Elegante specs,https://www.cars-data.com/en/autobianchi-a112-elegante-specs/59682
Autobianchi,Autobianchi A112,1980 Autobianchi A112 Elite specs,https://www.cars-data.com/en/autobianchi-a112-elite-specs/59683
Autobianchi,Autobianchi A112,1980 Autobianchi A112 Abarth specs,https://www.cars-data.com/en/autobianchi-a112-abarth-specs/59684
Bentley,Bentley Continental GT Convertible,2012 Bentley Continental GT Convertible V8 specs,https://www.cars-data.com/en/bentley-continental-gt-convertible-v8-specs/66597
