make,model,ModelLink
Abarth,Abarth 595 Cabrio,https://www.cars-data.com/en/abarth-595-cabrio-2016/3562
Aiways,Aiways U5,https://www.cars-data.com/en/aiways-u5-2020/4733
Alfa Romeo,Alfa Romeo 4C Spider,https://www.cars-data.com/en/alfa-romeo-4c-spider-2015/3254
Alpine,Alpine A110,https://www.cars-data.com/en/alpine-a110-2018/4517
Asia Motors,Asia Motors Rocsta,https://www.cars-data.com/en/asia-motors-rocsta-1993/3025
Aston Martin,Aston Martin DB11 Coupe,https://www.cars-data.com/en/aston-martin-db11-coupe-2016/3563
Audi,Audi RS5 Sportback,https://www.cars-data.com/en/audi-rs5-sportback-2019/4128
Austin,Austin Maestro,https://www.cars-data.com/en/austin-maestro-1983/3026
Autobianchi,Autobianchi A112,https://www.cars-data.com/en/autobianchi-a112-1980/3035
Bentley,Bentley Continental GT Convertible,https://www.cars-data.com/en/bentley-continental-gt-convertible-2012/3273
BMW,BMW 8-series Cabrio,https://www.cars-data.com/en/bmw-8-series-cabrio-2019/4151
Bugatti,Bugatti Veyron,https://www.cars-data.com/en/bugatti-veyron-2005/325
Buick,Buick Park Avenue,https://www.cars-data.com/en/buick-park-avenue-1991/3036
Cadillac,Cadillac ATS Coupe,https://www.cars-data.com/en/cadillac-ats-coupe-2015/3571
Carver,Carver One,https://www.cars-data.com/en/carver-one-2007/3132
Chevrolet,Chevrolet Volt,https://www.cars-data.com/en/chevrolet-volt-2011/379
Chrysler,Chrysler 300C Touring,https://www.cars-data.com/en/chrysler-300c-touring-2004/381
Citroen,Citroen Ã«-C4,https://www.cars-data.com/en/citroen-a-c4-2020/4692
Corvette,Corvette C6 Coupe,https://www.cars-data.com/en/corvette-c6-coupe-2004/3037
Cupra,Cupra Leon,https://www.cars-data.com/en/cupra-leon-2020/4725
Dacia,Dacia Lodgy,https://www.cars-data.com/en/dacia-lodgy-2012/515
Daewoo,Daewoo Kalos,https://www.cars-data.com/en/daewoo-kalos-2002/522
Daihatsu,Daihatsu Sirion 2,https://www.cars-data.com/en/daihatsu-sirion-2-2005/593
Daimler,Daimler Six,https://www.cars-data.com/en/daimler-six-1994/3675
Datsun,Datsun Bluebird Combi,https://www.cars-data.com/en/datsun-bluebird-combi-1980/3049
Dodge,Dodge Nitro,https://www.cars-data.com/en/dodge-nitro-2007/605
Donkervoort,Donkervoort D8,https://www.cars-data.com/en/donkervoort-d8-1993/607
DS,DS DS7 Crossback,https://www.cars-data.com/en/ds-ds7-crossback-2017/4363
Ferrari,Ferrari F8 Spider,https://www.cars-data.com/en/ferrari-f8-spider-2020/4601
Fiat,Fiat 500L Wagon,https://www.cars-data.com/en/fiat-500l-wagon-2017/4178
Fisker,Fisker Karma,https://www.cars-data.com/en/fisker-karma-2011/704
Ford,Ford C-MAX Energi,https://www.cars-data.com/en/ford-c-max-energi-2015/3417
FSO,FSO Classic,https://www.cars-data.com/en/fso-classic-1988/3067
Galloper,Galloper Galloper,https://www.cars-data.com/en/galloper-galloper-1998/3073
Honda,Honda CR-Z,https://www.cars-data.com/en/honda-cr-z-2010/920
Hummer,Hummer H2,https://www.cars-data.com/en/hummer-h2-2004/957
Hyundai,Hyundai Nexo,https://www.cars-data.com/en/hyundai-nexo-2018/4203
Infiniti,Infiniti Q70,https://www.cars-data.com/en/infiniti-q70-2014/3315
Innocenti,Innocenti 90/120,https://www.cars-data.com/en/innocenti-90-120-1979/3074
Iveco,Iveco Daily,https://www.cars-data.com/en/iveco-daily-2012/4449
Jaguar,Jaguar F-Pace,https://www.cars-data.com/en/jaguar-f-pace-2015/3434
Jeep,Jeep Renegade,https://www.cars-data.com/en/jeep-renegade-2014/3322
Josse,Josse Indigo 3000,https://www.cars-data.com/en/josse-indigo-3000-1998/3075
Kia,Kia e-Niro,https://www.cars-data.com/en/kia-e-niro-2019/4218
Lada,Lada Priora 2172,https://www.cars-data.com/en/lada-priora-2172-2010/3615
Lamborghini,Lamborghini HuracÃ¡n,https://www.cars-data.com/en/lamborghini-huraca-n-2014/3331
Lancia,Lancia Voyager,https://www.cars-data.com/en/lancia-voyager-2011/1228
Land Rover,Land Rover Discovery Sport,https://www.cars-data.com/en/land-rover-discovery-sport-2014/3332
Landwind,Landwind Landwind,https://www.cars-data.com/en/landwind-landwind-2005/3023
Lexus,Lexus UX,https://www.cars-data.com/en/lexus-ux-2019/4244
Lincoln,Lincoln Town Car,https://www.cars-data.com/en/lincoln-town-car-1994/3080
Lotus,Lotus Exige,https://www.cars-data.com/en/lotus-exige-2000/1304
Marcos,Marcos Mantara,https://www.cars-data.com/en/marcos-mantara-1994/3085
Maserati,Maserati GranTurismo,https://www.cars-data.com/en/maserati-granturismo-2007/1307
Maybach,Maybach 62,https://www.cars-data.com/en/maybach-62-2002/1312
Mazda,Mazda MX-5 RF,https://www.cars-data.com/en/mazda-mx-5-rf-2017/3864
McLaren,Mclaren 720S,https://www.cars-data.com/en/mclaren-720s-2017/4372
Mega,Mega Tjaffer,https://www.cars-data.com/en/mega-tjaffer-1994/3086
Mercedes-Benz,Mercedes-Benz eSprinter,https://www.cars-data.com/en/mercedes-benz-esprinter-2020/4672
Mercury,Mercury Sable,https://www.cars-data.com/en/mercury-sable-1992/3089
MG,MG ZS,https://www.cars-data.com/en/mg-zs-2004/1582
Mini,Mini Roadster,https://www.cars-data.com/en/mini-roadster-2012/1599
Mitsubishi,Mitsubishi L200 Double Cab,https://www.cars-data.com/en/mitsubishi-l200-double-cab-2015/4662
Morgan,Morgan Aero Coupe,https://www.cars-data.com/en/morgan-aero-coupe-2012/3199
Morris,Morris Marina,https://www.cars-data.com/en/morris-marina-1979/3096
Nissan,Nissan NP300 Navara King Cab,https://www.cars-data.com/en/nissan-np300-navara-king-cab-2016/4498
Noble,Noble M400,https://www.cars-data.com/en/noble-m400-2005/3098
Opel,Opel Corsa-e,https://www.cars-data.com/en/opel-corsa-e-2019/4292
Peugeot,Peugeot e-Expert Combi,https://www.cars-data.com/en/peugeot-e-expert-combi-2020/4716
PGO,PGO Speedster 2,https://www.cars-data.com/en/pgo-speedster-2-2005/3099
Polestar,Polestar 2,https://www.cars-data.com/en/polestar-2-2020/4646
Pontiac,Pontiac Firebird Coupe,https://www.cars-data.com/en/pontiac-firebird-coupe-1990/3101
Porsche,Porsche Panamera Sport Turismo,https://www.cars-data.com/en/porsche-panamera-sport-turismo-2017/4307
Princess,Princess 2000,https://www.cars-data.com/en/princess-2000-1978/3107
Renault,Renault Talisman,https://www.cars-data.com/en/renault-talisman-2016/3513
Rolls-Royce,Rolls-Royce Wraith,https://www.cars-data.com/en/rolls-royce-wraith-2014/3225
Rover,Rover 75 Tourer,https://www.cars-data.com/en/rover-75-tourer-2001/2268
Saab,Saab 9-7X,https://www.cars-data.com/en/saab-9-7x-2005/2304
Seat,Seat Tarraco,https://www.cars-data.com/en/seat-tarraco-2019/4317
Skoda,Skoda Kamiq,https://www.cars-data.com/en/skoda-kamiq-2019/4570
Smart,Smart forfour,https://www.cars-data.com/en/smart-forfour-2004/2408
Spectre,Spectre R42,https://www.cars-data.com/en/spectre-r42-1997/3108
Ssangyong,Ssangyong Tivoli,https://www.cars-data.com/en/ssangyong-tivoli-2015/3530
Subaru,Subaru XV,https://www.cars-data.com/en/subaru-xv-2012/4041
Suzuki,Suzuki Vitara,https://www.cars-data.com/en/suzuki-vitara-2015/3382
Talbot,Talbot Tagora,https://www.cars-data.com/en/talbot-tagora-1981/3120
Tesla,Tesla Model X,https://www.cars-data.com/en/tesla-model-x-2016/3532
Think,Think City,https://www.cars-data.com/en/think-city-2009/2577
Toyota,Toyota Corolla Sedan,https://www.cars-data.com/en/toyota-corolla-sedan-2019/4336
Triumph,Triumph TR7 Coupe,https://www.cars-data.com/en/triumph-tr7-coupe-1979/3122
TVR,TVR Chimaera,https://www.cars-data.com/en/tvr-chimaera-1994/3124
Volkswagen,Volkswagen Caddy Cargo,https://www.cars-data.com/en/volkswagen-caddy-cargo-2020/4713
Volvo,Volvo XC60,https://www.cars-data.com/en/volvo-xc60-2008/2968
Yugo,Yugo 45/55,https://www.cars-data.com/en/yugo-45-55-1983/3128
