make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1050 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,107,,,,,front,"70,8 x 78,9 mm",,,5 speed manual transmission,n.b.,,139 g/km,,"7,8 s",210 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1060 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,107,,,,,front,"70,8 x 78,9 mm",,,5 speed semi-automatic,n.b.,,134 g/km,,"8,0 s",210 km/h,"7,6 l/100km",134 g/km,,"5,8 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1050 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,121,,,,,front,"70,8 x 78,9 mm",,,5 speed manual transmission,n.b.,,139 g/km,,"7,3 s",218 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1060 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,121,,,,,front,"70,8 x 78,9 mm",,,5 speed semi-automatic,n.b.,,134 g/km,,"7,4 s",218 km/h,"7,6 l/100km",134 g/km,,"5,8 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1065 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,132,,,,,front,"70,8 x 78,9 mm",,,5 speed manual transmission,n.b.,,139 g/km,,"6,7 s",225 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Abarth,Abarth 595 Cabrio,fuel engine,2016,2016,,,"3-doors, convertible",,,3660 mm,1627 mm,1485 mm,,,,1065 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"70,8 x 78,9 mm",,132,,,,,front,"70,8 x 78,9 mm",,,5 speed semi-automatic,n.b.,,134 g/km,,"6,9 s",225 km/h,"7,6 l/100km",134 g/km,,"5,8 l/100km",coil springs,,,coil springs,,,,3-doors,,,,,
Aiways,Aiways U5,electric motor,2020,2020,,,"5-doors, suv/crossover",,,4680 mm,1865 mm,1700 mm,,,,1720 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,150,,,,,front,,,,traploze automatic,,,0 g/km,,"7,5 s",150 km/h,,0 g/km,,,coil springs,,,coil springs,,,,5-doors,,,410 km,,
Aiways,Aiways U5,electric motor,2020,2020,,,"5-doors, suv/crossover",,,4680 mm,1865 mm,1700 mm,,,,1770 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,150,,,,,front,,,,traploze automatic,,,0 g/km,,"7,8 s",150 km/h,,0 g/km,,,coil springs,,,coil springs,,,,5-doors,,,1400 km,,
Aiways,Aiways U5,electric motor,2020,2020,,,"5-doors, suv/crossover",,,4680 mm,1865 mm,1700 mm,,,,1770 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,150,,,,,front,,,,traploze automatic,,,0 g/km,,"7,8 s",150 km/h,,0 g/km,,,coil springs,,,coil springs,,,,5-doors,,,400 km,,
Alfa Romeo,Alfa Romeo 4C Spider,fuel engine,2015,2015,,,"2-doors, convertible",,,3990 mm,1868 mm,1189 mm,,,,974 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,0 x 80,5 mm",,177,,,,,rear,"83,0 x 80,5 mm",,,6 speed automatic,"8,7 l/100km (1)",,161 g/km,,"4,5 s",257 km/h,"10,1 l/100km",161 g/km,,"6,9 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
