make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
acura,cl,1 generation,1996,2000,coupe,2.2 at,coupe,,5,4825,1780,1390,2715,1515,1500,1390,,110,,,,,,,,340,,,340,199,multi-point fuel injection,,inline,4,,gasoline,4,,85,95,,,4500,,,2156,147,5500,front wheel drive,,4,,automatic,,550|770,,65,8.2,220,11.8,,92,8.4,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,1 generation,1996,2000,coupe,2.2 mt,coupe,,5,4825,1780,1390,2715,1515,1500,1390,,110,,,,,,,,340,,,340,199,multi-point fuel injection,,inline,4,,gasoline,4,,85,95,,,4500,,,2156,147,5500,front wheel drive,,5,,manual,,680|860,,65,8.2,205,9.6,,92,7.6,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,1 generation,1996,2000,coupe,2.3 at,coupe,,5,4825,1780,1390,2715,1515,1500,1390,,110,,,,,,,,340,,,340,205,multi-point fuel injection,,inline,4,,gasoline,4,,86,97,,,4900,,,2254,152,5700,front wheel drive,,4,,automatic,,550|770,,65,8.2,220,11.8,,92,8.4,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,1 generation,1996,2000,coupe,2.3 mt,coupe,,5,4825,1780,1390,2715,1515,1500,1390,,110,,,,,,,,340,,,340,205,multi-point fuel injection,,inline,4,,gasoline,4,,86,97,,,4900,,,2254,152,5700,front wheel drive,,5,,manual,,680|860,,65,8.2,205,9.6,,92,7.6,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,1 generation,1996,2000,coupe,3.0 at,coupe,,5,4825,1780,1390,2715,1515,1500,1465,,110,,,,,,,,340,,,340,264,multi-point fuel injection,,v-type,6,,gasoline,4,,86,86,,,4700,,,2997,203,5000,front wheel drive,,4,,automatic,,550|770,,65,,,11.8,,80,8.4,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,2 generation,2000,2003,coupe,3.2 at,coupe,,5,4877,1793,1410,2715,1552,1547,1610,,,,,,,,,,396,,,396,315,multi-point fuel injection,,v-type,6,,gasoline,4,,89,86,,,3500,,,3195,225,6200,front wheel drive,,5,,automatic,,520|800,,65,7.8,215,12.4,,92,8.1,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,2 generation,2000,2003,coupe,3.2 at,coupe,,5,4877,1793,1410,2715,1552,1547,1615,,,,,,,,,,396,,,396,314,multi-point fuel injection,,v-type,6,,gasoline,4,,89,86,,,3500,,,3195,260,6100,front wheel drive,,5,,automatic,,520|800,,65,6.8,235,12.4,,95,8.1,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,2 generation,2000,2003,coupe,3.2 mt,coupe,,5,4877,1793,1410,2715,1552,1547,1610,,,,,,,,,,396,,,396,315,multi-point fuel injection,,v-type,6,,gasoline,4,,89,86,,,3500,,,3195,225,6200,front wheel drive,,6,,manual,,520|800,,65,7.8,215,12.4,,92,8.1,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,cl,2 generation,2000,2003,coupe,3.2 mt,coupe,,5,4877,1793,1410,2715,1552,1547,1615,,,,,,,,,,396,,,396,314,multi-point fuel injection,,v-type,6,,gasoline,4,,89,86,,,3500,,,3195,260,6100,front wheel drive,,6,,manual,,520|770,,65,6.6,235,12.4,,95,8.4,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,10,0,0,10
acura,rl,1 generation [redesign],1998,2004,sedan,3.5 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2
