make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
austin,metro,1 generation,1980,1990,hatchback 3 doors,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 3 doors,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 3 doors,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 5 doors,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 5 doors,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 5 doors,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 5 doors,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,metro,1 generation,1980,1990,hatchback 5 doors,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273807,1572918,73143,2919868
austin,montego,1 generation,1984,1995,sedan,1.3 mt,sedan,,5,4468,1420,1710,2570,1465,1440,950,,155,,,,,,,,,,,,102,carburetor,,inline,4,,gasoline,2,,,,,,3500,,,1275,68,5600,front wheel drive,,5,,manual,,,,,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,montego,1 generation,1984,1995,sedan,1.6 mt,sedan,,5,4468,1420,1710,2570,1465,1440,950,,155,,,,,,,,,,,,132,carburetor,,inline,4,,gasoline,2,,,,,,3500,,present,1598,85,5600,front wheel drive,,5,,manual,,,,,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,montego,1 generation,1984,1995,sedan,2.0 mt,sedan,,5,4468,1420,1710,2570,1465,1440,1062,,155,,,,,,,,,,,,164,carburetor,,inline,4,,gasoline,2,,,,,,3000,,present,1994,102,5500,front wheel drive,,5,,manual,,,,,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,montego,1 generation,1984,1995,sedan,2.0 t mt,sedan,,5,4468,1420,1710,2570,1465,1440,1062,,155,,,,,,,,,,,,158,direct injection,,inline,4,,gasoline,2,turbo,,,,,2500,,present,1994,80,5500,front wheel drive,,5,,manual,,,,,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,montego,1 generation,1984,1995,wagon,1.6 at,wagon,,5,4468,1710,1445,2570,1440,1465,1050,,155,,,,,,,,,,,,132,carburetor,,inline,4,,gasoline,2,,,,,,3500,,,1598,84,5600,front wheel drive,,3,,automatic,,,,50,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,montego,1 generation,1984,1995,wagon,1.6 mt,wagon,,5,4468,1710,1445,2570,1440,1465,1050,,155,,,,,,,,,,,,132,carburetor,,inline,4,,gasoline,2,,,,,,3500,,,1598,85,5600,front wheel drive,,5,,manual,,,,50,,,,,92,,"dependent, multi wishbone, spring",drum,disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,761750,178973,17574,958297
austin,sprite,mark 1 generation,1958,1961,cabriolet,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5871,1041,203,7115
austin,sprite,mark 2 generation,1961,1964,cabriolet,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5871,1041,203,7115
austin,sprite,mark 2 generation,1961,1964,cabriolet,1.1 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5871,1041,203,7115
austin,sprite,mark 3 generation,1964,1966,cabriolet,1.1 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5871,1041,203,7115
austin,sprite,mark 4 generation,1966,1971,cabriolet,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5871,1041,203,7115
