make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
bentley arnage,bentley,arnage,1 generation,1998,2002,sedan,4.4 at turbo,sedan,,5,5390,1930,1520,3115,1610,1610,2300,,140,,,,,,2750,,375,,,375,570,multi-point fuel injection,,v-type,8,,gasoline,4,turbo,,,,,2500,,,4398,354,5500,rear wheel drive,,5,,automatic,,400|720,,94,6.5,240,23.4,,98,13.1,helical springs,ventilated disc,ventilated disc,helical springs,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,1 generation [redesign],2002,2009,sedan long,6.8 at,,,5,5640,1900,1515,3366,,,2655,255/50/r18,,,,1602,1602,,3015,,,,,374,835,distributed injection (multipoint),,v-type,8,"7,8",petrol,2,turbine,104,99,"front, longitudinal",,3250,298,,6750,405,4000,rear wheel drive,,4,,automatic,20.6,,euro 4,96,6.4,250,30.7,,95,14.8,"independent, spring",disc,disc ventilated,"independent, spring",,f,great britain,4,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,1 generation [redesign],2002,2009,sedan long,6.8 at,,,5,5640,1900,1515,3366,,,2655,255/55/r17,,,,1602,1602,,3040,,,,,374,875,distributed injection (multipoint),,v-type,8,"7,8",petrol,2,turbine,104,99,,,1800,336,,6750,457,4100,rear wheel drive,,4,,automatic,20.6,,,96,5.8,270,30.7,,92,14.8,"independent, spring",disc,disc ventilated,"independent, spring",,f,great britain,4,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,r sedan 4-doors,6.75 twin-turbo at,sedan,,5,5390,1930,1515,3115,1600,1600,2580,,140,,,,,,2970,,375,,,350,835,multi-point fuel injection,,v-type,8,,gasoline,2,turbo,104,99,,,3250,,,6750,405,4000,rear wheel drive,,4,,automatic,19.2,360|700,,100,6,249,27.7,,95,14.3,wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,r sedan 4-doors,6.8 twin-turbo at,sedan,,5,5390,1932,1515,3116,1600,1600,2585,,,,,,,,3065,,374,,,350,875,multi-point fuel injection,,v-type,8,,gasoline,2,biturbo,104,99,,,3250,,,6761,460,4100,rear wheel drive,,6,,automatic,19.5,330|680,,96,5.8,270,28.8,,95,14.1,wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,rl sedan 4-doors,6.75 twin-turbo at,sedan,,5,5640,1932,1515,3366,1602,1602,2655,,,,,,,,3040,,374,,,374,835,multi-point fuel injection,,v-type,8,,gasoline,2,turbo,104,99,,,3250,,,6750,405,4000,rear wheel drive,,4,,automatic,20.6,330|680,,100,7,250,30.7,,92,14.8,wishbone,disc,ventilated disc,double wishbone,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,rl sedan 4-doors,6.8 twin-turbo at,sedan,,5,5640,1932,1515,3365,1600,1600,2655,,,,,,,,3065,,374,,,374,875,multi-point fuel injection,,v-type,8,,gasoline,2,biturbo,104,99,,,1800,,,6761,460,4100,rear wheel drive,,6,,automatic,19.5,330|680,,96,6,288,28.8,,92,14.1,wishbone,disc,ventilated disc,double wishbone,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,t sedan 4-doors,6.75 twin-turbo at,sedan,,5,5405,1930,1515,3115,1600,1600,2585,,140,,,,,,2970,,375,,,350,875,multi-point fuel injection,,v-type,8,,gasoline,2,biturbo,104,99,,,3250,,,6750,457,4100,rear wheel drive,,4,,automatic,20.6,330|680,,100,5.8,270,30.7,,95,14.8,wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,15827,1144,904,17875
bentley arnage,bentley,arnage,2 generation,2002,2009,t sedan 4-doors,6.8 twin-turbo at,sedan,,5,5400,1900,1515,3115,1602,1602,2585,,140,,,,,,2970,,374,,,350,1000,multi-point fuel injection,,v-type,8,,gasoline,2,biturbo,104,99,,,3200,,,6761,500,4200,rear wheel drive,,6,,automatic,19.5,330|680,,96,5.5,290,28.8,,95,14.1,wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,15827,1144,904,17875
bentley azure,bentley,azure,1 generation,1995,2003,cabriolet,6.75 twin-turbo at,cabriolet,,4,5350,1878,1475,3061,1549,1549,2610,,140,,370,,,,2980,,193,,,193,875,multi-point fuel injection,,v-type,8,,gasoline,2,biturbo,104,99,,,2200,,,6750,426,4000,rear wheel drive,,4,13.1,automatic,18.7,380|820,,108,6.2,249,28.1,,95,13.2,helical springs,disc,ventilated disc,double wishbone,,,,,,,,,,2242,145,167,2554
