make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,1.6 at,,,5,4227,1751,1430,2660,,,1345,195/55/r16,,,,1497,1484,145,1770,,1150,,,330,150,distributed injection (multipoint),,inline,4,"10,5",petrol,4,none,84,72,"front, longitudinal",,4300,85,,1596,115,6000,rear wheel drive,,6,,automatic,7.7,,euro 5,50,12.3,197,10.6,,95,6,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,1.6 mt,,,5,4227,1751,1430,2660,,,1280,195/55/r16,,,,1497,1484,145,1705,,1150,,,330,150,distributed injection (multipoint),,inline,4,,petrol,4,none,,,"front, longitudinal",,4300,85,,1596,115,6000,rear wheel drive,,6,,manual,7.5,,,50,10.8,201,10.5,,95,5.9,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 at,,,5,4227,1751,1430,2660,,,1415,195/55/r16,,,,1497,1484,145,1840,,1150,,,330,280,,,inline,4,,diesel,4,turbine,,,"front, longitudinal",,2000,90,,1995,122,4000,rear wheel drive,,6,,automatic,5.6,,,50,9,201,7.7,,diesel,4.5,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 at,,,5,4227,1751,1430,2660,,,1235,195/55/r16,,,,1497,1484,145,1750,,1150,,,330,180,distributed injection (multipoint),,inline,4,,petrol,4,none,,,"front, longitudinal",,3250,95,,1995,129,5750,rear wheel drive,,6,,automatic,7.3,,,50,10.1,204,10.1,,95,5.6,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 at,,,5,4227,1751,1430,2660,,,1335,195/55/r16,,,,1497,1484,145,1760,,1150,,,330,200,distributed injection (multipoint),,inline,4,,petrol,4,none,,,"front, longitudinal",,3600,110,,1995,150,6200,rear wheel drive,,5,,automatic,6.5,,,50,9.2,214,9.1,,95,5.2,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 at,,,5,4227,1751,1430,2660,,,1415,195/55/r16,,,,1497,1484,145,1840,,1150,,,330,340,,,inline,4,,diesel,4,turbine,,,"front, longitudinal",,2000,120,,1995,163,4000,rear wheel drive,,6,,automatic,5.4,,,50,8.2,215,7.2,,diesel,4.5,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 mt,,,5,4227,1751,1430,2660,,,1415,195/55/r16,,,,1497,1484,145,1840,,1150,,,330,280,,,inline,4,,diesel,4,turbine,,,"front, longitudinal",,2000,90,,1995,122,4000,rear wheel drive,,6,,manual,5.6,,,50,9,201,7.7,,diesel,4.5,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 mt,,,5,4227,1751,1430,2660,,,1235,195/55/r16,,,,1497,1484,145,1750,,1150,,,330,180,distributed injection (multipoint),,inline,4,,petrol,4,none,,,"front, longitudinal",,3250,95,,1995,129,5750,rear wheel drive,,5,,manual,7.3,,,50,9.4,208,10.3,,95,5.6,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 mt,,,5,4227,1751,1430,2660,,,1335,195/55/r16,,,,1497,1484,145,1760,,1150,,,330,200,distributed injection (multipoint),,inline,4,,petrol,4,none,,,"front, longitudinal",,3600,110,,1995,150,6200,rear wheel drive,,6,,manual,7.4,,,50,8.7,217,10.7,,95,5.6,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
bmw,1 series,e81-e88,2004,2007,hatchback 5 doors,2.0 mt,,,5,4227,1751,1430,2660,,,1415,195/55/r16,,,,1497,1484,145,1840,,1150,,,330,340,,,inline,4,,diesel,4,turbine,,,"front, longitudinal",,2000,120,,1995,163,4000,rear wheel drive,,6,,manual,4.7,,,50,7.9,220,6.4,,diesel,3.8,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,5,05-May,euroncap,,,,454389,393075,51930,899394
