make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
buick,electra,1 generation,1959,1960,cabriolet,6.0 at,,,5,5611,2050,1420,3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,2,,,,,,357,29,6,392
buick,electra,1 generation,1959,1960,sedan,6.0 at,,,5,5725,2050,1420,3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,4,,,,,,357,29,6,392
buick,electra,1 generation,1959,1960,sedan 2-doors,6.0 at,,,5,5611,2050,1420,3208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,2,,,,,,357,29,6,392
buick,electra,6 generation,1985,1990,sedan,3.8 at,,,5,4989,1839,1379,2814,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,usa,4,,,,,,357,29,6,392
buick,riviera,2 generation,1966,1970,coupe,7.5 at,,,4,5364,2002,1351,3023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usa,2,,,,,,1013,46,7,1066
buick,riviera,3 generation,1971,1973,coupe,7.5 at,,,4,5545,2032,1372,3096,,,,,,,,1626,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,usa,2,,,,,,1013,46,7,1066
buick,riviera,6 generation,1979,1985,coupe,3.8 at,,,4,5232,2032,1377,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,usa,2,,,,,,1013,46,7,1066
buick,riviera,7 generation,1985,1993,coupe,3.8 at,,,4,4755,1821,1359,2743,,,1493,205/70/r14,,,,1521,1521,,,,,,,388,271,central injection (single-point or single-point),,v-type,6,"8,5",petrol,2,none,96,86,"front, cross-section",,2000,104,,3791,142,4400,front wheel drive,,4,,automatic,10.2,,,71,,,12.4,,92,7.8,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,usa,2,,,,,,1013,46,7,1066
buick,riviera,7 generation,1985,1993,coupe,3.8 at,,,4,4755,1821,1359,2743,,,1506,205/70/r14,,,,1521,1521,,,,,,,388,271,central injection (single-point or single-point),,v-type,6,"8,5",petrol,2,none,96,86,"front, cross-section",,2000,112,,3791,152,4400,front wheel drive,,4,,automatic,11.2,,,71,,,13.1,,92,8.7,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,usa,2,,,,,,1013,46,7,1066
buick,riviera,7 generation,1985,1993,coupe,3.8 at,,,4,4755,1821,1359,2743,,,1526,205/70/r14  205/75/r14,,,,1521,1521,,,,,,,388,285,central injection (single-point or single-point),,v-type,6,"8,5",petrol,2,none,96,86,"front, cross-section",,2000,123,,3791,167,5200,front wheel drive,,4,,automatic,10.7,,,71,,,12.4,,92,8.1,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,usa,2,,,,,,1013,46,7,1066
