make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
cadillac,bls,1 generation,2006,2009,sedan,1.9tid mt,sedan,,5,4680,1752,1471,2675,1524,1506,1510,,120,,,,,,2050,,425,,,425,320,direct injection,,inline,4,,diesel,4,turbo,90,82,,,3000,,,1910,150,4000,front wheel drive,,6,10,manual,6,"730|1,450",euro iv,58,9,210,8,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.0 t at,sedan,,5,4680,1750,1470,2676,,,1520,,120,,530,,,,,,425,,,425,265,multi-point fuel injection,,inline,4,,gasoline,4,turbo,,,,,2500,,,1998,175,5500,front wheel drive,,5,,automatic,9,450|870,,58,9,220,12.9,,95,6.7,"independent, multi wishbone",disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.0 t mt,sedan,,5,4679,1753,1433,2675,1506,1529,1460,,120,,,,,,2000,,425,,,425,265,multi-point fuel injection,,inline,4,,gasoline,4,turbo,,,,,2500,,,1998,175,5500,front wheel drive,,5,10.8,manual,7.6,"540|1,020",,58,8,220,10.8,,95,5.7,"dependent, spring, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.0 ts at,sedan,,5,4679,1753,1433,2676,1524,1506,1580,,150,,,,,,,,425,,,425,300,multi-point fuel injection,,inline,6,,gasoline,4,turbo,,,,,3400,,,1998,210,5500,front wheel drive,,5,11.8,automatic,9.1,420|890,,58,7.7,230,13.7,,95,6.5,"dependent, lever, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.0 ts mt,sedan,,5,4679,1753,1433,2676,1519,1509,1500,,150,,,,,,,,425,,,425,300,multi-point fuel injection,,inline,4,,gasoline,4,turbo,,,,,3400,,,1998,210,5500,front wheel drive,,5,,manual,8.5,480|910,,58,7,235,12.1,,95,6.4,"dependent, lever, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.8 t at,sedan,,5,4679,1753,1433,2675,1524,1506,1615,,150,,,,,,,,425,,,425,365,multi-point fuel injection,,v-type,6,,gasoline,4,turbo,,,,,2000,,,2792,255,5500,front wheel drive,,6,,automatic,10.8,340|810,,58,7,245,16.9,,95,7.2,"dependent, lever, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,sedan,2.8 t mt,sedan,,5,4679,1753,1433,2675,1524,1506,1580,,150,,,,,,,,425,,,425,365,multi-point fuel injection,,v-type,6,,gasoline,4,turbo,,,,,2000,,,2792,255,5500,front wheel drive,,6,,manual,10.2,380|820,,58,7,250,15.4,,95,7.1,"dependent, lever, stabilizer bar",disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,1.9 at,,,5,4716,1752,1543,2675,,,1585,215/55/r16,,,,1506,1524,,2150,,1285,,,419,320,,,inline,4,"17,5",diesel,4,turbine,82,90,"front, cross-section",,2000,110,,1910,150,4000,front wheel drive,,6,,automatic,6.7,,euro 4,58,11.5,195,9.5,,diesel,5.1,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,1.9 at,,,5,4716,1752,1543,2675,,,1625,215/55/r16,,,,1506,1524,,2170,,1285,,,419,370,,,inline,4,"16,5",diesel,4,turbine,82,90,"front, cross-section",,1750,132,,1910,180,4000,front wheel drive,,6,,automatic,6.9,,euro 4,58,9.2,215,9.7,182,diesel,5.2,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,1.9 mt,,,5,4716,1752,1543,2675,,,1560,215/55/r16,,,,1506,1524,,2120,,1285,,,419,320,,,inline,4,"17,5",diesel,4,turbine,82,90,"front, cross-section",,2000,110,,1910,150,4000,front wheel drive,,6,,manual,5.9,,euro 4,58,10.4,200,7.8,159,diesel,4.8,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,1.9 mt,,,5,4716,1752,1543,2675,,,1600,215/55/r16,,,,1506,1524,,2150,,1285,,,419,400,,,inline,4,"16,5",diesel,4,turbine,82,90,"front, cross-section",,1850,132,,1910,180,4000,front wheel drive,,6,,manual,5.9,,euro 4,58,8.7,220,7.8,156,diesel,4.8,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 at,,,5,4716,1752,1543,2675,,,1540,215/55/r16,,,,1506,1524,120,2100,,1285,,,419,265,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,129,,1998,175,5500,front wheel drive,,5,,automatic,9.3,,euro 4,58,10,210,13.3,222,95,6.9,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 at,,,5,4716,1752,1543,2675,,,1565,225/45/r17,,,,1506,1524,120,2100,,1285,,,419,300,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,154,,1998,210,5500,front wheel drive,,5,,automatic,9.1,,euro 4,58,8.6,215,13.7,,95,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 at 4wd,,,5,4716,1752,1543,2675,,,1560,225/45/r17,,,,1506,1524,120,2100,,1285,,,419,300,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,154,,1998,210,5500,full,,5,,automatic,,,euro 4,58,8.6,215,,,95,,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 mt,,,5,4716,1752,1543,2675,,,1515,215/55/r16,,,,1506,1524,120,2070,,1285,,,419,265,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,129,,1998,175,5500,front wheel drive,,6,,manual,8.3,,euro 4,58,8.8,215,11.5,197,95,6.4,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 mt,,,5,4716,1752,1543,2675,,,1515,225/45/r17,,,,1506,1524,120,2070,,1285,,,419,300,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,147,,1998,200,5500,front wheel drive,,6,,manual,8.3,,euro 4,58,8.1,225,11.5,222,95,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 mt,,,5,4716,1752,1543,2675,,,1540,225/45/r17,,,,1506,1524,120,2080,,1285,,,419,300,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,154,,1998,210,5500,front wheel drive,,6,,manual,8.3,,euro 4,58,7.8,220,11.5,,95,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.0 mt 4wd,,,5,4716,1752,1543,2675,,,1540,225/45/r17,,,,1506,1524,120,2080,,1285,,,419,300,distributed injection (multipoint),,inline,4,"9,5",petrol,4,turbine,86,86,"front, cross-section",,2500,154,,1998,210,5500,full,,6,,manual,8.3,,euro 4,58,8.5,220,11.5,199,95,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.8 at,,,5,4716,1752,1543,2675,,,1635,235/45/r17,,,,1506,1524,120,2170,,1285,,,419,365,distributed injection (multipoint),,v-type,6,10,petrol,4,turbine,89,74,"front, cross-section",,1800,188,,2792,255,5500,front wheel drive,,6,,automatic,8.3,,euro 4,58,8,240,11.5,,92,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,bls,1 generation,2006,2009,wagon 5 doors,2.8 mt,,,5,4716,1752,1543,2675,,,1610,235/45/r17,,,,1506,1524,120,2150,,1285,,,419,365,distributed injection (multipoint),,v-type,6,10,petrol,4,turbine,89,74,"front, cross-section",,1800,188,,2792,255,5500,front wheel drive,,6,,manual,8.3,,euro 4,58,7.4,240,11.5,,92,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,d,usa,5,,,,,,2449,438,159,3046
cadillac,cts,1 generation,2002,2007,sedan,2.6li at,sedan,,5,4828,1795,1441,2880,1524,1524,1625,,150,,,,,,2125,,430,,,360,245,multi-point fuel injection,,v-type,6,,gasoline,4,,83,79,,,3400,,,2597,185,6000,rear wheel drive,,5,,automatic,10.7,460|770,,66,9.7,206,14.4,,92,8.6,stabilizer bar,disc,ventilated disc,double wishbone,,,,,,,,,,1109,197,57,1363
cadillac,cts,1 generation,2002,2007,sedan,2.6li mt,sedan,,5,4828,1795,1441,2880,1524,1524,1625,,150,,,,,,2125,,430,,,360,245,multi-point fuel injection,,v-type,6,,gasoline,4,,83,79,,,3400,,,2597,185,6000,rear wheel drive,,5,,manual,10.2,490|800,,66,9.3,223,13.6,,92,8.2,stabilizer bar,disc,ventilated disc,double wishbone,,,,,,,,,,1109,197,57,1363
cadillac,cts,1 generation,2002,2007,sedan,2.8i at,sedan,,5,4828,1795,1441,2880,1524,1524,1705,,150,,,,,,2160,,430,,,360,262,multi-point fuel injection,,v-type,6,,gasoline,4,,89,74,,,3300,,,2792,215,7000,rear wheel drive,,5,,automatic,,390|760,,66,8.4,225,17,,92,8.7,stabilizer bar,disc,ventilated disc,double wishbone,,,,,,,,,,1109,197,57,1363
cadillac,cts,1 generation,2002,2007,sedan,2.8i mt,sedan,,5,4828,1795,1441,2880,1524,1524,1705,,150,,,,,,2160,,430,,,360,262,multi-point fuel injection,,v-type,6,,gasoline,4,,89,74,,,3300,,,2792,215,7000,rear wheel drive,,6,,manual,,390|740,,66,8.2,226,17,,92,8.9,stabilizer bar,disc,ventilated disc,double wishbone,,,,,,,,,,1109,197,57,1363
cadillac,cts,1 generation,2002,2007,sedan,3.2i at,sedan,,5,4828,1793,1440,2880,1524,1524,1628,,150,,,,,,2125,,430,,,360,296,multi-point fuel injection,,v-type,6,,gasoline,4,,87,88,,,3400,,,3175,223,6000,rear wheel drive,,5,,automatic,11.7,400|730,,66,7.7,230,16.4,,92,9,stabilizer bar,disc,ventilated disc,double wishbone,,,,,,,,,,1109,197,57,1363
