make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
chevrolet,aveo,3 generation,2016,2020,sedan,1.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,3 generation,2016,2020,sedan,1.4 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,aveo 2020,2019,,sedan,1.4  automatic transmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,aveo 2020,2019,,sedan,1.4  mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,aveo 2020,2019,,sedan,1.6  automatic transmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,aveo 2020,2019,,sedan,1.6  mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,t200,2003,2008,hatchback 3-doors,1.2 mt,hatchback,,5,3881,1671,1496,2479,1450,1410,990,,160,,,,,,1455,,1190,,,200,104,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4400,,,1150,72,5400,front wheel drive,,5,10.6,manual,6.4,540|870,euro iv,45,13.7,157,8.4,,92,5.2,torsion beam,drum,ventilated disc,strut,,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,t200,2003,2008,hatchback 3-doors,1.4 at,hatchback,,5,3881,1671,1496,2489,1450,1410,1060,,160,,,,,,1535,,1190,,,220,130,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,3400,,,1399,94,6200,front wheel drive,,4,10.6,automatic,6.7,510|830,euro iv,45,11.1,176,8.9,,95,5.4,"torsion beam, spring, stabilizer bar",drum,disc,"mcpherson struts, stabilizer bar",,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,t200,2003,2008,hatchback 3-doors,1.4 mt,hatchback,,5,3881,1671,1496,2479,1450,1410,1060,,160,,,,,,1535,,1190,,,200,123,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,3000,,,1399,83,5600,front wheel drive,,5,10.6,manual,7.6,440|740,euro iv,45,12.1,170,10.2,,95,6.1,"torsion beam, spring, stabilizer bar",drum,disc,"mcpherson struts, stabilizer bar",,,,,,,,,,24109,22953,2378,49440
chevrolet,aveo,t200,2003,2008,hatchback 3-doors,1.4 mt,hatchback,,5,3881,1671,1496,2479,1450,1410,1060,,160,,,,,,1535,,1190,,,220,130,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,3400,,,1399,94,6200,front wheel drive,,5,10.6,manual,5.9,570|960,euro iv,45,11.1,176,7.9,,95,4.7,"torsion beam, spring, stabilizer bar",drum,disc,"mcpherson struts, stabilizer bar",,,,,,,,,,24109,22953,2378,49440
