make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
chrysler,300 letter series,1 generation,1955,1955,coupe-hardtop,5.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41370,4822,1407,47599
chrysler,300 letter series,s,1957,1957,cabriolet,6.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41370,4822,1407,47599
chrysler,300 letter series,s,1957,1957,cabriolet,6.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41370,4822,1407,47599
chrysler,300 letter series,s,1957,1957,coupe-hardtop,6.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41370,4822,1407,47599
chrysler,300 letter series,s,1957,1957,coupe-hardtop,6.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41370,4822,1407,47599
chrysler,300c,1 generation,2005,2011,sedan 4-doors,2.7 at,sedan,,5,5015,1880,1535,3050,1600,1605,1774,,,,,,,,2159,,504,,,504,257,injector,,v-type,6,,gasoline,4,,,,,,4000,,,2736,193,6400,rear wheel drive,,4,11.9,automatic,10.5,450|870,,68,11,201,15.2,,95,7.8,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,41370,4822,1407,47599
chrysler,300c,1 generation,2005,2011,sedan 4-doors,3.5 at,sedan,,5,5015,1880,1535,3050,1600,1605,1789,,,,,,,,2173,,504,,,504,340,injector,,v-type,6,,gasoline,4,,,,,,3800,,,3518,249,6400,rear wheel drive,,5,11.9,automatic,11,430|830,,68,9.4,214,15.8,,95,8.2,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,41370,4822,1407,47599
chrysler,300c,1 generation,2005,2011,sedan 4-doors,5.7 at,sedan,,5,4999,1881,1481,3048,1600,1603,1860,,143,,,,,,,,1602,,,603,525,injector,,v-type,8,,gasoline,2,,99,90,,,4000,,,5654,340,5000,rear wheel drive,,5,,automatic,12.5,400|800,,72,6.4,250,18.2,,95,9,stabilizer bar,disc,ventilated disc,strut,,,,,,,,,,41370,4822,1407,47599
chrysler,300c,1 generation,2005,2011,sedan 4-doors,5.7 at awd,sedan,,5,4999,1881,1507,3048,1600,1603,1969,,143,,,,,,,,1602,,,603,525,injector,,v-type,8,,gasoline,2,,99,90,,,4000,,,5654,340,5000,four wheel drive (4wd),,5,,automatic,13.2,380|730,,72,6.4,250,18.9,,95,9.9,stabilizer bar,disc,ventilated disc,strut,,,,,,,,,,41370,4822,1407,47599
chrysler,300c,1 generation,2005,2011,sedan 4-doors,6.1 at srt8,sedan,,5,5015,1880,1462,3050,1600,1605,2040,,,,,,,,2340,,504,,,504,569,injector,,v-type,8,,gasoline,2,,,,,,4800,,,6059,425,6200,rear wheel drive,,5,11.86,automatic,14,430|580,,72,5,250,16.8,,95,12.4,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,41370,4822,1407,47599
