make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
daewoo,espero,klej,1990,1993,sedan,2.0 at,sedan,,5,4615,1718,1388,2620,1426,1406,1110,,,,,,,,,,560,,,560,159,multi-point fuel injection,,inline,4,,gasoline,2,,86,86,,,3200,,,1998,100,5400,front wheel drive,,4,10.4,automatic,9.4,380|710,,50,12.1,176,13.1,,92,7,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej,1990,1993,sedan,2.0 mt,sedan,,5,4615,1718,1388,2620,1426,1406,1090,,,,,,,,,,560,,,560,159,multi-point fuel injection,,inline,4,,gasoline,2,,86,86,,,3200,,,1998,100,5400,front wheel drive,,5,10.4,manual,7.7,450|880,,50,11.3,181,11,,92,5.7,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,1.5 at,sedan,,5,4615,1718,1388,2620,1426,1406,1190,,,2730,440,,,,1630,860/890,560,,,560,137,multi-point fuel injection,,inline,4,,gasoline,4,,76,81,,,4800,,,1498,90,4800,front wheel drive,,4,10.4,automatic,8.5,410|850,,50,14.7,167,12.2,,92,5.9,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,1.5 mt,sedan,,5,4615,1718,1388,2620,1426,1406,1156,,,2730,474,,,,1630,860/890,560,,,560,137,multi-point fuel injection,,inline,4,,gasoline,4,,76,81,,,4800,,,1498,90,4800,front wheel drive,,5,10.4,manual,7.5,450|960,,50,12.8,170,11,,92,5.2,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,1.8 at,sedan,,5,4615,1718,1388,2620,1426,1406,1195,,,2730,435,,,,1630,860/890,560,,,560,145,multi-point fuel injection,,inline,4,,gasoline,2,,84,79,,,2800,,,1796,95,5400,front wheel drive,,4,10.4,automatic,8.6,410|790,,50,13.1,173,12.2,,92,6.3,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,1.8 mt,sedan,,5,4615,1718,1388,2620,1426,1406,1161,,,2730,469,,,,1630,860/890,560,,,560,145,multi-point fuel injection,,inline,4,,gasoline,2,,84,79,,,2800,,,1796,95,5400,front wheel drive,,5,10.4,manual,8.2,420|880,,50,11,180,11.8,,92,5.7,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,2.0 at,sedan,,5,4615,1718,1388,2620,1426,1406,1195,,,2730,435,,,,1630,860/890,560,,,560,164,multi-point fuel injection,,inline,4,,gasoline,2,,86,86,,,3000,,,1998,105,5000,front wheel drive,,4,10.4,automatic,7.9,400|860,,50,12.9,180,12.4,,92,5.8,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,espero,klej [redesign],1993,1999,sedan,2.0 mt,sedan,,5,4615,1718,1388,2620,1426,1406,1161,,,2730,469,,,,1630,860/890,560,,,560,164,multi-point fuel injection,,inline,4,,gasoline,2,,86,86,,,3000,,,1998,105,5000,front wheel drive,,5,10.4,manual,7.9,430|940,,50,10.8,185,11.6,,92,5.3,"semi-dependent, spring",drum,ventilated disc,"independent, mcpherson struts, stabilizer bar",,,,,,,,,,107330,27396,4758,139484
daewoo,kalos,1 generation,2002,2020,hatchback,1.2 mt,hatchback,,5,3880,1670,1495,2480,1450,1410,910,,,,,,,,1490,,980,,,220,104,multi-point fuel injection,,inline,4,,gasoline,2,,68,78,,,4400,,,1150,72,5500,front wheel drive,,5,,manual,,540|820,,45,13.7,157,8.4,,92,5.5,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,hatchback,1.4 mt,hatchback,,5,3880,1670,1495,2480,1450,1410,985,,,,,,,,1525,,980,,,220,123,multi-point fuel injection,,inline,4,,gasoline,4,,77,73,,,3000,,,1399,83,5600,front wheel drive,,5,9,manual,,440|750,,45,12.1,170,10.2,,92,6,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,hatchback,1.4 mt,hatchback,,5,3880,1670,1495,2480,1450,1410,920,,,,,,,,1500,,980,,,220,130,multi-point fuel injection,,inline,4,,gasoline,2,,77,73,,,3400,,,1399,94,6200,front wheel drive,,5,,manual,,520|740,,45,11.1,176,8.6,,92,6.1,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,sedan,1.4 mt,sedan,,5,4236,1670,1495,2480,1450,1450,1025,,,,,,,,1535,,725,,,320,123,multi-point fuel injection,,inline,4,,gasoline,2,,77,73,,,3000,,,1399,83,5600,front wheel drive,,5,,manual,,440|750,,45,12.1,170,10.2,,92,6,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,sedan,1.4 mt,sedan,,5,4236,1670,1495,2480,1450,1450,1050,,,,,,,,1535,,725,,,320,130,multi-point fuel injection,,inline,4,,gasoline,4,,77,73,,,3400,,,1399,94,6200,front wheel drive,,5,,manual,7,520|740,,45,11,176,8.6,,92,6.1,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,sedan,1.6 at 16v,sedan,,5,4236,1670,1495,2480,1450,1450,1050,,,,,,,,1535,,725,,,320,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,73,,,3400,,,1598,106,5600,front wheel drive,,4,,automatic,,370,,45,,174,12.3,,92,,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation,2002,2020,sedan,1.6 mt 16v,sedan,,5,4236,1670,1495,2480,1450,1450,1050,,,,,,,,1535,,725,,,320,149,multi-point fuel injection,,inline,4,,gasoline,4,,77,73,,,3400,,,1598,106,5600,front wheel drive,,5,,manual,,330,,45,,185,13.5,,92,,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,hatchback,1.2 mt,hatchback,,5,3855,1685,1495,2480,1450,1410,960,,,,,,,,1445,,980,,,220,104,multi-point fuel injection,,inline,4,,gasoline,2,,,,,,4400,,,1150,72,5400,front wheel drive,,5,,manual,,,,,13.7,157,8.4,,92,5.5,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,hatchback,1.6 16v at,hatchback,,5,3855,1685,1495,2480,1450,1410,960,,,,,,,,1445,,980,,,220,145,multi-point fuel injection,,inline,4,,gasoline,2,,,,,,3400,,,1598,106,5600,front wheel drive,,4,,automatic,9.6,340|640,,45,10.3,185,13.1,,92,7,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,hatchback,1.6 mt 16v,hatchback,,5,3855,1685,1495,2480,1450,1410,960,,,,,,,,1445,,980,,,220,145,multi-point fuel injection,,inline,4,,gasoline,2,,,,,,3400,,,1598,106,5600,front wheel drive,,5,,manual,9.6,340|640,,45,10.3,185,13.1,,92,7,helical springs,drum,ventilated disc,strut,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,sedan,1.2 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,sedan,1.4 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,sedan,1.4 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,sedan,1.4 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,42048,4398,85996
daewoo,kalos,1 generation [redesign],2004,2007,sedan,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39550,42048,4398,85996
daewoo,korando,kj,1999,2001,suv,2.0 mt awd,crossover,,5,4260,1840,1840,2480,1510,1520,1755,,190,,,,,,2515,,1200,,,350,177,multi-point fuel injection,,inline,4,,gasoline,4,,89,78,,,4000,,,1998,126,5600,all wheel drive (awd),,5,11.6,manual,9.9,510|830,,70,12.5,154,13.6,,95,8.4,trailing arms,disc,ventilated disc,wishbone,,,,,,,,,,3149,1120,206,4475
