make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
daihatsu,applause,1 generation,1989,1991,liftback,1.6 at,liftback,,5,4315,1660,1386,2470,1425,1415,930,,,,,,,,1420,,764,,,412,134,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4800,,,1590,105,6000,front wheel drive,,3,,automatic,,,,,9.8,185,7.6,,92,,double wishbone,disc,ventilated disc,wishbone,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation,1989,1991,liftback,1.6 mt,liftback,,5,4315,1660,1386,2470,1425,1415,930,,,,,,,,1420,,764,,,412,134,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4800,,,1590,105,6000,front wheel drive,,5,,manual,,,,,9.8,185,7,,92,,double wishbone,disc,ventilated disc,wishbone,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation,1989,1991,liftback,1.6 mt,liftback,,5,4315,1660,1386,2470,1425,1415,930,,,,,,,,1420,,764,,,412,123,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4875,,,1590,90,6000,front wheel drive,,5,,manual,,,,,10.5,176,7.4,,92,,double wishbone,disc,ventilated disc,wishbone,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [2th redesign],1997,2000,liftback,1.6 at,liftback,,5,4350,1660,1385,2470,1425,1415,1050,,140,,,,,,1470,,765,,,410,138,multi-point fuel injection,,inline,4,,gasoline,4,,76,87,,,3600,,,1590,99,6000,front wheel drive,,4,,automatic,7.9,460|810,,50,13.9,180,10.8,,80,6.2,helical springs,drum,ventilated disc,helical springs,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [2th redesign],1997,2000,liftback,1.6 mt,liftback,,5,4350,1660,1385,2470,1425,1415,1050,,140,,,,,,1470,,765,,,410,138,injector,,inline,4,,gasoline,4,,76,87,,,3600,,,1590,99,6000,front wheel drive,,5,,manual,7.2,530|850,,50,10.6,180,9.5,,80,5.9,helical springs,drum,ventilated disc,helical springs,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [redesign],1992,1997,liftback,1.6 at,liftback,,5,4315,1660,1385,2470,1425,1415,930,,,,,,,,1420,,764,,,412,134,injector,,inline,4,,gasoline,4,,76,87,,,4800,,,1590,105,6000,front wheel drive,,4,,automatic,9.8,,,50,9.8,185,,,80,,double wishbone,disc,ventilated disc,strut,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [redesign],1992,1997,liftback,1.6 mt,liftback,,5,4315,1660,1385,2470,1425,1415,930,,,,,,,,1420,,764,,,412,134,injector,,inline,4,,gasoline,4,,76,87,,,4800,,,1590,105,6000,front wheel drive,,5,,manual,9.8,,,50,9.8,185,,,80,,double wishbone,disc,ventilated disc,strut,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [redesign],1992,1997,liftback,1.6 mt,liftback,,5,4315,1660,1385,2470,1425,1415,930,,,,,,,,1420,,764,,,412,123,injector,,inline,4,,gasoline,4,,76,87,,,4875,,,1590,90,6000,front wheel drive,,5,,manual,6.9,,,50,10.5,175,,,80,,double wishbone,disc,ventilated disc,strut,,,,,,,,,,13751,5663,846,20260
daihatsu,applause,1 generation [redesign],1992,1997,liftback,1.6 mt 4wd,liftback,,5,4315,1660,1440,2470,1425,1415,1040,,,,,,,,1505,,764,,,412,134,multi-point fuel injection,,inline,4,,gasoline,4,,76,87,,,4800,,,1590,105,6000,all wheel drive (awd),,5,,manual,7.4,,,48,10.2,180,,,80,,double wishbone,drum,ventilated disc,strut,,,,,,,,,,13751,5663,846,20260
daihatsu,charade,1 generation,1977,1983,hatchback 3-doors,1.0 at,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 3-doors,1.0 at,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 3-doors,1.0 mt,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 3-doors,1.0 mt,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 5-doors,1.0 at,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,5,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 5-doors,1.0 at,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,5,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 5-doors,1.0 mt,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,5,,,,,,117784,136710,11338,265832
daihatsu,charade,1 generation,1977,1983,hatchback 5-doors,1.0 mt,,,5,3460,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,5,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 at,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 at,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 at,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 at,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 mt,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 mt,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
daihatsu,charade,2 generation,1983,1987,hatchback 3-doors,1.0 mt,,,5,3530,1520,1360,2300,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,117784,136710,11338,265832
