make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
dodge,avenger,1 generation,1994,2000,coupe,2.0 amt,coupe,,4,4755,1740,1346,2635,1510,1505,1306,,140,,,,,,,,370,,,370,177,multi-point fuel injection,,inline,4,,gasoline,4,,87,83,,,4800,,,1996,141,6000,front wheel drive,,5,,robot,,560|810,,60,,180,10.7,,92,7.4,"independent, double wishbone, stabilizer bar",drum,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,4203,806,165,5174
dodge,avenger,1 generation,1994,2000,coupe,2.0 mt,coupe,,4,4755,1740,1346,2635,1510,1505,1306,,140,,,,,,,,370,,,370,177,multi-point fuel injection,,inline,4,,gasoline,4,,87,83,,,4800,,,1996,141,6000,front wheel drive,,5,,manual,,560|810,,60,,180,10.7,,92,7.4,"independent, double wishbone, stabilizer bar",drum,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,4203,806,165,5174
dodge,avenger,1 generation,1994,2000,coupe,2.4 at,coupe,,4,4755,1740,1346,2635,1510,1505,1306,,140,,,,,,,,370,,,370,226,multi-point fuel injection,,inline,4,,gasoline,4,,87,101,,,4000,,,2429,152,5200,front wheel drive,,4,,automatic,,590,,60,,180,10.2,,92,,"independent, double wishbone, stabilizer bar",drum,disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,4203,806,165,5174
dodge,avenger,1 generation,1994,2000,coupe,2.5 at,coupe,,4,4755,1740,1346,2635,1510,1505,1417,,140,,,,,,,,370,,,370,230,multi-point fuel injection,,v-type,6,,gasoline,4,,83,76,,,4350,,,2497,166,5500,front wheel drive,,4,,automatic,,510|690,,60,,190,11.8,,92,8.7,"independent, double wishbone, stabilizer bar",disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,2.0 d mt,sedan,,5,4850,1843,1497,2765,1570,1570,1635,,132,,,,,,2040,,450,,,450,310,direct injection,,inline,4,,diesel,4,turbo,,,,,2500,,,1968,140,4000,front wheel drive,,5,11.1,manual,6.2,"780|1,250",,64,11.8,203,8.2,,diesel,5.1,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,2.0 mt,sedan,,5,4850,1843,1497,2765,1570,1570,1480,,132,,,,,,2040,,450,,,450,190,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,5100,,,1998,156,6300,front wheel drive,,5,11.1,manual,7.8,"600|1,050",euro iv,64,12.1,200,10.7,,95,6.1,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,2.4 at,sedan,,5,4850,1843,1497,2765,1570,1570,1510,,132,,,,,,2040,,450,,,450,166,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4400,,,2360,173,6000,front wheel drive,,4,11.1,automatic,8.9,520|930,euro iv,64,11,200,12.3,,95,6.9,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,2.4 mt,sedan,,5,4850,1843,1497,2765,1570,1570,1510,,132,,,,,,2040,,450,,,450,166,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,4400,,,2360,173,6000,front wheel drive,,5,11.1,manual,8.9,520|930,euro iv,64,11,200,12.3,,95,6.9,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,2.7 at,sedan,,5,4850,1843,1497,2765,1570,1570,1571,,132,,,,,,2040,,450,,,450,191,multi-point fuel injection,,v-type,6,,gasoline,4,,,,,,4000,,,2736,186,6400,front wheel drive,,4,11.1,automatic,,520|740,euro iv,64,9.5,200,12.4,,95,8.7,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
dodge,avenger,2 generation,2007,2010,sedan,3.5 at,sedan,,5,4850,1843,1497,2765,1570,1570,1618,,132,,,,,,,,450,,,450,232,multi-point fuel injection,,v-type,6,,gasoline,6,,,,,,4000,,,3518,235,6400,front wheel drive,,6,11.1,automatic,12.4,440|720,euro iv,65,9.2,210,14.7,,95,9,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,4203,806,165,5174
