make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
ferrari,360,1 generation,1999,2004,modena coupe,3.6 mt challenge stradale,coupe,,2,4470,1922,1199,2600,1669,1617,1280,,120,,,,,,,,220,,,220,373,injector,,v-type,8,,gasoline,5,,85,79,,,4750,,,3586,425,8500,rear wheel drive,,6,10.8,manual,,,,95,4.1,300,,,95,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,11236,616,484,12336
ferrari,360,1 generation,1999,2004,modena coupe,3.6 mt f1,coupe,,2,4477,1922,1214,2600,1669,1617,1400,,120,,,,,,1700,,220,,,220,373,injector,,v-type,8,,gasoline,5,,85,79,,,4750,,,3586,400,8500,rear wheel drive,,6,10.8,manual,18,340|790,,95,4.5,296,28,,98,12,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,11236,616,484,12336
ferrari,360,1 generation,1999,2004,speedster barchetta,3.6 amt,,,2,4477,1922,1214,2600,,,,215/45/r18  275/40/r18,,,,1617,1669,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,italy,2,,,,,,11236,616,484,12336
ferrari,360,1 generation,1999,2004,spider roadster,3.6 mt,roadster,,2,4477,1922,1214,2600,1660,1617,1460,,120,,,,,,1760,,220,,,220,373,injector,,v-type,8,,gasoline,5,,85,79,,,4750,,,3586,400,8500,rear wheel drive,,6,10.8,manual,18,340|790,,95,4.6,290,28,,98,12,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,11236,616,484,12336
ferrari,458,1 generation,2009,2015,coupe speciale,4.5 amt,,,2,4571,1951,1203,2650,,,1395,245/35/r20  305/30/r20,,,,1632,1679,120,,,,,,230,540,direct injection (direct),,v-type,8,14,petrol,4,none,94,81,central,,6000,445,,4497,605,9000,rear wheel drive,,7,,robot,11.8,,,86,3,325,,275,98,,"independent, spring",ventilated ceramic,ventilated ceramic,"independent, spring",,s,italy,2,,,,,,1707,47,54,1808
ferrari,458,1 generation,2009,2015,italia coupe 2-doors,4.5 amt,coupe,,2,4527,1937,1213,2650,1672,1606,1485,,,,,,,,,,230,,,230,540,injector,,v-type,8,,gasoline,4,,,,,,6000,,,4497,570,9000,rear wheel drive,,7,,robot,11.8,,,86,3.4,325,,,98,,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1707,47,54,1808
ferrari,458,1 generation,2009,2015,roadster,4.5 amt,,,2,4527,1937,1212,2650,,,1535,235/35/r20  295/35/r20,,,,1605,1671,120,1750,,,,,230,540,direct injection (direct),,v-type,8,"12,5",petrol,4,none,94,81,central,,6000,419,,4499,570,9000,rear wheel drive,,7,,robot,13.7,,,86,3.4,318,,,95,,"independent, spring",ventilated ceramic,ventilated ceramic,"independent, spring",,s,italy,2,,,,,,1707,47,54,1808
ferrari,458,1 generation,2009,2015,speciale coupe 2-doors,4.5 amt,coupe,,2,4571,1951,1203,2650,1679,1632,1290,,100,,,,,,,,230,,,230,540,direct injection,,v-type,8,,gasoline,4,,94,81,,,6000,,,4497,605,9000,rear wheel drive,,7,11,robot,11.8,,,86,3,325,,,98,,"independent, multi wishbone, spring, stabilizer bar",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,1707,47,54,1808
ferrari,458,1 generation,2009,2015,spider cabriolet,4.5 amt,cabriolet,,2,4527,1937,1211,2650,1672,1606,1535,,120,,,,,,,645/890,230,,,230,540,direct injection,,v-type,8,,gasoline,4,,94,81,,,6000,,,4497,570,9000,rear wheel drive,,7,11,robot,11.8,,,86,3.4,320,,,98,,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1707,47,54,1808
ferrari,575,1 generation,2002,2006,m maranello coupe,5.7 mt,coupe,,2,4550,1935,1277,2500,1632,1586,1730,,130,,,,,,1990,,185,,,185,588,multi-point fuel injection,,v-type,12,,gasoline,4,,89,77,,,5250,,,5748,515,7250,rear wheel drive,,6,,manual,,"to,730",,105,4.25,327,,,98,14.3,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,1615,70,64,1749
ferrari,575,1 generation,2002,2006,superamerica cabriolet,5.7 mt,cabriolet,,2,4550,1935,1280,2500,1632,1586,1790,,130,,,,,,2050,,185,,,185,588,multi-point fuel injection,,v-type,12,,gasoline,4,,89,77,,,5250,,,5748,532,7250,rear wheel drive,,6,11.6,manual,,,,105,4.25,320,,,98,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,1615,70,64,1749
ferrari,575m,1 generation,2002,2006,coupe maranello,5.8 at,,,2,4550,1935,1277,2500,,,,,,,,1586,1632,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,italy,2,,,,,,1615,70,64,1749
ferrari,575m,1 generation,2002,2006,coupe maranello,5.8 mt,,,2,4550,1935,1277,2500,,,,255/40/r18  295/35/r18,,,,1586,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,italy,2,,,,,,1615,70,64,1749
ferrari,575m,1 generation,2002,2006,roadster superamerica,5.8 at,,,2,4550,1935,1277,2500,,,,245/40/r18  295/35/r18,,,,1586,1632,130,2050,,230,,,185,589,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,,,5250,397,,5748,540,7250,rear wheel drive,,6,,automatic,,,,105,,,,,98,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,italy,2,,,,,,1615,70,64,1749
ferrari,575m,1 generation,2002,2006,roadster superamerica,5.8 mt,,,2,4550,1935,1277,2500,,,1790,255/35/r18  255/40/r18,,,,1586,1632,,2050,,230,,,185,589,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,"front, longitudinal",,5250,397,,5748,540,7250,rear wheel drive,,6,,manual,,,,105,4.2,320,34.5,,98,14.3,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,italy,2,,,,,,1615,70,64,1749
ferrari,575m,1 generation,2002,2006,coupe maranello,5.8 at,,,2,4550,1935,1277,2500,,,,,,,,1586,1632,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,italy,2,,,,,,1340,48,55,1443
ferrari,575m,1 generation,2002,2006,coupe maranello,5.8 mt,,,2,4550,1935,1277,2500,,,,255/40/r18  295/35/r18,,,,1586,1632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,italy,2,,,,,,1340,48,55,1443
ferrari,575m,1 generation,2002,2006,roadster superamerica,5.8 at,,,2,4550,1935,1277,2500,,,,245/40/r18  295/35/r18,,,,1586,1632,130,2050,,230,,,185,589,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,,,5250,397,,5748,540,7250,rear wheel drive,,6,,automatic,,,,105,,,,,98,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,italy,2,,,,,,1340,48,55,1443
ferrari,575m,1 generation,2002,2006,roadster superamerica,5.8 mt,,,2,4550,1935,1277,2500,,,1790,255/35/r18  255/40/r18,,,,1586,1632,,2050,,230,,,185,589,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,"front, longitudinal",,5250,397,,5748,540,7250,rear wheel drive,,6,,manual,,,,105,4.2,320,34.5,,98,14.3,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,italy,2,,,,,,1340,48,55,1443
ferrari,599,1 generation,2006,2012,gtb fiorano coupe 2-doors,6.0 amt,coupe,,2,4665,1962,1336,2750,1690,1618,1690,,,,,,,,,,320,,,320,608,multi-point fuel injection,,v-type,12,,gasoline,4,,92,75,,,5600,,,5999,620,7600,rear wheel drive,,6,,robot,21.3,320|710,,105,3.7,330,32.7,,98,14.7,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1731,67,95,1893
ferrari,599,1 generation,2006,2012,gtb fiorano coupe 2-doors,6.0 mt,coupe,,2,4665,1962,1336,2750,1690,1618,1690,,,,,,,,,,320,,,320,608,injector,,v-type,12,,gasoline,4,,,,,,5600,,,5999,620,7600,rear wheel drive,,6,,manual,21.3,320|710,,105,3.7,330,32.7,,98,14.7,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1731,67,95,1893
ferrari,599,1 generation,2006,2012,gto coupe 2-doors,6.0 amt,coupe,,2,4710,1962,1326,2750,1701,1618,1495,,,,,,,,1605,,,,,,620,multi-point fuel injection,,v-type,12,,gasoline,4,,,,,,6500,,,5999,670,8250,rear wheel drive,,6,,robot,17.5,,euro v,105,3.35,335,,,98,,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1731,67,95,1893
ferrari,599,1 generation,2006,2012,targa,6.0 amt,,,2,4665,1935,1336,2750,,,1690,245/40/r19,,,,1618,1689,127,,,,,,320,620,distributed injection (multipoint),,v-type,12,"11,1",petrol,4,turbine,82,75,,,6500,493,,5999,670,8250,rear wheel drive,,6,,robot,21.3,,,105,3.6,325,32.7,,98,14.7,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,italy,2,,,,,,1731,67,95,1893
ferrari,612,1 generation,2004,2011,coupe,5.8 at,,,4,4902,1957,1344,2950,,,,245/45/r18  285/40/r19,,,,1641,1688,130,,,,,,240,589,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,,,5250,397,,5748,540,7250,rear wheel drive,,6,,automatic,,,,108,4.2,,,,98,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,f,italy,2,,,,,,1452,87,58,1597
ferrari,612,1 generation,2004,2011,coupe,5.8 mt,,,4,4902,1957,1344,2950,,,1840,245/45/r19  285/40/r19,,,,1641,1688,130,2250,,,,,240,588,distributed injection (multipoint),,v-type,12,"11,2",petrol,4,none,89,77,"front, longitudinal",,5250,397,,5748,540,7250,rear wheel drive,,6,,manual,20.5,,,108,4.2,320,32.1,,98,14,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,f,italy,2,,,,,,1452,87,58,1597
ferrari,612 scaglietti,1 generation,2004,2011,coupe,5.7 amt,coupe,,2,4902,1957,1344,2950,1688,1641,1725,,,,,,,,1840,,240,,,240,588,injector,,v-type,12,,gasoline,4,,,,,,5250,,,5748,540,7250,rear wheel drive,,6,,robot,18.2,,,108,4,315,,,98,,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1452,87,58,1597
ferrari,612 scaglietti,1 generation,2004,2011,coupe,5.7 mt,coupe,,2,4902,1957,1344,2950,1688,1641,1725,,,,,,,,1840,,240,,,240,588,injector,,v-type,12,,gasoline,4,,,,,,5250,,,5748,540,7250,rear wheel drive,,6,,manual,18.2,,,108,4,315,,,98,,"independent, multi wishbone",disk ceramic,disk ceramic,"independent, multi wishbone",,,,,,,,,,1452,87,58,1597
