make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
hyundai,accent,5 generation,2017,2020,sedan,1.6 at,,,5,4384,1730,1450,2581,,,1216,185/65/r15  205/45/r17,,,,1511,1506,,1652,,,,,388,162,direct injection (direct),,inline,4,11,petrol,4,none,77,85,"front, cross-section",,4850,97,,1591,130,6300,front wheel drive,,6,,automatic,7.4,,,45,,,8.4,,92,6.2,"semi-independent, spring",drum,disc ventilated,"independent, spring",,b,south korea,4,,,,,,532882,372267,40155,945304
hyundai,accent,5 generation,2017,2020,sedan,1.6 mt,,,5,4384,1730,1450,2581,,,1136,185/65/r15  205/45/r17,,,,1511,1506,,1561,,,,,388,162,direct injection (direct),,inline,4,11,petrol,4,none,77,85,"front, cross-section",,4850,97,,1591,130,6300,front wheel drive,,6,,manual,7.6,,,45,,,8.4,,92,6.4,"semi-independent, spring",drum,disc ventilated,"independent, spring",,b,south korea,4,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.3 at,,,5,4200,1670,1395,2440,,,,175/70/r13,,,,1425,1435,170,1555,,859,,,321,114,multi-point fuel injection,,inline,4,"9,5",gasoline,3,none,71,83,"front, cross-section",,3000,55,,1341,75,3000,front wheel drive,,4,,automatic,,,euro iii,45,,,,,92,,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.3 at,,,5,4200,1670,1395,2440,,,,175/70/r13,,,,1425,1435,170,1480,,859,,,321,114,multi-point fuel injection,,inline,4,"9,5",gasoline,3,none,71,83,"front, cross-section",,3000,63,,1341,86,3000,front wheel drive,,4,,automatic,,,euro iii,45,,,,,92,,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.3 mt,,,5,4200,1670,1395,2440,,,1065,175/70/r13,,,,1425,1435,170,1555,,859,,,321,114,multi-point fuel injection,,inline,4,"9,5",gasoline,3,none,71,83,"front, cross-section",,3000,55,,1341,75,3000,front wheel drive,,5,,manual,6.4,,euro iii,45,14.7,km/h,,,92,,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.3 mt,,,5,4200,1670,1395,2440,,,990,175/70/r13,,,,1425,1435,170,1480,,859,,,321,114,multi-point fuel injection,,inline,4,"9,5",gasoline,3,none,71,83,"front, cross-section",,3000,63,,1341,86,3000,front wheel drive,,5,,manual,6.4,,euro iii,45,12.5,km/h,8.3,,92,5.3,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.5 at,,,5,4200,1670,1395,2440,,,1080,"175/70/r13,",,,,1425,1435,170,1555,,859,,,321,136,multi-point fuel injection,,inline,4,"9,5",gasoline,4,none,75,83,"front, cross-section",,3000,75,,1495,102,3000,front wheel drive,,4,,automatic,6.7,,euro iii,45,10.5,km/h,,,92,,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.5 at,,,5,4200,1670,1395,2440,,,1020,175/70/r13  185/60/r14,,,,1425,1435,170,1490,,859,,,321,133,distributed injection (multipoint),,inline,4,10,petrol,3,none,75,83,"front, cross-section",,2900,65,,1495,88,5500,front wheel drive,,4,,automatic,7.8,,euro 3,45,14.2,166,10.5,,92,6.3,"independent, spring",drum,disc ventilated,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.5 mt,,,5,4200,1670,1395,2440,,,1000,"175/70/r13,",,,,1425,1435,170,1490,,859,,,321,136,multi-point fuel injection,,inline,4,"9,5",gasoline,4,none,75,83,"front, cross-section",,3000,75,,1495,102,3000,front wheel drive,,5,,manual,,,euro iii,45,10.5,km/h,8.7,,92,5.7,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
hyundai,accent,lc,1999,2013,hatchback 3-doors,1.5 mt,,,5,4200,1670,1395,2440,,,1065,"175/70/r13,",,,,1425,1435,170,1570,,859,,,321,182,,,inline,4,"17,7",diesel,3,turbo,83,92,"front, cross-section",,2000,60,,1493,82,1900,front wheel drive,,5,,manual,5.5,,euro iii,45,14,km/h,7.2,,diesel,4.5,"independent, spring",drum,ventilated disc,"independent, spring",,b,south korea,3,,,,,,532882,372267,40155,945304
