make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
isuzu,bighorn,1 generation,1987,2002,pickup single cabin,2.2 mt 4wd,,,2,4120,1650,1845,2300,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,2,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,2.2 d mt,crossover,,5,4470,1760,1845,2650,1450,1460,1700,,225,,,,,,,,,,,,183,direct injection,,inline,4,,diesel,2,turbo,,,,,4000,,,2238,87,4000,all wheel drive (awd),,5,10,manual,,"to,1,570",,83,,,,,diesel,5.3,spring,drum,ventilated disc,double wishbone,,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,2.6 mt,crossover,,5,4470,1760,1845,2650,1450,1460,1700,,220,,,,,,,,,,,,204,direct injection,,inline,4,,gasoline,2,,92,95,,,2600,,,2559,120,4600,all wheel drive (awd),,5,10,manual,,"to,1,000",,83,,,,,95,8.3,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,2.8 td mt,crossover,,5,4470,1760,1845,2650,1450,1460,1700,,220,,,,,,,,,,,,235,direct injection,,inline,4,,diesel,2,turbo,93,102,,,2300,,,2771,115,3600,all wheel drive (awd),,5,10,manual,,,,83,,,,,diesel,,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,3.0 d mt,crossover,,5,4750,1745,1840,2760,1455,1460,2030,,210,,,,,,,,,,,,333,common rail,,inline,4,,diesel,4,turbo,95,104,,,2000,,,2999,159,3600,all wheel drive (awd),,5,11.6,manual,,,,85,,,,,diesel,,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,3.1 d mt,crossover,,5,4750,1745,1840,2760,1455,1460,2030,,210,,,,,,,,,,,,275,common rail,,inline,4,,diesel,2,turbo,95,107,,,2000,,,3059,125,3600,all wheel drive (awd),,5,11.6,manual,,,,85,,,,,diesel,,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,3.2 mt,crossover,,5,4750,1745,1840,2760,1455,1460,2030,,210,,,,,,,,,,,,265,injector,,v-type,6,,gasoline,2,,93,77,,,3600,,,3165,200,5600,all wheel drive (awd),,5,11.6,manual,,,,85,,,,,95,,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv,3.5 mt,crossover,,5,4750,1745,1840,2760,1455,1460,2030,,210,,,,,,,,,,,,312,multi-point fuel injection,,v-type,6,,gasoline,4,,93,85,,,3000,,,3494,233,5400,all wheel drive (awd),,5,11.6,manual,,,,85,,,,,95,,spring,drum,ventilated disc,"independent, torsion, double wishbone",,,,,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.0 at  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.0 mt  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.2d at  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.2d mt  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.3 at  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.3 mt  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.6 at  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.6 mt  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.8 at  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
isuzu,bighorn,1 generation,1987,2002,suv 3-doors,2.8 mt  4wd,,,4,4470,1651,1821,2649,,,,,,,,1495,1490,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,japan,4,,,,,,2419,605,131,3155
