make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
jaguar xk,jaguar,xk,1 generation [redesign],2004,2006,cabriolet,4.2 at,,,4,4760,1829,1306,2588,,,1775,245/50/r17,,,,1498,1504,145,2160,,,,,307,411,distributed injection (multipoint),,v-type,8,11,petrol,4,none,86,90,,,4100,219,,4196,298,6800,rear wheel drive,,6,,automatic,11.4,,euro 4,75,6.6,250,16.8,,95,8.3,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,1 generation [redesign],2004,2006,coupe,4.2 at,,,4,4760,1829,1296,2588,,,1685,245/50/r17,,,,1498,1504,145,2065,,,,,327,411,distributed injection (multipoint),,v-type,8,11,petrol,4,none,86,90,,,4100,219,,4196,298,6800,rear wheel drive,,6,,automatic,11.3,,euro 4,75,6.4,250,16.7,,95,8.3,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,2 generation [2th redesign],2011,2014,cabriolet,5.0 at,,,4,4794,1892,1329,2752,,,1696,245/45/r18  275/40/r18,,,,1600,1560,100,2120,,313,,,200,515,direct injection (direct),,v-type,8,"11,5",petrol,4,none,92,93,"front, longitudinal",,3500,283,,5000,385,6500,rear wheel drive,,6,,automatic,11.2,,euro 5,71,5.6,250,17.1,264,95,8,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,2 generation [2th redesign],2011,2014,coupe,5.0 at,,,4,4794,1892,1322,2752,,,1660,245/45/r18  275/40/r18,,,,1600,1560,100,2075,,,,,330,515,direct injection (direct),,v-type,8,"11,5",petrol,4,none,92,93,"front, longitudinal",,3500,283,,5000,385,6500,rear wheel drive,,6,,automatic,11.2,,euro 5,71,5.5,250,17.1,264,95,8,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,s,great britain,2,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100,1996,2002,xk8 cabriolet 2-doors,4.0 at,cabriolet,,4,4760,1829,1306,2588,1504,1498,1780,,,,,,,,2100,,327,,,327,375,multi-point fuel injection,,v-type,8,,gasoline,4,,86,86,,,4250,,,3998,284,6100,rear wheel drive,,5,,automatic,11.8,440|870,,75,6.7,250,17.2,,95,8.6,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100,1996,2002,xk8 coupe 2-doors,4.0 at,coupe,,4,4760,1829,1306,2588,1504,1498,1780,,,,,,,,2100,,327,,,327,375,multi-point fuel injection,,v-type,8,,gasoline,4,,86,86,,,4250,,,3996,284,6100,rear wheel drive,,5,,automatic,11.8,440|870,,75,6.8,250,17.2,,95,8.6,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100,1996,2002,xkr cabriolet 2-doors,4.0 at,cabriolet,,4,4760,1829,1306,2588,1504,1498,1825,,,,,,,,2100,,307,,,307,505,multi-point fuel injection,,v-type,8,,gasoline,4,compressor,86,86,,,3600,,,3996,363,6150,rear wheel drive,,5,,automatic,12.5,420|800,,75,5.4,250,18,,95,9.4,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100,1996,2002,xkr coupe 2-doors,4.0 mt,coupe,,4,4760,1829,1296,2588,1504,1498,1715,,,,,,,,2010,,327,,,327,505,multi-point fuel injection,,v-type,8,,gasoline,4,compressor,86,86,,,3600,,,3996,363,6150,rear wheel drive,,5,,manual,12.7,420|780,euro iv,75,5.6,250,18,,95,9.6,double wishbone,disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100 [2th redesign],2004,2006,xk8 cabriolet,4.2 at,cabriolet,,2,4760,1829,1306,2588,1504,1498,1775,,,,,,,,2160,,307,,,307,411,multi-point fuel injection,,v-type,8,,gasoline,4,,86,90,,,4100,,,4196,298,6800,rear wheel drive,,6,,automatic,11.4,450|900,,75,6.6,250,16.8,,95,8.3,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
jaguar xk,jaguar,xk,x100 [2th redesign],2004,2006,xk8 coupe,4.2 at,coupe,,4,4760,1829,1296,2588,1504,1498,1685,,,,,,,,2065,,327,,,327,411,multi-point fuel injection,,v-type,8,,gasoline,4,,86,90,,,4100,,,4196,298,6800,rear wheel drive,,6,,automatic,11.3,450|900,,75,6.6,250,16.7,,95,8.3,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,222876,34707,12500,270083
