make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 3-doors,2.5 at,,,5,4254,1763,1624,2576,,,1351,215/75/r15,,,,1473,1473,200,2064,,1954,,,932,203,distributed injection (multipoint),,inline,4,"9,2",petrol,2,none,98,81,"front, longitudinal",,3250,93,,2464,127,5400,rear wheel drive,,3,,automatic,12.4,,,76,,,13.1,,92,10.7,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,3,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 3-doors,2.5 mt 4wd,,,5,4254,1763,1624,2576,,,1565,225/75/r15,,,,1473,1473,200,2230,,1954,,,932,300,,,inline,4,22,diesel,2,turbine,92,94,"front, longitudinal",,2000,85,,2499,116,3900,full,,5,,manual,9.5,,,76,12.1,165,12.3,,diesel,7.9,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,3,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 3-doors,2.5 mt 4wd,,,5,4254,1763,1624,2576,,,1485,215/75/r15,,,,1473,1473,200,2087,,1954,,,932,234,distributed injection (multipoint),,inline,4,"9,2",petrol,2,none,98,81,"front, longitudinal",,3250,93,,2464,127,5400,full,,5,,manual,,,,76,12,153,13.1,,92,11.8,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,3,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 3-doors,4.0 at 4wd,,,5,4254,1763,1624,2576,,,1545,225/70/r15,,,,1473,1473,200,2223,,1954,,,932,318,distributed injection (multipoint),,inline,6,,petrol,2,none,,,"front, longitudinal",,3000,141,,3956,192,4600,full,,4,,automatic,,,,76,9.7,185,13.1,,92,10.8,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,3,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 3-doors,4.0 mt 4wd,,,5,4254,1763,1624,2576,,,1545,225/70/r15,,,,1473,1473,200,2223,,1954,,,932,318,distributed injection (multipoint),,inline,6,,petrol,2,none,,,"front, longitudinal",,3000,141,,3956,192,4600,full,,5,,manual,,,,76,9.7,185,13.1,,92,10.8,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,3,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 5-doors,2.5 at,,,5,4255,1763,1624,2576,,,1375,215/75/r15,,,,1473,1473,200,2087,,1954,,,932,203,distributed injection (multipoint),,inline,4,"9,2",petrol,2,none,98,81,"front, longitudinal",,3250,93,,2464,127,5400,rear wheel drive,,3,,automatic,12.4,,,76,,,13.1,,92,10.7,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,5,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 5-doors,2.5 mt,,,5,4255,1763,1624,2576,,,1360,215/75/r15,,,,1473,1473,200,2087,,1954,,,932,203,distributed injection (multipoint),,inline,4,"9,2",petrol,2,none,98,81,"front, longitudinal",,3250,93,,2464,127,5400,rear wheel drive,,5,,manual,,,,76,12,153,11.2,,92,9.4,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,5,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 5-doors,2.5 mt 4wd,,,5,4255,1763,1624,2576,,,1615,215/75/r15,,,,1473,1473,220,2230,,1954,,,932,300,,,inline,4,22,diesel,2,turbine,92,94,"front, longitudinal",,2000,85,,2499,115,3900,full,,5,,manual,,,,76,12.3,162,12.1,,diesel,8,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,5,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 5-doors,2.5 mt 4wd,,,5,4255,1763,1624,2576,,,1465,215/75/r15,,,,1473,1473,200,2200,,1954,,,932,198,distributed injection (multipoint),,inline,4,"9,1",petrol,2,none,101,76,"front, longitudinal",,3450,87,,2471,118,5200,full,,5,,manual,11.7,,euro 2,76,13,165,15.7,,92,9.4,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,5,,,,,,675775,214426,41850,932051
jeep,cherokee,2 generation (xj) [redesign],1997,2001,suv 5-doors,2.5 mt 4wd,,,5,4255,1763,1624,2576,,,1485,215/75/r15,,,,1473,1473,200,2200,,1954,,,932,203,distributed injection (multipoint),,inline,4,"9,2",petrol,2,none,98,81,"front, longitudinal",,3250,93,,2464,127,5400,full,,5,,manual,,,,76,12,153,13.1,,92,11.8,"dependent, spring",drum,disc ventilated,"dependent, spring",,j,usa,5,,,,,,675775,214426,41850,932051
