make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
kia,carens,1 generation,2000,2002,minivan,1.8 at,minivan,,5,4439,1709,1603,2555,1470,1470,1295,,135,,455,,,,1750,,422,,,422,152,multi-point fuel injection,,inline,4,,gasoline,4,,81,87,,,4500,,,1793,109,5750,front wheel drive,,4,10.2,automatic,9.7,470|650,euro iii,55,13.4,173,11.8,,92,8.4,"independent, multi wishbone",disc,disc,"independent, mcpherson struts",,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation,2000,2002,minivan,1.8 mt,minivan,,5,4439,1709,1603,2555,1470,1470,1264,,135,,486,,,,1750,,422,,,422,152,multi-point fuel injection,,inline,4,,gasoline,4,,81,87,,,4500,,,1793,109,5750,front wheel drive,,5,10.2,manual,9,470|740,euro iii,55,13.1,185,11.7,,92,7.4,"independent, multi wishbone",disc,disc,"independent, mcpherson struts",,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,1.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,1.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,2.0 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,2.0 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,2.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,2.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,1 generation (rs) [redesign],2002,2006,compactvan,2.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116146,49489,5600,171235
kia,carens,2 generation,2002,2006,minivan,1.6 mt,minivan,,5,4493,1748,1609,2560,1490,1483,1347,,150,,483,,,,1830,,1632,,,422,141,injector,,inline,4,,gasoline,4,,78,83,,,4700,,,1594,103,5800,front wheel drive,,5,10.2,manual,8.2,520|810,euro iii,55,13.5,170,10.6,,95,6.8,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,116146,49489,5600,171235
kia,carens,2 generation,2002,2006,minivan,1.8 at,minivan,,5,4493,1748,1609,2560,1490,1483,1410,,150,,495,,,,1905,,1632,,,422,162,injector,,inline,4,,gasoline,4,,81,87,,,4500,,,1793,125,6000,front wheel drive,,4,10.2,automatic,9.1,450|760,euro iii,55,15,170,12.3,,95,7.2,"independent, multi wishbone",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,116146,49489,5600,171235
