make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
lamborghini,aventador,1 generation,2011,2020,lp 700-4 coupe 2-doors,6.5 amt awd,coupe,,2,4780,2030,1136,2700,1720,1700,1575,,,,,,,,,677/898,,,,,690,direct injection,,v-type,12,,gasoline,4,,95,76,,,5500,,,6498,700,8250,all wheel drive (awd),,7,12.5,robot,17.21,330|800,euro v,90,2.9,350,27.3,,98,11.3,"independent, double wishbone, stabilizer bar","disc composite, ventilated","disc composite, ventilated","independent, double wishbone, stabilizer bar",,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation,2011,2020,lp 700-4 roadster,6.5 amt awd,roadster,,2,4780,2030,1136,2700,1720,1700,1625,,,,,,,,,,,,,,690,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,5500,,,6498,700,8250,all wheel drive (awd),,7,12.5,robot,16,360|840,euro v,90,3,350,24.7,,98,10.7,independent,"disc composite, ventilated","disc composite, ventilated",independent,,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation,2011,2020,lp720-4 50th anniversario coupe 2-doors,6.5 amt,coupe,,2,4834,2030,1136,2700,1720,1700,1575,,,,,,,,,,,,,,690,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,5500,,,6498,720,8250,all wheel drive (awd),,7,12.5,robot,16,360|840,euro v,90,2.9,350,24.7,,98,10.7,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation [redesign],2016,2020,s coupe,6.5 amt,coupe,,2,4797,2030,1136,2700,1720,1680,1575,,115,,,,,,,,,,,,690,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,5500,,,6498,740,8400,all wheel drive (awd),,7,,robot,20.1,270|630,euro vi,85,2.9,350,31.8,,98,13.4,"independent, double wishbone",disk ceramic,disk ceramic,"independent, double wishbone",,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation [redesign],2016,2020,s roadster,6.5 amt,roadster,,2,4797,2030,1136,2700,,,1625,,,,,,,,,,,,,,690,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,5500,,,6498,740,8400,four wheel drive (4wd),,7,,robot,20.1,,euro vi,,3,350,31.8,,98,13.4,"independent, double wishbone","disc composite, ventilated","disc composite, ventilated","independent, double wishbone",,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation [redesign],2016,2020,svj coupe 2-doors,6.5 amt,coupe,,2,4797,2030,1136,2700,1720,1680,1575,,115,,,,,,,,,,,,720,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,6750,,,6498,770,8500,all wheel drive (awd),,7,,robot,19.6,,euro vi,85,2.8,350,,,98,,"independent, double wishbone",disk ceramic,disk ceramic,"independent, double wishbone",,,,,,,,,,121,0,3,124
lamborghini,aventador,1 generation [redesign],2016,2020,svj roadster,6.5 amt,roadster,,2,4943,2098,1136,2700,1720,1680,1575,,115,,,,,,,,,,,,720,multi-point fuel injection,,v-type,12,,gasoline,4,,95,76,,,6750,,,6498,770,8500,all wheel drive (awd),,7,,robot,,,euro vi,85,2.9,351,,,98,,"independent, double wishbone",disk ceramic,disk ceramic,"independent, double wishbone",,,,,,,,,,121,0,3,124
lamborghini,diablo,1 generation,1993,1998,se30 coupe 2-doors,5.7 mt,coupe,,2,4460,2040,1105,2650,1540,1640,1450,,140,,,,,,,,,,,,580,injector,,v-type,12,,gasoline,4,,87,80,,,5200,,,5707,492,7000,front wheel drive,,5,13.2,manual,16.5,,,100,4,325,,,95,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,464,31,47,542
lamborghini,diablo,1 generation,1993,1998,se30 coupe 2-doors,5.7 mt jota,coupe,,2,4460,2040,1105,2650,1540,1640,1450,,140,,,,,,,,,,,,639,injector,,v-type,12,,gasoline,4,,87,80,,,4800,,,5707,591,7300,front wheel drive,,5,13.2,manual,,,,100,3.9,340,,,95,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,464,31,47,542
lamborghini,diablo,1 generation,1993,1998,sv coupe 2-doors,5.7 mt,coupe,,2,4470,2040,1115,2650,1540,1640,1530,,140,,,,,,,,,,,,580,multi-point fuel injection,,v-type,12,,gasoline,4,,,80,,,5200,,,5709,493,7000,rear wheel drive,,5,13.2,manual,,,,100,4,328,,,95,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,464,31,47,542
lamborghini,diablo,1 generation,1993,1998,sv coupe 2-doors,5.7 mt,coupe,,2,4470,2040,1115,2650,1540,1640,1530,,140,,,,,,,,140,,,140,580,multi-point fuel injection,,v-type,12,,gasoline,4,,,80,,,5200,,,5709,512,7100,rear wheel drive,,5,13.2,manual,,,euro ii,100,4,333,,,95,,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,464,31,47,542
lamborghini,diablo,1 generation,1993,1998,sv coupe 2-doors,5.7 mt,coupe,,2,4470,2040,1115,2650,1540,1640,1530,,140,,,,,,,,,,,,605,injector,,v-type,12,,gasoline,4,,,80,,,5500,,,5709,523,7100,rear wheel drive,,5,13.2,manual,27,260|590,,100,3.85,320,37.9,,95,17,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,464,31,47,542
