make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
lancia,beta,1 generation,1976,1984,coupe,1.6 mt,coupe,,4,3995,1650,1285,2350,,,1110,,,,,,,,,,,,,,137,carburetor,,inline,4,,gasoline,2,,84,71,,,3000,,,1585,101,5800,front wheel drive,,5,,manual,,,,52,10.4,183,,,95,,"independent, multi wishbone, spring, stabilizer bar",disc,disc,"independent, multi wishbone, spring, stabilizer bar",,,,,,,,,,4513,656,153,5322
lancia,beta,1 generation,1976,1984,coupe,2.0 mt,coupe,,4,3995,1650,1285,2350,,,1070,,,,,,,,,,,,,,177,injector,,inline,4,,gasoline,2,,84,90,,,2800,,,1995,120,5500,front wheel drive,,5,,manual,,,,,,190,,,95,,"independent, multi wishbone, spring, stabilizer bar",disc,disc,"independent, multi wishbone, spring, stabilizer bar",,,,,,,,,,4513,656,153,5322
lancia,beta,1 generation,1976,1984,sedan,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513,656,153,5322
lancia,beta,1 generation,1976,1984,sedan,2.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513,656,153,5322
lancia,beta,1 generation,1976,1984,sedan,2.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4513,656,153,5322
lancia,beta,1 generation,1976,1984,spider targa,2.0 mt,targa,,4,3995,1650,1285,2350,,,1070,,,,,,,,,,,,,,175,carburetor,,inline,4,,gasoline,2,,84,90,,,2800,,,1995,121,5500,front wheel drive,,5,,manual,,,,52,,187,,,95,,"independent, mcpherson struts, multi wishbone, spring, stabilizer bar",disc,disc,"independent, mcpherson struts, on triangular wishbones",,,,,,,,,,4513,656,153,5322
lancia,dedra,1 generation,1989,1999,sedan,1.6 mt e,sedan,,5,4340,1700,1417,2540,1436,1417,1093,,150,,,,,,1620,,480,,,480,125,multi-point fuel injection,,inline,4,,gasoline,2,,86,67,,,3000,,,1581,75,6000,front wheel drive,,5,11.4,manual,8,,,63,13,170,,,95,,trailing arms,drum,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.6 mt e,sedan,,5,4343,1700,1417,2540,1436,1417,1100,,150,,,,,,1590,,480,,,480,124,multi-point fuel injection,,inline,4,,gasoline,2,,86,67,,,3000,,,1581,78,5800,front wheel drive,,5,11.4,manual,8.3,,,63,13.8,170,,,95,,trailing arms,drum,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.6 mt le,sedan,,5,4340,1700,1417,2540,1436,1417,1060,,150,,,,,,1600,,480,,,480,127,multi-point fuel injection,,inline,4,,gasoline,2,,86,67,,,2750,,,1581,90,5750,front wheel drive,,5,,manual,7.9,"570|1,030",,63,13.4,180,11,,95,6.1,trailing arms,drum,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.8 mt e,sedan,,5,4343,1700,1430,2540,1436,1415,1215,,150,,,,,,1650,,480,,,480,142,multi-point fuel injection,,inline,4,,gasoline,2,,84,79,,,3000,,,1756,101,6000,front wheel drive,,5,,manual,8.5,,,60,12,185,,,95,,trailing arms,disc,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.8 mt gt,sedan,,5,4343,1700,1430,2540,1436,1415,1310,,150,,,,,,1735,,480,,,480,164,multi-point fuel injection,,inline,4,,gasoline,4,,82,82,,,4300,,,1747,131,6300,front wheel drive,,5,,manual,8,,,63,9.9,211,,,95,,trailing arms,disc,ventilated disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.8 mt le,sedan,,5,4343,1700,1430,2540,1436,1415,1310,,150,,,,,,1735,,480,,,480,154,multi-point fuel injection,,inline,4,,gasoline,2,,82,82,,,4400,,,1747,113,5800,front wheel drive,,5,,manual,7.6,,,63,10.3,191,,,95,,trailing arms,disc,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.8 mt le,sedan,,5,4343,1700,1417,2540,1436,1417,1173,,150,,,,,,1700,,480,,,480,128,multi-point fuel injection,,inline,4,,gasoline,2,,84,79,,,3250,,,1765,90,6000,front wheel drive,,5,,manual,8,,,63,13.2,186,,,95,,trailing arms,disc,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,1.9 tds mt,sedan,,5,4345,1700,1430,2540,1436,1415,1225,,160,,,,,,1700,,480,,,480,186,multi-point fuel injection,,inline,4,,diesel,2,turbo,82,90,,,2400,,,1929,90,4200,front wheel drive,,5,,manual,6.8,"680|1,030",,60,12.9,180,8.8,,diesel,5.8,trailing arms,disc,disc,strut,,,,,,,,,,13429,2610,612,16651
lancia,dedra,1 generation,1989,1999,sedan,2.0 mt,sedan,,5,4343,1700,1430,2540,1436,1415,1260,,160,,,,,,1700,,480,,,480,180,multi-point fuel injection,,inline,4,,gasoline,4,,84,90,,,4500,,,1995,139,6000,front wheel drive,,5,,manual,8.8,,,60,9.4,210,,,95,,trailing arms,disc,ventilated disc,strut,,,,,,,,,,13429,2610,612,16651
