make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
land rover,defender,1 generation,1983,2007,110 pickup,2.5 td mt awd,pickup,,5,4438,1790,2035,2794,1486,1486,1980,,190,,1520,,,,3500,,,,,,265,direct injection,,inline,4,,diesel,2,turbo,90,97,,,1800,,,2496,113,4000,all wheel drive (awd),,5,,manual,,,,80,,128,,,diesel,,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 pickup,2.5 td mt awd,pickup,,5,4438,1790,2035,2794,1486,1486,2117,,190,,1383,,,,3500,,,,,,300,direct injection,,inline,5,,diesel,2,turbo,84,89,,,1950,,,2495,122,4200,all wheel drive (awd),,5,,manual,10.7,,,80,19.5,129,,,diesel,,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,2.5 d mt awd,crossover,,5,4438,1790,2035,2794,1486,1486,1828,,190,,1222,,,,3050,,,,,,158,direct injection,,inline,4,,diesel,2,,90,97,,,1800,,,2495,68,4000,all wheel drive (awd),,5,,manual,12.3,,,80,,100,,,diesel,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,2.5 mt awd,crossover,,5,4498,1790,2035,2794,1486,1486,1805,,190,,1245,,,,3050,,,,,,181,carburetor,,inline,4,,gasoline,2,,90,97,,,2000,,,2495,83,4000,all wheel drive (awd),,5,,manual,16.5,,,80,24,110,,,92,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,2.5 td mt awd,crossover,,5,4439,1790,2035,2794,1486,1486,2055,,190,,895,,,,2950,,,,,,255,direct injection,,inline,4,,diesel,2,turbo,90,97,,,1800,,,2495,107,3800,all wheel drive (awd),,5,,manual,11.4,,,80,,130,,,diesel,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,2.5 td mt awd,crossover,,5,4438,1790,2035,2794,1486,1486,2055,,190,,795,,,,2850,,,,,,265,direct injection,,inline,4,,diesel,2,turbo,90,97,,,1800,,,2496,113,4000,all wheel drive (awd),,5,,manual,10.6,650|920,,80,18.1,129,12.4,,diesel,8.7,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,2.5 td mt awd,crossover,,5,4438,1790,2035,2794,1486,1486,1870,,190,,680,,,,2550,,,,,,300,direct injection,,inline,5,,diesel,2,turbo,84,89,,,1950,,,2495,122,4200,all wheel drive (awd),,5,,manual,10.1,670|910,,80,18.8,130,11.9,,diesel,8.8,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,110 suv 5-doors,3.5 mt awd,crossover,,5,4438,1790,2035,2794,1486,1486,1806,,190,,1244,,,,3050,,,,,,253,carburetor,,v-type,8,,gasoline,2,,88,71,,,2500,,,3528,134,5000,all wheel drive (awd),,5,,manual,18.1,,,80,,130,,,92,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,90 suv 3-doors,2.5 d mt awd,crossover,,4,3883,1790,1972,2360,1486,1486,1656,,190,,744,,,,2400,,,,,,158,direct injection,,inline,4,,diesel,2,,90,97,,,1800,,,2495,68,4000,all wheel drive (awd),,5,,manual,10.3,,,55,,105,,,diesel,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,90 suv 3-doors,2.5 mt awd,crossover,,4,3883,1790,1972,2360,1486,1486,1636,,190,,764,,,,2400,,,,,,181,carburetor,,inline,4,,gasoline,2,,90,97,,,2000,,,2495,83,4000,all wheel drive (awd),,5,,manual,14.8,,,55,,115,,,92,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,90 suv 3-doors,2.5 td mt awd,crossover,,4,3883,1790,1972,2360,1486,1486,1695,,190,,705,,,,2400,,,,,,255,direct injection,,inline,4,,diesel,2,turbo,90,97,,,1800,,,2495,107,3800,all wheel drive (awd),,5,,manual,10.7,,,55,,125,,,diesel,,"dependent, dampers, helical springs",drum,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,90 suv 3-doors,2.5 td mt awd,crossover,,4,3883,1790,1972,2360,1486,1486,1695,,190,,855,,,,2550,,,,,,265,direct injection,,inline,4,,diesel,2,turbo,90,97,,,1800,,,2496,113,4000,all wheel drive (awd),,5,,manual,9.8,470|630,,55,18.1,129,11.7,,diesel,8.7,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
land rover,defender,1 generation,1983,2007,90 suv 3-doors,2.5 td mt awd,crossover,,4,3883,1790,1972,2360,1486,1486,1870,,190,,680,,,,2550,,,,,,300,direct injection,,inline,5,,diesel,2,turbo,84,89,,,1950,,,2495,122,4200,all wheel drive (awd),,5,,manual,10.1,460|630,,55,17.5,130,11.9,,diesel,8.8,"dependent, dampers, helical springs",disc,disc,"dependent, dampers, helical springs",,,,,,,,,,89109,19601,6361,115071
