make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
lotus,elan,2 generation,1989,1996,cabriolet,1.6i mt,cabriolet,,2,3900,1735,1230,2250,1485,1485,995,,130,,,,,,,,,,,,142,multi-point fuel injection,,inline,4,,gasoline,4,,80,79,,,4200,,,1588,132,7200,front wheel drive,,5,,manual,8,460|770,,46,8,196,10,,95,6,helical springs,ventilated disc,ventilated disc,helical springs,,,,,,,,,,47229,6944,2413,56586
lotus,elan,2 generation,1989,1996,cabriolet,1.6i mt s2,cabriolet,,2,3803,1734,1240,2250,1486,1486,1020,,130,,,,,,1270,,185,,,185,198,multi-point fuel injection,,inline,4,,gasoline,4,,80,79,,,4200,,,1588,158,6000,front wheel drive,,5,,manual,8,,,46,7,220,,,95,,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,47229,6944,2413,56586
lotus,elan,2 generation,1989,1996,cabriolet,1.6i mt turbo,cabriolet,,2,3900,1735,1230,2250,1485,1485,1020,,130,,,,,,,,,,,,201,multi-point fuel injection,,inline,4,,gasoline,4,turbo,80,79,,,4200,,,1588,167,6500,rear wheel drive,,5,,manual,8,460|770,,46,7,220,10,,95,6,helical springs,ventilated disc,ventilated disc,helical springs,,,,,,,,,,47229,6944,2413,56586
lotus,elise,1 generation,1995,2000,cabriolet,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90585,10148,4434,105167
lotus,elise,1 generation,1995,2000,cabriolet,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90585,10148,4434,105167
lotus,elise,1 generation,1995,2000,cabriolet,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90585,10148,4434,105167
lotus,elise,1 generation,1995,2000,cabriolet,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation,2004,2010,roadster,1.8 mt,roadster,,2,3785,1719,1143,2300,,,860,,130,,,,,,,,112,,,112,181,injector,,inline,4,,gasoline,4,,,,,,6800,,,1796,192,7800,rear wheel drive,,6,,manual,8.8,330|590,euro iv,40,5,222,12.1,,98,6.8,"independent, double wishbone, self-adjusting shock absorbers",ventilated disc,ventilated disc,"independent, double wishbone, stabilizer bar",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation,2004,2010,roadster,1.8 s mt,roadster,,2,3785,1850,1117,2300,1457,1507,,,130,,,,,,,,,,,,250,multi-point fuel injection,,inline,4,,gasoline,4,turbo,80,88,,,4600,,,1797,220,6800,rear wheel drive,,6,10,manual,7.5,430|750,,44,,,10.3,,95,5.9,"independent, spring",ventilated disc,ventilated disc,"independent, spring",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation,2004,2010,sc roadster 2-doors,1.8 mt,roadster,,2,3785,1719,1143,2300,,,870,,130,,,,,,,,112,,,112,212,injector,,inline,4,,gasoline,4,,,,,,5000,,,1796,220,8000,rear wheel drive,,6,,manual,8.5,,,43,4,233,,,98,,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, multi wishbone",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation [redesign],2010,2020,roadster 2-doors,1.6 cr mt,roadster,,2,3785,1850,1117,2300,1457,1507,852,,130,,,,,,,,,,,,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,78,,,4400,,,1598,136,6800,rear wheel drive,,6,,manual,6.3,530|880,,44,6.5,204,8.3,,95,5,"independent, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation [redesign],2010,2020,roadster 2-doors,1.6 cr sps,roadster,,2,3785,1850,1117,2300,1457,1507,852,,130,,,,,,,,,,,,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,78,,,4400,,,1598,136,6800,rear wheel drive,,6,,robot,,,,44,,,,,95,,"independent, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation [redesign],2010,2020,roadster 2-doors,1.6 mt,roadster,,2,3785,1850,1117,2300,1457,1507,876,,130,,,,,,,,,,,,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,78,,,4400,,,1598,136,6800,rear wheel drive,,6,,manual,6.3,530|880,,44,6.5,204,8.3,,95,5,"independent, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,90585,10148,4434,105167
lotus,elise,2 generation [redesign],2010,2020,roadster 2-doors,1.6 sps,roadster,,2,3785,1850,1117,2300,1457,1507,876,,130,,,,,,,,,,,,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,78,,,4400,,,1598,136,6800,rear wheel drive,,6,,robot,,,,44,,,,,95,,"independent, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,90585,10148,4434,105167
lotus,elite,1 generation,1957,1963,coupe,1.2 mt,coupe,,2,3708,1506,1181,2235,1194,1321,506,,165,,,,,,756,,,,,,104,carburetor,,inline,4,,gasoline,4,,76,66,,,3750,,,1216,72,6100,rear wheel drive,,4,,manual,,,,26,11,180,,,95,,independent,disc,disc,independent,,,,,,,,,,4546,234,74,4854
