make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
maserati,3200 gt,1 generation,1998,2001,coupe,3.2 biturbo at,coupe,,4,4510,1822,1305,2660,1525,1538,1590,,,,,,,,1940,,220,,,220,491,multi-point fuel injection,,v-type,8,,gasoline,4,biturbo,,,,,4500,,,3217,370,6250,rear wheel drive,,4,,automatic,,360,,90,5.1,280,25,,95,,wishbone,disc,ventilated disc,wishbone,,,,,,,,,,6682,685,302,7669
maserati,3200 gt,1 generation,1998,2001,coupe,3.2 biturbo mt,coupe,,4,4510,1822,1305,2660,1525,1538,1590,,,,,,,,1940,,220,,,220,491,multi-point fuel injection,,v-type,8,,gasoline,4,biturbo,,,,,4500,,,3217,370,6250,rear wheel drive,,6,,manual,,360,,90,5.1,280,25,,95,,wishbone,disc,ventilated disc,wishbone,,,,,,,,,,6682,685,302,7669
maserati,coupe,1 generation,2002,2007,coupe,4.2 mt,coupe,,4,4523,1822,1305,2660,1525,1538,1670,,120,,,,,,2060,,315,,,315,451,multi-point fuel injection,,v-type,8,,gasoline,4,,92,80,,,4500,,,4244,390,7000,rear wheel drive,,6,,manual,15,440|880,,88,4,285,20,,95,10,helical springs,ventilated disc,ventilated disc,helical springs,,,,,,,,,,7025,559,455,8039
maserati,ghibli,2 generation,1992,1997,coupe,2.0 biturbo mt,coupe,,4,4223,1775,1300,2514,1515,1510,1365,,,,,,,,1765,,420,,,420,373,multi-point fuel injection,,v-type,6,,gasoline,4,biturbo,82,63,,,4250,,,1996,306,6250,rear wheel drive,,6,,manual,,500|800,,80,5,265,16,,95,10,helical springs,disc,disc,helical springs,,,,,,,,,,1067,57,66,1190
maserati,ghibli,2 generation,1992,1997,coupe,2.8 biturbo mt,coupe,,4,4223,1775,1300,2541,1515,1510,1365,,,,,,,,1850,,420,,,420,397,multi-point fuel injection,,v-type,6,,gasoline,4,biturbo,82,63,,,3500,,present,2790,284,6000,rear wheel drive,,6,,manual,,470|670,,80,5,260,17,,95,12,helical springs,ventilated disc,ventilated disc,wishbone,,,,,,,,,,1067,57,66,1190
maserati,ghibli,3 generation,2013,2018,sedan,3.0 v6 at,sedan,,5,4971,1945,1461,2998,1635,1653,1810,,,,,,,,,,500,,,500,500,direct injection,,v-type,6,,gasoline,4,turbo,86,84,,,4500,,present,2979,330,5000,rear wheel drive,,8,,automatic,9.6,"570|1,130",,80,5.6,263,14,,98,7.1,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1067,57,66,1190
maserati,ghibli,3 generation,2013,2018,sedan,diesel 3.0 v6 at,sedan,,5,4971,1945,1461,2998,1635,1653,1835,,,,,,,,,,500,,,500,570,common rail,,v-type,6,,diesel,4,turbo,86,84,,,2600,,present,2987,250,4000,rear wheel drive,,8,,automatic,6,"900|1,430",,70,6.7,240,7.8,,diesel,4.9,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1067,57,66,1190
maserati,ghibli,3 generation,2013,2018,sedan,diesel 3.0 v6 at,sedan,,5,4971,1945,1461,2998,1635,1653,1835,,,,,,,,,,500,,,500,570,common rail,,v-type,6,,diesel,4,turbo,86,84,,,2600,,present,2987,275,4000,rear wheel drive,,8,,automatic,6,"900|1,430",,70,6.3,250,7.8,,diesel,4.9,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1067,57,66,1190
maserati,ghibli,3 generation,2013,2018,sedan,s 3.0 v6 at,sedan,,5,4971,1945,1461,2998,1635,1653,1810,,,,,,,,,,500,,,500,550,direct injection,,v-type,6,,gasoline,4,turbo,,,,,5000,,present,2979,410,5500,rear wheel drive,,8,,automatic,10.4,"510|1,100",,80,5,285,15.7,,98,7.3,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1067,57,66,1190
maserati,ghibli,3 generation,2013,2018,sedan,s q4 3.0 v6 at,sedan,,5,4971,1945,1461,2998,1635,1653,1810,,,,,,,,,,500,,,500,550,direct injection,,v-type,6,,gasoline,4,turbo,86,84,,,5000,,present,2979,410,5500,all wheel drive (awd),,8,,automatic,10.5,"530|1,030",,80,4.8,284,15.2,,98,7.8,"independent, multi wishbone",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1067,57,66,1190
