make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
mazda,1000,1 generation,1964,1972,sedan,1.0 mt,,,4,3700,1465,1390,2190,,,,,,,,1190,1200,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,4,,,,,,163,65,2,230
mazda,121,1 generation,1987,1991,hatchback 3-doors,1.1 mt,,,5,3475,1605,1460,2295,,,,,,,,1385,1400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,1 generation,1987,1991,hatchback 3-doors,1.3 mt,,,5,3475,1605,1460,2295,,,,,,,,1385,1400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,1 generation,1987,1991,hatchback 3-doors,1.3 mt,,,5,3475,1605,1460,2295,,,,,,,,1385,1400,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,2 generation,1990,1996,sedan,1.3 mt,sedan,,5,3810,1655,1470,2390,1420,1400,810,,,,,,,,1300,,290,,,290,97,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,2800,,,1324,54,5500,front wheel drive,,5,,manual,6.7,600|830,,43,13.7,150,7.2,,95,5.2,strut,drum,disc,wishbone,,,,,,,,,,48465,68254,5824,122543
mazda,121,2 generation,1990,1996,sedan,1.3 mt,sedan,,5,3810,1655,1495,2390,1420,1400,832,,,,,,,,1300,,290,,,290,104,multi-point fuel injection,,inline,4,,gasoline,4,,,,,,3700,,,1324,72,6000,front wheel drive,,5,,manual,7.1,580|810,,43,11.4,155,7.4,,95,5.3,strut,drum,disc,wishbone,,,,,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback,1.2 mt,hatchback,,5,3830,1635,1330,2445,1430,1385,930,,130,,,,,,1460,,930,,,250,110,multi-point fuel injection,,inline,4,,gasoline,4,,71,76,,,4000,,,1242,75,5200,front wheel drive,,5,,manual,,560,,42,12.7,170,7.5,,95,,helical springs,drum,disc,independent,,,,,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback,1.3 mt,hatchback,,5,3830,1635,1330,2445,1430,1385,930,,130,,,,,,1435,,930,,,250,93,multi-point fuel injection,,inline,4,,gasoline,2,,,,,,2500,,,1299,50,4500,front wheel drive,,5,,manual,,470,,42,15,155,9,,95,,helical springs,drum,disc,independent,,,,,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback,1.3 mt,hatchback,,5,3830,1635,1330,2445,1430,1385,930,,130,,,,,,,,930,,,250,103,multi-point fuel injection,,inline,4,,gasoline,2,,,,,,2500,,,1299,60,5000,front wheel drive,,5,,manual,,470,,42,15.9,155,9,,95,,wishbone,drum,disc,strut,,,,,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback,1.8 mt d,hatchback,,5,3830,1635,1330,2445,1430,1385,1015,,130,,,,,,1510,,930,,,250,105,injector,,inline,4,,diesel,2,,,,,,2500,,,1753,60,4800,front wheel drive,,5,,manual,,700,,42,17,155,6,,diesel,,helical springs,drum,disc,strut,,,,,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback 3-doors,1.2 cvt,,,5,3828,1634,1334,2446,,,985,165/70/r13,,,,1384,1429,130,1470,,930,,,250,110,multi-point fuel injection,,inline,4,10,gasoline,4,none,71,76,"front, cross-section",,4000,55,,1242,75,4000,front wheel drive,,,,continuously variable transmission (cvt),,,,40,15.6,km/h,9.3,,95,5.8,"semi-independent, spring",,disc,"independent, spring",,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback 3-doors,1.2 mt,,,5,3828,1634,1334,2446,,,940,165/70/r13,,,,1384,1429,130,1470,,930,,,250,110,multi-point fuel injection,,inline,4,10,gasoline,4,none,71,76,"front, cross-section",,4000,55,,1242,75,4000,front wheel drive,,5,,manual,,,,40,12.7,km/h,9.2,,95,5.9,"semi-independent, spring",,disc,"independent, spring",,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback 3-doors,1.3 mt,,,5,3828,1634,1334,2446,,,930,165/70/r13,,,,1384,1429,130,1460,,930,,,250,93,multi-point fuel injection,,inline,4,"9,5",gasoline,2,none,74,75,"front, cross-section",,2500,37,,1299,50,2500,front wheel drive,,5,,manual,,,,40,19.5,km/h,8.7,,95,5.9,"semi-independent, spring",,disc,"independent, spring",,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback 3-doors,1.3 mt,,,5,3828,1634,1334,2446,,,930,165/70/r13,,,,1384,1429,130,1460,,930,,,250,103,multi-point fuel injection,,inline,4,"9,5",gasoline,2,none,74,75,"front, cross-section",,2500,44,,1299,60,2500,front wheel drive,,5,,manual,,,,40,15.9,km/h,9,,95,6,"semi-independent, spring",,disc,"independent, spring",,b,japan,3,,,,,,48465,68254,5824,122543
mazda,121,3 generation,1996,2000,hatchback 3-doors,1.8 mt,,,5,3828,1634,1334,2446,,,1015,165/70/r13,,,,1384,1429,130,1510,,930,,,250,110,,,inline,4,"21,5",diesel,2,none,82,82,"front, cross-section",,2500,44,,1753,60,2500,front wheel drive,,5,,manual,,,,40,17.4,km/h,6.4,,diesel,4.5,"semi-independent, spring",,disc,"independent, spring",,b,japan,3,,,,,,48465,68254,5824,122543
mazda,1300,1 generation,1975,1977,sedan,1.3 at,,,5,3855,1540,1385,2260,,,,,,,,1245,1265,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,japan,4,,,,,,2553,1725,79,4357
mazda,1300,1 generation,1975,1977,sedan,1.3 mt,,,5,3855,1540,1385,2260,,,,,,,,1245,1265,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,japan,4,,,,,,2553,1725,79,4357
mazda,2,3 generation (dj) [redesign],2019,2020,hatchback 5 doors,1.5 at,,,5,4065,1695,1495,2570,,,1150,195/55/r16,,,,1485,1495,145,,,,,,250,250,,,inline,4,"14,8",diesel,4,turbine,76,82,"front, cross-section",,2500,77,,1498,105,4000,front wheel drive,,6,,automatic,4.6,,,44,,,5.5,120,diesel,4.2,"semi-independent, torsion",drum,disc ventilated,"independent, spring",,b,japan,5,,,,,,153990,229603,20314,403907
mazda,2,3 generation (dj) [redesign],2019,2020,hatchback 5 doors,1.5 at,,,5,4065,1695,1495,2570,,,1060,185/65/r15,,,,1485,1495,145,,,,,,250,141,direct injection (direct),,inline,4,12,petrol,4,none,74,85,"front, cross-section",,4000,81,,1496,110,6000,front wheel drive,,6,,automatic,5.3,,,44,,,6.6,122,95,4.8,"semi-independent, torsion",drum,disc ventilated,"independent, spring",,b,japan,5,,,,,,153990,229603,20314,403907
mazda,2,3 generation (dj) [redesign],2019,2020,hatchback 5 doors,1.5 at,,,5,4065,1695,1495,2570,,,1030,185/65/r15  185/60/r16,,,,1485,1495,143,,,,,,250,148,direct injection (direct),,inline,4,13,petrol,4,none,74,85,"front, cross-section",,4000,66,,1496,90,6000,front wheel drive,,6,,automatic,5.9,,euro 6,44,12,177,,133,95,,"semi-independent, torsion",drum,disc ventilated,"independent, spring",,b,japan,5,,,,,,153990,229603,20314,403907
mazda,2,3 generation (dj) [redesign],2019,2020,hatchback 5 doors,1.5 at 4wd,,,5,4065,1695,1495,2570,,,1240,185/60/r16,,,,1485,1495,145,,,,,,250,250,,,inline,4,"14,8",diesel,4,turbine,76,82,"front, cross-section",,2500,77,,1498,105,4000,full,,6,,automatic,5.2,,,44,,,6.1,135,diesel,4.8,"semi-independent, torsion",drum,disc ventilated,"independent, spring",,b,japan,5,,,,,,153990,229603,20314,403907
