make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
mg,mga,1 generation,1955,1962,coupe,1.5 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mga,1 generation,1955,1962,coupe,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mga,1 generation,1955,1962,coupe,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mga,1 generation,1955,1962,roadster,1.5 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mga,1 generation,1955,1962,roadster,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mga,1 generation,1955,1962,roadster,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24772,1806,876,27454
mg,mgb,1 generation,1966,1980,coupe,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390938,98356,20639,509933
mg,mgb,1 generation,1966,1980,coupe,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390938,98356,20639,509933
mg,mgb,1 generation,1966,1980,coupe,3.5 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390938,98356,20639,509933
mg,mgb,1 generation,1966,1980,roadster,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390938,98356,20639,509933
mg,mgb,1 generation,1966,1980,roadster,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390938,98356,20639,509933
mg,rv8,1 generation,1992,1995,cabriolet,3.9 mt,cabriolet,,4,4010,1690,1320,2330,1260,1330,1100,,110,,,,,,1280,,250,,,250,318,multi-point fuel injection,,v-type,8,,gasoline,2,,94,71,,,3200,,,3947,190,4750,rear wheel drive,,5,,manual,,360|570,,51,6,217,14,,95,9,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,5100,574,247,5921
mg,rv8,1 generation,1992,1995,roadster,4.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,574,247,5921
mg,tf,1 generation,2002,2005,cabriolet,1.6 mt,cabriolet,,2,3943,1630,1261,2375,1404,1410,1095,,125,,,,,,1320,,210,,,210,145,multi-point fuel injection,,inline,4,,gasoline,4,,80,79,,,4700,,,1588,116,6250,rear wheel drive,,5,,manual,7,"560|1,000",,50,9,190,9,,95,5,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,cabriolet,1.8 cvt,cabriolet,,2,3943,1630,1261,2375,1404,1410,1125,,125,,,,,,1350,,210,,,210,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,3000,,,1795,120,5500,rear wheel drive,,,,continuously variable transmission (cvt),8,450|830,,50,10,190,11,,95,6,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,cabriolet,1.8 mt,cabriolet,,2,3943,1630,1261,2375,1404,1410,1105,,125,,,,,,1330,,210,,,210,165,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,5000,,,1796,136,6750,rear wheel drive,,5,,manual,7,450|830,,50,8,205,11,,95,6,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,cabriolet,1.8 mt,cabriolet,,2,3943,1630,1261,2375,1404,1410,1115,,125,,,,,,1340,,210,,,210,174,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,4700,,,1796,160,6900,rear wheel drive,,5,,manual,7,"500|1,000",,50,7,220,10,,95,5,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,roadster,1.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,roadster,1.8 cvt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,roadster,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114357,108573,12911,235841
mg,tf,1 generation,2002,2005,roadster,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114357,108573,12911,235841
mg,xpower sv,1 generation,2003,2005,coupe,4.6 mt,coupe,,2,4480,1900,1320,2670,1678,1626,1540,,,,,,,,,,250,,,250,410,multi-point fuel injection,,v-type,8,,gasoline,4,,90,90,,,4750,,,4600,320,6000,front wheel drive,,5,,manual,,500|730,,80,5,254,16,,98,11,double wishbone,ventilated disc,ventilated disc,double wishbone,,,,,,,,,,159,1,2,162
mg,zr,1 generation,2001,2005,hatchback,1.4 mt,hatchback,,5,4011,1690,1400,2502,1472,1457,1060,,120,,,,,,1520,,1090,,,304,123,multi-point fuel injection,,inline,4,,gasoline,4,,75,79,,,4500,,,1396,103,6000,front wheel drive,,5,,manual,6,"560|1,000",,50,11,179,9,,95,5,helical springs,drum,ventilated disc,strut,,,,,,,,,,284720,169018,17011,470749
mg,zr,1 generation,2001,2005,hatchback,1.8 mt,hatchback,,5,4011,1690,1400,2502,1472,1457,1070,,120,,,,,,1530,,1090,,,304,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,2750,,,1795,117,5500,front wheel drive,,5,,manual,7,"560|1,000",,50,9,192,9,,95,5,helical springs,drum,ventilated disc,strut,,,,,,,,,,284720,169018,17011,470749
mg,zr,1 generation,2001,2005,hatchback,1.8 mt,hatchback,,5,4011,1690,1400,2502,1472,1457,1090,,120,,,,,,1550,,1090,,,304,174,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,4700,,,1796,160,6900,front wheel drive,,5,,manual,7,"500|1,000",,50,7,210,10,,95,5,helical springs,disc,ventilated disc,strut,,,,,,,,,,284720,169018,17011,470749
mg,zr,1 generation,2001,2005,hatchback,2.0 tdi mt,hatchback,,5,4011,1690,1400,2502,1472,1457,1130,,120,,,,,,1600,,1090,,,304,240,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,101,4200,front wheel drive,,5,,manual,5,"710|1,250",,50,10,183,7,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,284720,169018,17011,470749
mg,zr,1 generation,2001,2005,hatchback,2.0 tdi mt,hatchback,,5,4011,1690,1400,2502,1472,1457,1155,,120,,,,,,1600,,1090,,,304,260,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,113,4200,front wheel drive,,5,,manual,5,"710|1,250",,50,10,185,7,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,284720,169018,17011,470749
mg,zs,1 generation,2001,2005,hatchback,1.8 mt,hatchback,,5,4377,1696,1386,2622,1475,1465,1130,,150,,,,,,1640,,720,,,370,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,2750,,,1795,117,5500,front wheel drive,,5,,manual,7.3,570|950,,55,9.7,197,9.7,,95,5.8,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,hatchback,2.0 tdi mt,hatchback,,5,4377,1696,1386,2622,1475,1465,1230,,150,,,,,,1720,,720,,,370,240,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,101,4200,front wheel drive,,5,,manual,5.4,"750|1,280",,55,10.3,187,7.3,,diesel,4.3,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,hatchback,2.0 tdi mt,hatchback,,5,4377,1696,1386,2622,1475,1465,1230,,150,,,,,,1720,,720,,,370,260,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,113,4200,front wheel drive,,5,,manual,5.6,"710|1,280",,55,9.5,193,7.8,,diesel,4.3,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,hatchback,2.5 mt,hatchback,,5,4377,1696,1386,2622,1475,1465,1240,,150,,,,,,1720,,720,,,370,240,multi-point fuel injection,,v-type,6,,gasoline,4,,80,82,,,4000,,,2497,177,6500,front wheel drive,,5,,manual,9.5,390|810,,55,7.7,224,14.1,,95,6.8,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,sedan,1.8 mt,sedan,,5,4520,1700,1390,2620,1480,1470,1125,,150,,,,,,1640,,810,,,470,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,2750,,,1795,117,5500,front wheel drive,,5,,manual,7,"610|1,100",,55,9,197,9,,95,5,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,sedan,2.0 tdi mt,sedan,,5,4520,1700,1390,2620,1480,1470,1230,,150,,,,,,1720,,810,,,470,240,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,101,4200,front wheel drive,,5,,manual,5,"790|1,380",,55,11,187,7,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,sedan,2.0 tdi mt,sedan,,5,4520,1700,1390,2620,1480,1470,1225,,150,,,,,,1720,,810,,,470,260,common rail,,inline,4,,diesel,2,turbo,84,88,,,2000,,,1994,113,4200,front wheel drive,,5,,manual,,"790|1,380",,55,9,193,7,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zs,1 generation,2001,2005,sedan,2.5 mt,sedan,,5,4520,1700,1390,2620,1480,1470,1235,,150,,,,,,1720,,810,,,470,240,multi-point fuel injection,,v-type,6,,gasoline,4,,80,82,,,4000,,,2497,177,6500,front wheel drive,,5,,manual,9,390|920,,55,7,224,14,,95,6,helical springs,disc,ventilated disc,strut,,,,,,,,,,142161,37318,5403,184882
mg,zt,1 generation,2001,2005,sedan,1.8 mt,sedan,,5,4740,1780,1410,2746,1505,1505,1500,,120,,,,,,,,432,,,432,160,multi-point fuel injection,,inline,4,,gasoline,4,,80,89,,,2100,,,1795,120,5500,front wheel drive,,5,,manual,7,"650|1,080",,65,11,195,10,,95,6,helical springs,disc,ventilated disc,strut,,,,,,,,,,140698,21191,5062,166951
mg,zt,1 generation,2001,2005,sedan,1.8 t mt,sedan,,5,4740,1780,1410,2746,1505,1505,1440,,120,,,,,,1940,,432,,,432,215,multi-point fuel injection,,inline,4,,gasoline,4,turbo,80,89,,,2100,,,1796,160,5500,front wheel drive,,5,,manual,8.1,"570|1,050",,65,8.9,212,11.4,,95,6.2,helical springs,ventilated disc,ventilated disc,strut,,,,,,,,,,140698,21191,5062,166951
mg,zt,1 generation,2001,2005,sedan,2.0 cdti mt,sedan,,5,4740,1780,1410,2746,1505,1505,1535,,120,,,,,,2030,,432,,,432,260,common rail,,inline,4,,diesel,4,turbo,84,88,,,1900,,,1951,116,4000,front wheel drive,,5,,manual,5,"930|1,630",,65,11,193,7,,diesel,4,helical springs,disc,ventilated disc,strut,,,,,,,,,,140698,21191,5062,166951
mg,zt,1 generation,2001,2005,sedan,2.0 cdti mt,sedan,,5,4740,1780,1410,2746,1505,1505,1535,,120,,,,,,2030,,432,,,432,300,common rail,,inline,4,,diesel,4,turbo,84,88,,,1900,,,1951,131,4000,front wheel drive,,5,,manual,5.8,"800|1,480",,65,11,193,8.1,,diesel,4.4,helical springs,disc,ventilated disc,strut,,,,,,,,,,140698,21191,5062,166951
mg,zt,1 generation,2001,2005,sedan,2.5 at,sedan,,5,4740,1780,1410,2746,1505,1505,1460,,120,,,,,,2000,,432,,,432,240,multi-point fuel injection,,v-type,6,,gasoline,4,,80,82,,,4000,,,2497,177,6500,front wheel drive,,5,,automatic,10.9,410|820,,65,9.5,216,16,,95,7.9,helical springs,disc,ventilated disc,strut,,,,,,,,,,140698,21191,5062,166951
