make,model,ModelType,ModelTypeLink,Unnamed: 4
Abarth,595 2017, 595 1.4 16v T-Jet 145 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106452/Abarth-595-2017-14-16v-T-Jet-145-Auto.html,
Abarth,595 2017, 595 1.4 T-Jet 145,https://www.ultimatespecs.com/car-specs/Abarth/116176/Abarth-595-2017-14-T-Jet-145.html,
Abarth,595 2017, 595 Competizione 1.4 16v T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/106451/Abarth-595-2017-Competizione-14-16v-T-Jet-180.html,
Abarth,595 2017, 595 Competizione 1.4 16v T-Jet 180 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106454/Abarth-595-2017-Competizione-14-16v-T-Jet-180-Auto.html,
Abarth,595 2017, 595 Competizione 1.4 T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/116179/Abarth-595-2017-Competizione-14-T-Jet-180.html,
Abarth,595 2017, 595 Competizione 1.4 T-Jet 180 Auto,https://www.ultimatespecs.com/car-specs/Abarth/116180/Abarth-595-2017-Competizione-14-T-Jet-180-Auto.html,
Abarth,595 2017, 595 Esseesse 1.4 T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/117525/Abarth-595-2017-Esseesse-14-T-Jet-180.html,
Abarth,595 2017, 595 Turismo 1.4 16v T-Jet 165,https://www.ultimatespecs.com/car-specs/Abarth/106450/Abarth-595-2017-Turismo-14-16v-T-Jet-165.html,
Abarth,595 2017, 595 Turismo 1.4 16v T-Jet 165 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106453/Abarth-595-2017-Turismo-14-16v-T-Jet-165-Auto.html,
Abarth,595 2017, 595 Turismo 1.4 T-Jet 165,https://www.ultimatespecs.com/car-specs/Abarth/116177/Abarth-595-2017-Turismo-14-T-Jet-165.html,
Abarth,595 2017, 595 Turismo 1.4 T-Jet 165 Auto,https://www.ultimatespecs.com/car-specs/Abarth/116178/Abarth-595-2017-Turismo-14-T-Jet-165-Auto.html,
Abarth,595C 2017, 595C 1.4 16v T-Jet 145,https://www.ultimatespecs.com/car-specs/Abarth/106455/Abarth-595C-2017-14-16v-T-Jet-145.html,
Abarth,595C 2017, 595C 1.4 16v T-Jet 145 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106458/Abarth-595C-2017-14-16v-T-Jet-145-Auto.html,
Abarth,595C 2017, 595C 1.4 T-Jet 145,https://www.ultimatespecs.com/car-specs/Abarth/116181/Abarth-595C-2017-14-T-Jet-145.html,
Abarth,595C 2017, 595C Competizione 1.4 16v T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/106457/Abarth-595C-2017-Competizione-14-16v-T-Jet-180.html,
Abarth,595C 2017, 595C Competizione 1.4 16v T-Jet 180 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106460/Abarth-595C-2017-Competizione-14-16v-T-Jet-180-Auto.html,
Abarth,595C 2017, 595C Competizione 1.4 T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/116184/Abarth-595C-2017-Competizione-14-T-Jet-180.html,
Abarth,595C 2017, 595C Competizione 1.4 T-Jet 180 Auto,https://www.ultimatespecs.com/car-specs/Abarth/116185/Abarth-595C-2017-Competizione-14-T-Jet-180-Auto.html,
Abarth,595C 2017, 595C Esseesse 1.4 T-Jet 180,https://www.ultimatespecs.com/car-specs/Abarth/117526/Abarth-595C-2017-Esseesse-14-T-Jet-180.html,
Abarth,595C 2017, 595C Turismo 1.4 16v T-Jet 165,https://www.ultimatespecs.com/car-specs/Abarth/106456/Abarth-595C-2017-Turismo-14-16v-T-Jet-165.html,
Abarth,595C 2017, 595C Turismo 1.4 16v T-Jet 165 Auto,https://www.ultimatespecs.com/car-specs/Abarth/106459/Abarth-595C-2017-Turismo-14-16v-T-Jet-165-Auto.html,
Abarth,595C 2017, 595C Turismo 1.4 T-Jet 165,https://www.ultimatespecs.com/car-specs/Abarth/116182/Abarth-595C-2017-Turismo-14-T-Jet-165.html,
Abarth,595C 2017, 595C Turismo 1.4 T-Jet 165 Auto,https://www.ultimatespecs.com/car-specs/Abarth/116183/Abarth-595C-2017-Turismo-14-T-Jet-165-Auto.html,
Abarth,124 Spider, 124 Spider 1.4 TB 170HP MultiAir Auto,https://www.ultimatespecs.com/car-specs/Abarth/105925/Abarth-124-Spider-14-TB-170HP-MultiAir-Auto.html,
Abarth,Grande Punto, Grande Punto 1.4 16v T-Jet 155HP,https://www.ultimatespecs.com/car-specs/Abarth/11157/Abarth-Grande-Punto-14-16v-T-Jet-155HP.html,
Abarth,Punto Evo, Punto Evo 1.4 16v MultiAir 165HP ,https://www.ultimatespecs.com/car-specs/Abarth/10781/Abarth-Punto-Evo-14-16v-MultiAir-165HP-.html,
Abarth,Punto Evo, Punto Evo 1.4 16v MultiAir 165HP ,https://www.ultimatespecs.com/car-specs/Abarth/62499/Abarth-Punto-Evo-14-16v-MultiAir-165HP-.html,
Abarth,Punto Evo, Punto Evo 1.4 16v MultiAir 165HP ,https://www.ultimatespecs.com/car-specs/Abarth/66446/Abarth-Punto-Evo-14-16v-MultiAir-165HP-.html,
Abarth,Punto Evo, Punto Evo Scorpione 1.4 16v MultiAir 180HP ,https://www.ultimatespecs.com/car-specs/Abarth/60169/Abarth-Punto-Evo-Scorpione-14-16v-MultiAir-180HP-.html,
