make,model,InnerLink
Abarth,595 2017,https://www.ultimatespecs.com/car-specs/Abarth/M8852/595-2017
Abarth,595C 2017,https://www.ultimatespecs.com/car-specs/Abarth/M11983/595C-2017
Abarth,124 Spider,https://www.ultimatespecs.com/car-specs/Abarth/M8728/124-Spider
Abarth,Grande Punto,https://www.ultimatespecs.com/car-specs/Abarth/M1456/Grande-Punto
Abarth,Punto Evo,https://www.ultimatespecs.com/car-specs/Abarth/M1442/Punto-Evo
Abarth,500,https://www.ultimatespecs.com/car-specs/Abarth/M5776/500
Abarth,500C,https://www.ultimatespecs.com/car-specs/Abarth/M1443/500C
Abarth,Monotipo 98,https://www.ultimatespecs.com/car-specs/Abarth/M6269/Monotipo-98
Abarth,1000 TC,https://www.ultimatespecs.com/car-specs/Abarth/M5872/1000-TC
Abarth,2000,https://www.ultimatespecs.com/car-specs/Abarth/M6263/2000
Abarth,1600,https://www.ultimatespecs.com/car-specs/Abarth/M6249/1600
Abarth,1300,https://www.ultimatespecs.com/car-specs/Abarth/M5871/1300
Abarth,OT 2000,https://www.ultimatespecs.com/car-specs/Abarth/M6262/OT-2000
Abarth,OTR 1000,https://www.ultimatespecs.com/car-specs/Abarth/M6261/OTR-1000
Abarth,OT 1300,https://www.ultimatespecs.com/car-specs/Abarth/M1599/OT-1300
Abarth,OT 1000,https://www.ultimatespecs.com/car-specs/Abarth/M6259/OT-1000
Abarth,OT 1600,https://www.ultimatespecs.com/car-specs/Abarth/M6260/OT-1600
Abarth,Simca,https://www.ultimatespecs.com/car-specs/Abarth/M2888/Simca
Abarth,595,https://www.ultimatespecs.com/car-specs/Abarth/M6264/595
Abarth,2400,https://www.ultimatespecs.com/car-specs/Abarth/M6253/2400
Abarth,Monomille,https://www.ultimatespecs.com/car-specs/Abarth/M2691/Monomille
Abarth,850,https://www.ultimatespecs.com/car-specs/Abarth/M5971/850
Abarth,700,https://www.ultimatespecs.com/car-specs/Abarth/M6252/700
Abarth,1000,https://www.ultimatespecs.com/car-specs/Abarth/M2710/1000
Abarth,800,https://www.ultimatespecs.com/car-specs/Abarth/M6251/800
Abarth,2200,https://www.ultimatespecs.com/car-specs/Abarth/M6250/2200
