make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
morgan,aero 8,1 generation,2000,2006,cabriolet,4.4 mt,cabriolet,,2,4120,1770,1200,2525,1550,1500,1000,,150,,,,,,1300,,,,,,440,injector,,v-type,8,,gasoline,4,,92,82,,,3600,,,4398,286,5500,rear wheel drive,,6,,manual,12,390|880,,70,5,257,18,,98,8,double wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,1275,104,69,1448
morgan,aero 8,1 generation [redesign],2007,2010,cabriolet,4.4 mt,cabriolet,,2,4120,1770,1200,2525,1550,1500,1000,,150,,,,,,1300,,,,,,430,injector,,v-type,8,,gasoline,4,,92,82,,,3600,,,4398,286,5500,rear wheel drive,,6,,manual,12,390|880,,70,5,257,18,,98,8,double wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,1275,104,69,1448
morgan,aero 8,1 generation [redesign],2007,2010,roadster,4.4 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,104,69,1448
morgan,aero 8,1 generation [redesign],2007,2010,roadster,4.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275,104,69,1448
morgan,aero 8,1 generation,2000,2006,cabriolet,4.4 mt,cabriolet,,2,4120,1770,1200,2525,1550,1500,1000,,150,,,,,,1300,,,,,,440,injector,,v-type,8,,gasoline,4,,92,82,,,3600,,,4398,286,5500,rear wheel drive,,6,,manual,12,390|880,,70,5,257,18,,98,8,double wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,1159,102,69,1330
morgan,aero 8,1 generation [redesign],2007,2010,cabriolet,4.4 mt,cabriolet,,2,4120,1770,1200,2525,1550,1500,1000,,150,,,,,,1300,,,,,,430,injector,,v-type,8,,gasoline,4,,92,82,,,3600,,,4398,286,5500,rear wheel drive,,6,,manual,12,390|880,,70,5,257,18,,98,8,double wishbone,ventilated disc,ventilated disc,wishbone,,,,,,,,,,1159,102,69,1330
morgan,aero 8,1 generation [redesign],2007,2010,roadster,4.4 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,102,69,1330
morgan,aero 8,1 generation [redesign],2007,2010,roadster,4.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,102,69,1330
morgan,plus 4,1 generation,1988,1992,cabriolet,2.0 mt,cabriolet,,2,3890,1500,1270,2440,1190,1240,,,150,,,,,,,,,,,,178,injector,,inline,4,,gasoline,2,,84,89,,,3500,,,1996,140,6000,rear wheel drive,,5,,manual,,520|710,,57,7,195,11,,95,8,spring,drum,disc,"independent, spring",,,,,,,,,,2391,215,160,2766
morgan,plus 4,1 generation,1988,1992,speedster,1.8 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2391,215,160,2766
