make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
nissan,100nx,1 generation,1990,1996,coupe,1.6 at,,,4,4135,1680,1315,2430,,,1080,175/65/r14,,,,1415,1435,130,1495,,,,,330,136,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,75,,1597,102,6000,front wheel drive,,4,,automatic,8.4,,,50,12.1,180,10,,95,6.9,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,1.6 at,,,4,4135,1680,1315,2430,,,1075,175/65/r14,,,,1415,1435,130,1459,,,,,330,136,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,66,,1597,90,6000,front wheel drive,,4,,automatic,,,,50,12,175,,,95,,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,1.6 at,,,4,4135,1680,1315,2430,,,1075,175/65/r14,,,,1415,1435,130,1495,,,,,330,135,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,70,,1597,95,6000,front wheel drive,,4,,automatic,9,,,50,12,179,11.5,,95,7.6,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,1.6 mt,,,4,4135,1680,1315,2430,,,1067,175/65/r14,,,,1415,1435,130,1495,,,,,330,136,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,75,,1597,102,6000,front wheel drive,,5,,manual,8.3,,,50,11.2,188,9.6,,95,6.7,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,1.6 mt,,,4,4135,1680,1315,2430,,,1067,175/65/r14,,,,1415,1435,130,1459,,,,,330,136,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,66,,1597,90,6000,front wheel drive,,5,,manual,9.8,,,50,10.7,185,9.8,,95,6.4,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,2.0 mt,,,4,4135,1680,1315,2430,,,1146,195/55/r14,,,,1415,1435,130,1535,,,,,330,178,distributed injection (multipoint),,inline,4,10,petrol,4,none,86,86,"front, cross-section",,4800,105,,1998,143,6400,front wheel drive,,5,,manual,8.6,,,50,8.2,210,11,,95,7.7,"independent, spring",disc,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,coupe,2.0 mt,,,4,4135,1680,1315,2430,,,1146,195/55/r14,,,,1415,1435,130,1535,,,,,330,178,distributed injection (multipoint),,inline,4,10,petrol,4,none,86,86,"front, cross-section",,4800,110,,1998,150,6400,front wheel drive,,5,,manual,8.6,,,50,8.2,210,11,,95,7.7,"independent, spring",disc,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,1.6 at,,,4,4135,1680,1315,2430,,,1080,175/65/r14,,,,1415,1435,130,1495,,,,,330,136,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,75,,1597,102,6000,front wheel drive,,4,,automatic,8.4,,,50,12.1,180,10,,95,6.9,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,1.6 at,,,4,4135,1680,1315,2430,,,1075,175/65/r14,,,,1415,1435,130,1459,,,,,330,136,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,66,,1597,90,6000,front wheel drive,,4,,automatic,,,,50,12,175,,,95,,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,1.6 at,,,4,4135,1680,1315,2430,,,1075,175/65/r14,,,,1415,1435,130,1495,,,,,330,135,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,70,,1597,95,6000,front wheel drive,,4,,automatic,9,,,50,12,179,11.5,,95,7.6,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,1.6 mt,,,4,4135,1680,1315,2430,,,1067,175/65/r14,,,,1415,1435,130,1495,,,,,330,136,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,75,,1597,102,6000,front wheel drive,,5,,manual,8.3,,,50,11.2,188,9.6,,95,6.7,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,1.6 mt,,,4,4135,1680,1315,2430,,,1067,175/65/r14,,,,1415,1435,130,1459,,,,,330,136,carburetor,,inline,4,"9,8",petrol,4,none,76,88,"front, cross-section",,4000,66,,1597,90,6000,front wheel drive,,5,,manual,9.8,,,50,10.7,185,9.8,,95,6.4,"independent, spring",drum,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,2.0 mt,,,4,4135,1680,1315,2430,,,1146,195/55/r14,,,,1415,1435,130,1535,,,,,330,178,distributed injection (multipoint),,inline,4,10,petrol,4,none,86,86,"front, cross-section",,4800,105,,1998,143,6400,front wheel drive,,5,,manual,8.6,,,50,8.2,210,11,,95,7.7,"independent, spring",disc,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,1 generation,1990,1996,targa,2.0 mt,,,4,4135,1680,1315,2430,,,1146,195/55/r14,,,,1415,1435,130,1535,,,,,330,178,distributed injection (multipoint),,inline,4,10,petrol,4,none,86,86,"front, cross-section",,4800,110,,1998,150,6400,front wheel drive,,5,,manual,8.6,,,50,8.2,210,11,,95,7.7,"independent, spring",disc,disc ventilated,"independent, spring",,s,japan,2,,,,,,44591,41827,4606,91024
nissan,100nx,b13,1990,1996,coupe,1.5 at,coupe,,4,4140,1680,1310,2430,1445,1425,970,,130,,,,,,,,,,,,126,multi-point fuel injection,,inline,4,,gasoline,4,,74,88,,,3600,,,1497,94,6000,front wheel drive,,4,9.4,automatic,9.8,450|640,,50,10.7,185,11.2,,95,7.8,trailing arms,drum,disc,strut,,,,,,,,,,44591,41827,4606,91024
nissan,100nx,b13,1990,1996,coupe,1.6 at,coupe,,4,4135,1680,1315,2430,1435,1415,1067,,,,,,,,1459,,330,,,330,136,multi-point fuel injection,,inline,4,,gasoline,4,,76,88,,,4000,,,1597,90,6000,front wheel drive,,4,,automatic,9.8,450|640,,50,10.7,185,11.2,,95,7.8,strut,drum,ventilated disc,wishbone,,,,,,,,,,44591,41827,4606,91024
