make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
opel,admiral,37,1937,1939,sedan,3.6 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,13,0,48
opel,agila,1 generation,2000,2003,microvan,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,microvan,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,microvan,1.2 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,microvan,1.2 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,microvan,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,minivan,1.0 mt,minivan,,5,3500,1620,1695,2360,1420,1385,1040,,,,395,,,,1435,730/745,700,,,240,85,multi-point fuel injection,,inline,3,,gasoline,4,,73,78,,,3800,,,973,58,5600,front wheel drive,,5,10.6,manual,6,560|790,euro iv,41,18,142,7.3,,95,5.2,"semi-dependent, torsion beam",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,171,159,14,344
opel,agila,1 generation,2000,2003,minivan,1.2 mt,minivan,,5,3500,1620,1695,2360,1420,1385,1040,,,,395,,,,1435,730/745,700,,,240,110,multi-point fuel injection,,inline,4,,gasoline,4,,73,72,,,4000,,,1199,75,5600,front wheel drive,,5,10.6,manual,6.3,530|750,euro iv,41,13.5,155,7.8,,95,5.5,"semi-dependent, torsion beam",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,microvan,1.0 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,microvan,1.2 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,microvan,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,minivan,1.0 twinport mt,minivan,,"4, 5",3535,1620,1660,2360,1420,1385,1040,,,,395,,,,1435,730/745,700,,,240,88,multi-point fuel injection,,inline,3,,gasoline,4,,73,78,,,3800,,,998,60,5600,front wheel drive,,5,10.6,manual,5.8,590|800,euro iv,41,17.7,145,7,,95,5.1,"semi-dependent, torsion beam",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,minivan,1.2 mt,minivan,,"4, 5",3535,1620,1660,2360,1420,1385,1040,,,,395,,,,1435,730/745,700,,,240,110,multi-point fuel injection,,inline,4,,gasoline,4,,73,72,,,4000,,present,1199,75,5600,front wheel drive,,5,10.6,manual,6.3,530|750,euro iv,41,13.5,155,7.8,,95,5.5,"semi-dependent, torsion beam",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,171,159,14,344
opel,agila,1 generation [redesign],2003,2007,minivan,1.2 mt,minivan,,"4, 5",3535,1620,1660,2360,1420,1385,1040,,,,395,,,,1435,730/745,700,,,240,110,multi-point fuel injection,,inline,4,,gasoline,4,,73,72,,,4000,,present,1199,80,5600,front wheel drive,,5,10.6,manual,6.3,530|750,,41,13.5,155,7.8,,95,5.5,"semi-dependent, torsion beam",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,171,159,14,344
