make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
pontiac,bonneville,10 generation,2000,2005,sedan,3.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,67,33,785
pontiac,bonneville,10 generation,2000,2005,sedan,3.8 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,67,33,785
pontiac,bonneville,10 generation,2000,2005,sedan,4.6 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,67,33,785
pontiac,bonneville,7 generation,1987,1991,sedan,3.8 at,sedan,,5,5045,1831,1409,2813,1530,1520,1504,,150,,,,,,,,,,,,271,multi-point fuel injection,,v-type,6,,gasoline,2,,96,86,,,2000,,,3791,152,4400,front wheel drive,,4,,automatic,,,,68,,176,,,gasoline,,"independent, mcpherson struts",drum,disc,"independent, mcpherson struts",,,,,,,,,,685,67,33,785
pontiac,bonneville,7 generation,1987,1991,sedan,3.8 at,sedan,,5,5040,1855,1385,2815,1530,1520,1500,,150,,,,,,,,,,,,285,multi-point fuel injection,,v-type,6,,gasoline,2,,96,86,,,2000,,,3791,167,4800,front wheel drive,,4,,automatic,12.5,430|680,,68,,190,16,,80,10,helical springs,disc,ventilated disc,helical springs,,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation,1991,1995,se/sse sedan 4-doors,3.8 at se,sedan,,5,5107,1892,1415,2815,1545,1547,1565,,140,,,,,,,,506,,,506,298,multi-point fuel injection,,v-type,6,,gasoline,2,,96,86,,,3200,,,3791,172,4800,front wheel drive,,4,,automatic,12.5,430|680,,68,,190,16,,92,10,helical springs,drum,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation,1991,1995,se/sse sedan 4-doors,3.8 at sse,sedan,,5,5107,1892,1415,2815,1545,1547,1627,,140,,,,,,,,506,,,506,305,multi-point fuel injection,,v-type,6,,gasoline,2,,96,86,,,3200,,,3791,205,5200,front wheel drive,,4,,automatic,10.6,,,68,,,,,92,,helical springs,drum,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation,1991,1995,ssei sedan 4-doors,3.8 at ssei,sedan,,5,5107,1892,1415,2815,1545,1547,,,140,,,,,,,,506,,,506,312,multi-point fuel injection,,v-type,6,,gasoline,2,,96,86,,,4000,,,3791,208,5200,front wheel drive,,4,,automatic,13.5,380|680,,68,10,200,18,,80,10,helical springs,drum,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation,1991,1995,ssei sedan 4-doors,3.8 at ssei,sedan,,5,5107,1892,1415,2815,1545,1547,1627,,140,,,,,,,,506,,,506,373,multi-point fuel injection,,v-type,6,,gasoline,2,compressor,96,86,,,3200,,,3791,228,5000,front wheel drive,,4,,automatic,11.4,,,68,,,,,92,,helical springs,drum,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation [redesign],1996,1999,se/sle/sse sedan 4-doors,3.8 at,sedan,,5,5110,1893,1416,2813,1534,1533,1562,,120,,,,,,,,,,,,311,injector,,v-type,6,,gasoline,2,,96,86,,,4000,,,3791,208,5200,front wheel drive,,4,,automatic,,,,68,,,,,gasoline,,"independent, spring",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation [redesign],1996,1999,se/sle/sse sedan 4-doors,3.8 at,sedan,,5,5110,1893,1416,2813,1534,1533,1649,,120,,,,,,,,,,,,381,injector,,v-type,6,,gasoline,2,compressor,96,86,,,3600,,,3791,244,5200,front wheel drive,,4,12.3,automatic,,,,68,8,204,,,gasoline,,"independent, spring",drum,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,685,67,33,785
pontiac,bonneville,8 generation [redesign],1996,1999,ssei sedan 4-doors,3.8 at ssei,sedan,,5,5066,1892,1416,2815,1535,1533,1575,,140,,,,,,,,506,,,506,380,multi-point fuel injection,,v-type,6,,gasoline,2,compressor,96,86,,,3200,,,3791,244,5200,front wheel drive,,4,,automatic,11,,,68,,,,,92,,helical springs,drum,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,9 generation,2000,2004,se sedan 4-doors,3.8 at,sedan,,5,5145,1885,1440,2850,1590,1580,1630,,135,,,,,,,,510,,,510,312,injector,,v-type,6,,gasoline,2,,96,86,,,4000,,,3791,208,5200,front wheel drive,,4,,automatic,9,640|880,,70,,200,11,,80,8,helical springs,disc,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,9 generation,2000,2004,sle/ssei sedan 4-doors,3.8 at,sedan,,5,5145,1885,1440,2850,1590,1580,1630,,135,,,,,,,,510,,,510,312,injector,,v-type,6,,gasoline,2,,96,86,,,4000,,,3791,208,5200,front wheel drive,,4,,automatic,9,640|880,,70,,200,11,,95,8,helical springs,disc,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,9 generation,2000,2004,sle/ssei sedan 4-doors,3.8 at,sedan,,5,5145,1885,1440,2850,1590,1580,1720,,135,,,,,,,,510,,,510,380,injector,,v-type,6,,gasoline,2,compressor,96,86,,,3600,,,3791,244,5200,front wheel drive,,4,12.3,automatic,10,540|880,,70,8,220,13,,80,8,helical springs,disc,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,9 generation [redesign],2004,2005,sedan,3.8 at,sedan,,5,5145,1885,1440,2850,1590,1580,1630,,135,,,,,,,,510,,,510,312,injector,,v-type,6,,gasoline,2,,96,86,,,4000,,,3791,208,5200,front wheel drive,,4,,automatic,9,640|880,,70,,200,11,,80,8,helical springs,disc,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,bonneville,9 generation [redesign],2004,2005,sedan,4.6 at,sedan,,5,5145,1885,1440,2850,1590,1580,1718,,135,,,,,,,,510,,,510,299,multi-point fuel injection,,v-type,8,,gasoline,4,,93,84,,,4000,,,4565,279,5600,front wheel drive,,4,,automatic,,,,70,,,,,gasoline,,helical springs,disc,ventilated disc,strut,,,,,,,,,,685,67,33,785
pontiac,firebird,1 generation,1967,1967,cabriolet,3.8 3mt,cabriolet,,4,4796,1844,1306,2746,1499,1524,1488,,178,,,,,,,,280,,,280,325,carburetor,,inline,6,,gasoline,2,,98,82,,,3800,,,3770,215,5200,rear wheel drive,,3,,manual,,,,70,,,,,92,,"solid axle, a-shaped lever, dampers, helical springs",drum,disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,9044,766,288,10098
pontiac,firebird,1 generation,1967,1967,cabriolet,3.8 4mt,cabriolet,,4,4796,1844,1306,2746,1499,1524,1492,,178,,,,,,,,280,,,280,325,carburetor,,inline,6,,gasoline,2,,98,82,,,3800,,,3770,215,5200,rear wheel drive,,4,,manual,,,,70,,,,,92,,"solid axle, a-shaped lever, dampers, helical springs",drum,disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,9044,766,288,10098
pontiac,firebird,1 generation,1967,1967,cabriolet,3.8 at,cabriolet,,4,4796,1844,1306,2746,1499,1524,1447,,178,,,,,,,,280,,,280,293,carburetor,,inline,6,,gasoline,2,,98,82,,,2600,,,3770,165,4700,rear wheel drive,,2,,automatic,,,,70,,,,,92,,"solid axle, a-shaped lever, dampers, helical springs",drum,disc,"independent, double wishbone, spring, stabilizer bar",,,,,,,,,,9044,766,288,10098
