make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
proton,persona,1 generation,1994,2005,coupe,1.8 mt,,,4,4220,1690,1360,2440,,,1075,185/60/r14,,,,1460,1450,,1550,,,,,1000,162,distributed injection (multipoint),,inline,4,10,petrol,4,,81,89,"front, cross-section",,5500,103,,1834,140,6000,front wheel drive,,5,,manual,,,,50,8.7,208,11.9,,,6.8,"independent, spring",,disc,"dependent, spring",,,malaysia,2,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 3 doors,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 3 doors,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 3 doors,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 5 doors,1.5  gls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 5 doors,1.8  gls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 5 doors,2.0  td,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,hatchback 5 doors,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,1 generation,1994,2005,sedan,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261954,112199,13394,387547
proton,persona,2 generation,2004,2016,sedan,1.6 at,,,5,4447,1725,1438,2600,,,,195/55/r15,,,,1470,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,malaysia,4,,,,,,261954,112199,13394,387547
proton,persona,2 generation,2004,2016,sedan,1.6 mt,,,5,4447,1725,1438,2600,,,,195/55/r15,,,,1470,1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,malaysia,4,,,,,,261954,112199,13394,387547
proton,persona,3 generation,2016,2019,sedan,1.6 cvt,,,5,4387,1722,1554,2555,,,1175,185/55/r15,,,,,,155,,,,,,510,150,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,80,,1597,107,5750,front wheel drive,,,,continuously variable transmission (cvt),6.1,,,,,,,,95,,"semi-independent, spring",drum,disc ventilated,"independent, spring",,b,malaysia,4,,,,,,261954,112199,13394,387547
proton,persona,3 generation,2016,2019,sedan,1.6 mt,,,5,4387,1722,1554,2555,,,1155,185/55/r15,,,,,,155,,,,,,510,150,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,88,"front, cross-section",,4000,80,,1597,107,5750,front wheel drive,,5,,manual,5.6,,,,,,,,95,,"semi-independent, spring",drum,disc ventilated,"independent, spring",,b,malaysia,4,,,,,,261954,112199,13394,387547
