make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
saab,90,1 generation,1984,1987,coupe,2.0 mt,,,5,4344,1675,1429,2465,,,,,,,,1440,1410,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,sweden,2,,,,,,1058882,272639,84128,1415649
saab,90,1 generation,1984,1987,sedan,2.0 mt,sedan,,5,4580,1689,1420,2460,1410,1440,955,,,,,,,,,,,,,,161,carburetor,,inline,4,,gasoline,2,,90,78,,,3500,,,1985,100,5200,front wheel drive,,5,,manual,10,,,46,,,,,92,,torsion beam,disc,disc,"independent, wishbone",,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,cabriolet,2.0 mt,cabriolet,,5,4680,1690,1420,2515,1430,1440,1200,,140,,,,,,1640,,1500,,,650,170,multi-point fuel injection,,inline,4,,gasoline,4,,90,78,,,4200,,,1985,126,6000,front wheel drive,,5,,manual,10,530|900,,63,11,175,12,,95,7,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,cabriolet,2.0 mt,cabriolet,,5,4680,1690,1420,2515,1430,1440,1315,,140,,,,,,1720,,1500,,,650,202,multi-point fuel injection,,inline,4,,gasoline,4,,90,78,,,4200,,,1985,141,5600,front wheel drive,,5,,manual,10,530|900,,63,11,190,12,,95,7,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,cabriolet,2.0 mt,cabriolet,,5,4680,1690,1420,2515,1430,1440,1325,,140,,,,,,1720,,1500,,,650,255,multi-point fuel injection,,inline,4,,gasoline,4,turbo,90,78,,,4200,,,1985,160,5500,front wheel drive,,5,,manual,10,530|900,,63,9,200,12,,95,7,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,cabriolet,2.0 mt,cabriolet,,5,4680,1690,1420,2515,1430,1440,1370,,140,,,,,,1740,,1500,,,650,273,multi-point fuel injection,,inline,4,,gasoline,4,turbo,90,78,,,3400,,,1985,175,5500,front wheel drive,,5,,manual,10,"570|1,050",,63,8,210,11,,95,6,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,cabriolet,2.1 mt,cabriolet,,5,4680,1690,1420,2515,1430,1440,,,140,,,,,,,,1500,,,650,175,multi-point fuel injection,,inline,4,,gasoline,4,,93,78,,,4400,,,2119,136,6000,front wheel drive,,5,,manual,10,530|900,,63,11,185,12,,95,7,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,hatchback,2.0 mt,hatchback,,5,4941,1690,1422,2718,,,1214,,,,,,,,,,,,,,161,carburetor,,inline,4,,gasoline,2,,90,78,,,3500,,,1985,107,5200,front wheel drive,,5,,manual,,,,,,167,,,92,,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,hatchback,2.0 mt,hatchback,,5,4941,1690,1422,2525,1420,1430,1174,,150,,,,,,,,,,,,167,carburetor,,inline,4,,gasoline,2,,90,78,,,3700,,,1985,118,5500,front wheel drive,,4,,manual,,,,58,,169,,,92,,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
saab,900,1 generation,1978,1994,hatchback,2.0 mt,hatchback,,5,4680,1690,1420,2515,1430,1440,1200,,140,,,,,,1790,,1600,,,600,170,multi-point fuel injection,,inline,4,,gasoline,4,,90,78,,,3000,,,1985,126,6000,front wheel drive,,5,,manual,10,490|850,,63,11.5,175,12.9,,95,7.4,helical springs,disc,ventilated disc,wishbone,,,,,,,,,,1058882,272639,84128,1415649
