make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
seat,alhambra,1 generation,1996,2000,minivan,1.9 td mt,minivan,,7,4634,1810,1707,2841,1530,1524,1666,,150,,,,,,2430,,2610,,,256,235,injector,,inline,4,,diesel,2,turbo,79,95,,,1900,,,1896,110,4000,front wheel drive,,6,,manual,6,"880|1,400",,70,16,172,8,,diesel,5,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation,1996,2000,minivan,1.9 td mt,minivan,,7,4620,1810,1730,2835,1510,1505,1678,,150,,,,,,2400,,852,,,256,202,injector,,inline,4,,diesel,2,turbo,79,95,,,1900,,,1896,90,4000,front wheel drive,,6,,manual,,"880|1,400",,70,19.3,160,8,,diesel,5,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation,1996,2000,minivan,2.0 mt,minivan,,7,4620,1810,1730,2835,1510,1505,1638,,150,,,,,,2400,,852,,,256,170,injector,,inline,4,,gasoline,2,,82,92,,,2400,,,1984,115,5400,front wheel drive,,5,,manual,9,440|880,,70,15,177,16,,95,8,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation,1996,2000,minivan,2.8 mt 4wd,minivan,,7,4634,1810,1707,2841,1530,1524,1786,,150,,,,,,2500,,2610,,,256,265,multi-point fuel injection,,v-type,6,,gasoline,4,,81,90,,,3400,,,2792,204,6200,all wheel drive (awd),,6,,manual,11,500|880,,70,10,214,14,,95,8,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,1.8 t mt,minivan,,7,4634,1810,1762,2835,1532,1518,1674,,150,,,,,,2450,,2610,,,256,220,multi-point fuel injection,,inline,4,,gasoline,5,turbo,79,90,,,4600,,,1781,150,5800,front wheel drive,,6,,manual,9,540|960,,70,10,199,13,,95,7.3,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,1.9 td mt,minivan,,7,4634,1810,1762,2841,1530,1524,1680,,150,,,,,,2430,,2610,,,256,310,injector,,inline,4,,diesel,2,turbo,79,95,,,1900,,,1896,115,4000,front wheel drive,,6,,manual,6,"880|1,400",,70,13,181,8,,diesel,5,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,1.9 td mt,minivan,,7,4634,1810,1762,2841,1530,1524,1680,,150,,,,,,2430,,2610,,,256,310,injector,,inline,4,,diesel,2,turbo,79,95,,,1900,,,1896,130,4000,front wheel drive,,6,,manual,6,"880|1,400",,70,12,188,8,,diesel,5,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,1.9 td mt 4wd,minivan,,7,4635,1810,1762,2835,1532,1518,1784,,150,,,,,,2510,,2610,,,256,265,injector,,v-type,6,,diesel,2,turbo,81,90,,,3400,,,1896,115,4000,all wheel drive (awd),,6,,manual,7,"780|1,400",,70,14,178,9,,diesel,5,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,2.0 mt,minivan,,7,4617,1810,1728,2835,1528,1514,1754,,150,,,,,,2400,,1597,,,256,310,injector,,inline,4,,gasoline,2,turbo,79,95,,,1900,,,1984,115,,front wheel drive,,5,,manual,9,"580|1,000",,70,15,177,12,,95,7,tilting lever,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
seat,alhambra,1 generation [redesign],2000,2010,minivan,2.0 tdi mt,minivan,,7,4635,1810,1760,2835,1510,1505,1740,,150,,,,,,2510,,2610,,,255,310,multi-point fuel injection,,inline,4,,diesel,2,turbo,,,,,1900,,,1968,140,4000,front wheel drive,,6,,manual,6.5,"850|1,250",,70,8.5,192,8.2,,diesel,5.6,wishbone,disc,ventilated disc,wishbone,,,,,,,,,,183923,71309,16428,271660
