make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
"skoda 105, 120",skoda,"105, 120",1 generation,1976,1990,sedan 105,1.1 mt,,,5,4160,1595,1400,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czech,4,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation,1976,1983,sedan,1.0 mt,sedan,,5,4160,1595,1400,2400,1320,1290,875,,170,,400,,,,1275,,400,,,400,74,carburetor,,inline,4,,gasoline,2,,68,72,,,3000,,,1046,46,4800,rear wheel drive,,4,11,manual,,480,,38,23,130,7.9,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation,1976,1983,sedan,1.2 mt,sedan,,5,4160,1595,1400,2400,1320,1290,875,,170,,400,,,,1275,,400,,,400,85,carburetor,,inline,4,,gasoline,2,,72,72,,,3000,,,1174,52,5000,rear wheel drive,,4,11,manual,,460,,38,19,140,8.3,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation,1976,1983,sedan,1.2 mt,sedan,,5,4160,1595,1400,2400,1320,1290,885,,170,,400,,,,1285,,400,,,400,90,carburetor,,inline,4,,gasoline,2,,72,72,,,3250,,,1174,58,5200,rear wheel drive,,4,11,manual,,460,,38,17,150,8.3,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation [redesign],1983,1989,sedan,1.0 mt,sedan,,5,4200,1610,1400,2400,1380,1350,902,,170,1975,323,,,,1225,,400,,,400,74,carburetor,,inline,4,,gasoline,2,,68,72,,,3000,,,1046,46,4800,rear wheel drive,,4,11,manual,,410,,38,23,130,9.2,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation [redesign],1983,1989,sedan,1.2 mt,sedan,,5,4200,1610,1400,2400,1380,1350,922,,170,2025,353,,,,1275,,400,,,400,85,carburetor,,inline,4,,gasoline,2,,72,72,,,3000,,,1174,52,5000,rear wheel drive,,4,11,manual,,390,,38,19,140,9.7,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 105/120/130,skoda,105/120/130,1 generation [redesign],1983,1989,sedan,1.2 mt,sedan,,5,4200,1610,1400,2400,1380,1350,922,,170,2035,363,,,,1285,,400,,,400,90,carburetor,,inline,4,,gasoline,2,,72,72,,,3250,,,1174,58,5200,rear wheel drive,,4,11,manual,,400,,38,17,150,9.5,,92,,"independent, multi wishbone, spring, stabilizer bar",drum,disc,"independent, multi wishbone, spring",,,,,,,,,,14655,7524,401,22580
skoda 1200,skoda,1200,1 generation,1952,1973,sedan 1200,1.2 mt,,,5,4500,1680,1520,2685,,,,,,,,1320,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czech,4,,,,,,62306,26882,1590,90778
skoda 1200,skoda,1200,1 generation,1952,1973,wagon 3 doors 1201,1.2 mt,,,5,4500,1680,1520,2685,,,,,,,,1320,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czech,3,,,,,,62306,26882,1590,90778
skoda 1200,skoda,1200,1 generation,1952,1973,wagon 5 doors 1202,1.2 mt,,,5,4500,1680,1520,2685,,,,,,,,1320,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,czech,5,,,,,,62306,26882,1590,90778
