make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
ssangyong korando,ssangyong,korando,1 generation,1996,2006,suv 3 doors,2.2 mt 4wd,,,4,3860,1700,1850,2390,,,,,,,,1270,1310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,south korea,3,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.0 mt 4wd,crossover,,5,4260,1841,1840,2480,1510,1520,1750,,190,,,,,,2515,,1200,,,350,177,multi-point fuel injection,,inline,4,,gasoline,4,,89,78,,,4000,,,1998,126,5600,four wheel drive (4wd),,5,,manual,,510|830,,70,18,154,13.6,,95,8.4,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.0 mt awd,crossover,,5,4260,1841,1840,2480,1510,1520,1750,,190,,,,,,2515,,1200,,,350,177,multi-point fuel injection,,inline,4,,gasoline,4,,89,78,,,4000,,,1998,126,5600,all wheel drive (awd),,5,,manual,,510|830,,70,18,154,13.6,,95,8.4,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.3 d mt 4wd,crossover,,5,4330,1841,1940,2480,1510,1520,1740,,190,,,,,,2515,,1200,,,130,150,multi-point fuel injection,,inline,4,,diesel,2,,89,92,,,2300,,,2299,80,4000,four wheel drive (4wd),,5,,manual,,580|890,,70,25,130,12.1,,diesel,7.9,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.3 d mt awd,crossover,,5,4330,1841,1940,2480,1510,1520,1740,,190,,,,,,2515,,1200,,,130,150,multi-point fuel injection,,inline,4,,diesel,2,,89,92,,,2300,,,2299,80,4000,four wheel drive (4wd),,5,,manual,,580|890,,70,25,130,12.1,,diesel,7.9,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.3 mt 4wd,crossover,,5,4330,1841,1940,2480,1510,1520,1785,,190,,,,,,2515,,1200,,,300,196,multi-point fuel injection,,inline,4,,gasoline,4,,90,88,,,4500,,,2295,140,5300,four wheel drive (4wd),,5,,manual,,510|850,,70,12.5,165,13.8,,95,8.2,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.3 mt awd,crossover,,5,4330,1841,1940,2480,1510,1520,1785,,190,,,,,,2515,,1200,,,300,196,multi-point fuel injection,,inline,4,,gasoline,4,,90,88,,,4500,,,2295,140,5300,all wheel drive (awd),,5,,manual,,510|850,,70,12.5,165,13.8,,95,8.2,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.3 td mt awd,crossover,,5,4260,1841,1840,2480,1510,1520,1750,,190,,,,,,2515,,1200,,,350,205,common rail,,inline,4,,diesel,2,turbo,89,92,,,2400,,present,2299,101,4000,all wheel drive (awd),,5,,manual,,"700|1,170",,70,20,140,10,,diesel,6,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.9 d mt 4wd,crossover,,5,4330,1841,1940,2480,1510,1520,1785,,190,,,,,,2515,,1200,,,300,190,common rail,,inline,5,,diesel,2,,89,92,,,2500,,,2874,95,4100,four wheel drive (4wd),,5,,manual,,540|880,,70,23.4,137,12.9,,diesel,8,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
ssangyong korando,ssangyong,korando,2 generation,1997,2006,hard top suv 3-doors,2.9 d mt awd,crossover,,5,4330,1841,1940,2480,1510,1520,1785,,190,,,,,,2515,,1200,,,300,190,common rail,,inline,5,,diesel,2,,89,92,,,2500,,,2874,95,4100,all wheel drive (awd),,5,,manual,,540|880,,70,23.4,137,12.9,,diesel,8,solid axle,disc,ventilated disc,torsion,,,,,,,,,,6391,2012,337,8740
