make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
subaru brz,subaru,brz,1 generation,2012,2016,coupe,2.0 at,coupe,,4,4240,1775,1425,2570,1520,1540,1258,,120,,,,,,,,368,,,368,205,direct injection,,opposed,4,,gasoline,4,,86,86,,,6600,,present,1998,200,7000,rear wheel drive,,6,10.8,automatic,7.1,520|880,euro v,50,8.2,210,9.6,,95,5.7,"independent, double wishbone",ventilated disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,140,36,17,193
subaru brz,subaru,brz,1 generation,2012,2016,coupe,2.0 mt,coupe,,4,4240,1775,1425,2570,1520,1540,1202,,120,,,,,,1450,,243,,,243,205,direct injection,,opposed,4,,gasoline,4,,86,86,,,6600,,present,1998,200,7000,rear wheel drive,,6,10.8,manual,7.8,480|780,euro v,50,7.6,226,10.4,,95,6.4,"independent, double wishbone",ventilated disc,ventilated disc,"independent, mcpherson struts, spring, stabilizer bar",,,,,,,,,,140,36,17,193
subaru brz,subaru,brz,1 generation [redesign],2016,2020,coupe,2.0 at,coupe,,4,4240,1775,1320,2570,1520,1540,1270,,130,,,,,,1490,,,,,,205,direct injection,,opposed,4,,gasoline,4,,86,86,,,6600,,,1998,200,7000,rear wheel drive,,6,10.8,automatic,8.1,,,50,,,,,98,,"double wishbone, stabilizer bar",ventilated disc,ventilated disc,"strut, stabilizer bar",,,,,,,,,,140,36,17,193
subaru brz,subaru,brz,1 generation [redesign],2016,2020,coupe,2.0 mt,coupe,,4,4240,1775,1320,2570,1520,1540,1250,,130,,,,,,1470,,,,,,212,direct injection,,opposed,4,,gasoline,4,,86,86,,,6800,,,1998,207,7000,rear wheel drive,,6,10.4,manual,8.5,,,50,,,,,98,,"double wishbone, stabilizer bar",ventilated disc,ventilated disc,"strut, stabilizer bar",,,,,,,,,,140,36,17,193
subaru brz,subaru,brz,2 generation,2020,2020,coupe,2.4 at,,,4,4264,1775,1311,2575,,,,215/45/r17  215/40/r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,japan,2,,,,,,140,36,17,193
subaru brz,subaru,brz,2 generation,2020,2020,coupe,2.4 mt,,,4,4264,1775,1311,2575,,,,215/45/r17  215/40/r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,japan,2,,,,,,140,36,17,193
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 at,crossover,,5,4450,1735,1595,2525,1475,1450,1295,,190,3400,605,,,,1900,,1528,,,409,176,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,4000,,,1994,122,5600,all wheel drive (awd),,4,10.8,automatic,9.3,490|790,euro iii,60,12.1,166,12.2,,95,7.6,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 at,crossover,,5,4450,1735,1595,2525,1475,1450,1320,,190,3375,555,,,,1875,,1528,,,409,184,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,3600,,,1994,125,5600,all wheel drive (awd),,4,10.8,automatic,9.2,490|800,euro iii,60,12.4,167,12.2,,95,7.5,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 at,crossover,,5,4450,1735,1580,2525,1480,1455,1400,,180,3755,555,,,,1955,,1528,,,409,240,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,92,75,,,3200,,,1994,170,5600,all wheel drive (awd),,4,10.8,automatic,10.5,430|710,euro iii,60,9.3,189,14,,95,8.5,"independent, double wishbone, spring",disc,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1595,2525,1475,1450,1280,,190,3390,610,,,,1890,,1528,,,409,176,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,4000,,,1994,122,5600,all wheel drive (awd),,5,10.8,manual,9.2,510|780,euro iii,60,10.8,178,11.7,,95,7.7,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1595,2525,1475,1450,1305,,190,3360,555,,,,1860,,1528,,,409,184,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,3600,,,1994,125,5600,all wheel drive (awd),,5,10.8,manual,9,500|810,euro iii,60,11.4,179,11.9,,95,7.4,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1580,2525,1480,1455,1380,,180,3735,555,,,,1935,,1528,,,409,240,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,92,75,,,3200,,,1994,170,5600,all wheel drive (awd),,5,10.8,manual,9.9,470|730,euro iii,60,8.4,198,12.8,,95,8.2,"independent, double wishbone, spring",disc,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.5 at,crossover,,5,4450,1735,1595,2525,1475,1450,1442,,190,,,,,,,,1528,,,409,225,multi-point fuel injection,,opposed,4,,gasoline,4,,99,79,,,4000,,,2457,165,5600,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,crossover 5-doors,2.5 mt,crossover,,5,4450,1735,1595,2525,1475,1450,1406,,190,,,,,,,,1528,,,409,225,multi-point fuel injection,,opposed,4,,gasoline,4,,99,79,,,4000,,,2457,165,5600,all wheel drive (awd),,5,10.8,manual,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 at,crossover,,5,4450,1735,1595,2525,1475,1450,1310,,200,,,,,,,,1528,,,409,181,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,4000,,,1994,135,5600,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 at,crossover,,5,4450,1735,1595,2525,1475,1450,1350,,200,,,,,,,,1528,,,409,186,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,3600,,,1994,137,5600,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 at,crossover,,5,4450,1735,1580,2525,1475,1455,1410,,200,,275,,,,1685,,1528,,,409,309,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,92,75,,,4000,,,1994,240,6000,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, multi wishbone, mcpherson struts",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 at,crossover,,5,4450,1735,1580,2525,1475,1455,1380,,200,,275,,,,1655,,1528,,,409,309,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,,,,,4000,,,1994,250,6250,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, multi wishbone, mcpherson struts",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1595,2525,1475,1450,1300,,200,,,,,,,,1528,,,409,181,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,4000,,,1994,135,5600,all wheel drive (awd),,5,10.8,manual,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1595,2525,1475,1450,1340,,200,,,,,,,,1528,,,409,186,multi-point fuel injection,,opposed,4,,gasoline,4,,92,75,,,3600,,,1994,137,5600,all wheel drive (awd),,5,10.8,manual,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1580,2525,1475,1455,1390,,200,,275,,,,1665,,1528,,,409,309,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,92,75,,,4000,,,1994,240,6000,all wheel drive (awd),,5,10.8,manual,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, multi wishbone, mcpherson struts",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.0 mt,crossover,,5,4450,1735,1580,2525,1475,1455,1350,,200,,275,,,,1625,,1528,,,409,309,multi-point fuel injection,,opposed,4,,gasoline,4,turbo,,,,,4000,,,1994,250,6250,all wheel drive (awd),,5,10.8,manual,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, multi wishbone, mcpherson struts",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,jp-spec crossover 5-doors,2.5 at,crossover,,5,4450,1735,1580,2525,1475,1455,1410,,200,,275,,,,1685,,1528,,,409,235,multi-point fuel injection,,opposed,4,,gasoline,4,,,,,,2800,,,2457,167,6000,all wheel drive (awd),,4,10.8,automatic,,,euro iii,60,,,,,95,,"independent, double wishbone, spring",drum,ventilated disc,"independent, mcpherson struts, spring",,,,,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,wagon 5 doors,2.0 at 4wd,,,5,4460,1735,1580,2525,,,1380,205/70/r15,,,,1470,1480,190,1860,,1525,,,406,176,distributed injection (multipoint),,opposed,4,10,petrol,4,none,92,75,"front, longitudinal",,4000,90,,1994,122,5600,full,,4,,automatic,9.4,,,60,10.9,178,11.5,,95,8.3,"independent, spring",drum,disc ventilated,"independent, spring",,j,japan,5,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,wagon 5 doors,2.0 at 4wd,,,5,4460,1735,1580,2525,,,1320,205/70/r15,,,,1470,1480,190,1875,,1525,,,406,184,distributed injection (multipoint),,opposed,4,10,petrol,4,none,92,75,"front, longitudinal",,3600,92,,1994,125,5600,full,,4,,automatic,9.2,,,60,12.4,166,12.2,,95,7.5,"independent, spring",drum,disc ventilated,"independent, spring",,j,japan,5,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,wagon 5 doors,2.0 at 4wd,,,5,4460,1735,1580,2525,,,1350,205/70/r15,,,,1470,1480,190,1860,,1525,,,406,187,distributed injection (multipoint),,opposed,4,10,petrol,4,none,92,75,"front, longitudinal",,4400,101,,1994,138,5600,full,,4,,automatic,8.6,,,60,,,,,95,,"independent, spring",drum,disc ventilated,"independent, spring",,j,japan,5,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,wagon 5 doors,2.0 at 4wd,,,5,4460,1735,1580,2525,,,1400,215/60/r16,,,,1470,1480,195,1935,,1525,,,406,240,distributed injection (multipoint),,opposed,4,"8,5",petrol,4,turbine,92,75,"front, longitudinal",,3200,125,,1994,170,5600,full,,4,,automatic,10.5,,,60,9.3,189,14,,95,8.5,"independent, spring",disc,disc ventilated,"independent, spring",,j,japan,5,,,,,,146204,58812,15429,220445
subaru forester,subaru,forester,1 generation,1997,2000,wagon 5 doors,2.0 at 4wd,,,5,4460,1735,1580,2525,,,1380,205/70/r15,,,,1470,1480,190,1860,,1525,,,406,245,distributed injection (multipoint),,opposed,4,8,petrol,4,turbine,92,75,"front, longitudinal",,3200,130,,1994,177,5600,full,,4,,automatic,10.5,,,60,9.3,189,14,,95,8.5,"independent, spring",drum,disc ventilated,"independent, spring",,j,japan,5,,,,,,146204,58812,15429,220445
