make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
suzuki alto,suzuki,alto,1 generation,1979,1984,hatchback 3-doors,0.8 mt,hatchback,,5,3300,1420,1340,2150,,,616,,,,,,,,930,,,,,,59,carburetor,,inline,3,,gasoline,2,,68,72,,,3000,,,786,40,5500,front wheel drive,,4,8.8,manual,6.8,,,27,21.9,125,,,92,,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,1 generation,1979,1984,hatchback 5-doors,0.8 mt,hatchback,,5,3300,1420,1340,2150,,,622,,,,,,,,930,,,,,,59,carburetor,,inline,3,,gasoline,2,,68,72,,,3000,,,786,40,5500,front wheel drive,,4,8.8,manual,6.8,,,27,21.9,125,,,92,,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback,0.7 at,hatchback,,5,3395,1475,1450,2360,1295,1290,650,,,,,,,,870,,,,,,61,multi-point fuel injection,,inline,3,,gasoline,4,,68,60,,,4000,,,658,55,6500,front wheel drive,,4,,automatic,,,,30,,,,,95,,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback,0.7 mt,hatchback,,5,3395,1475,1450,2360,1295,1290,680,,,,,,,,900,,,,,,57,multi-point fuel injection,,inline,3,,gasoline,4,,68,60,,,1290,,,658,46,6000,front wheel drive,,5,,manual,,,,30,,,,,80,,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback,0.7 mt,hatchback,,5,3395,1475,1450,2360,1295,1290,650,,,,,,,,870,,,,,,61,multi-point fuel injection,,inline,3,,gasoline,4,,68,60,,,4000,,,658,54,6500,front wheel drive,,5,,manual,,,,30,,,,,95,,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback,1.1 at,hatchback,,5,3495,1475,1455,2360,1295,1290,805,,,,,,,,1165,,725,,,177,85,multi-point fuel injection,,inline,4,,gasoline,4,,68,72,,,3200,,,1061,62,6000,front wheel drive,,4,,automatic,5.9,510|740,,35,,150,6.9,,95,4.7,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback,1.1 mt,hatchback,,5,3495,1475,1455,2360,1295,1290,805,,,,,,,,1165,,725,,,177,85,multi-point fuel injection,,inline,4,,gasoline,4,,68,72,,,3200,,,1061,62,6000,front wheel drive,,5,,manual,5.4,540|810,,35,,155,6.5,,95,4.3,helical springs,drum,disc,helical springs,,,,,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback 3 doors,0.7 at 4wd,,,4,3395,1475,1450,2360,,,,155/65/r13,,,,1290,1295,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback 3 doors,0.7 mt,,,4,3395,1475,1450,2360,,,,,,,,1290,1295,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback 3 doors,0.7 mt 4wd,,,4,3395,1475,1450,2360,,,,155/65/r13,,,,1290,1295,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback 3 doors,1.0 at,,,4,3395,1475,1450,2360,,,,145/70/r13,,,,1290,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,5 generation,1998,2020,hatchback 3 doors,1.0 mt,,,4,3395,1475,1450,2360,,,,145/70/r13,,,,1290,1295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt  4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt  4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt  4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt  4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.6 mt  4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 at,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 at 4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 mt 4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 mt 4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
suzuki alto,suzuki,alto,cl11,1988,1994,hatchback 3-doors works,0.7 mt 4wd,,,4,3195,1395,1500,2335,,,,,,,,1200,1220,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,japan,3,,,,,,166174,228418,33980,428572
