make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
toyota 2000gt,toyota,2000gt,1 generation,1967,1970,coupe,2.0 mt,,,2,4175,1600,1160,2330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japan,2,,,,,,211,46,21,278
toyota altezza,toyota,altezza,xe10,1998,2005,gita wagon,2.0 at,wagon,,5,4505,1725,1420,2670,1495,1485,1360,,135,,,,,,,,617,,,617,200,multi-point fuel injection,,inline,6,,gasoline,4,,75,75,,,4400,,,1988,160,6200,rear wheel drive,,4,10.2,automatic,,,,60,,,,,92,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,gita wagon,2.0 at 4wd,wagon,,5,4505,1725,1435,2670,1490,1480,1460,,135,,,,,,,,617,,,617,200,multi-point fuel injection,,inline,6,,gasoline,4,,75,75,,,4400,,,1988,160,6200,all wheel drive (awd),,4,11.2,automatic,,,,60,,,,,92,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,gita wagon,2.0 mt,wagon,,5,4505,1725,1420,2670,1495,1485,1350,,135,,,,,,,,617,,,617,200,multi-point fuel injection,,inline,6,,gasoline,4,,75,75,,,4400,,,1988,160,6200,rear wheel drive,,6,10.2,manual,,,,60,,,,,92,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,gita wagon,3.0 at,wagon,,5,4505,1725,1420,2670,1495,1475,1470,,135,,,,,,,,617,,,617,294,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,3800,,,2997,220,5800,rear wheel drive,,5,10.2,automatic,,,,60,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,gita wagon,3.0 at 4wd,wagon,,5,4505,1725,1435,2670,1490,1480,1530,,135,,,,,,,,617,,,617,294,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,3800,,,2997,220,5800,all wheel drive (awd),,4,11.2,automatic,,,,60,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,sedan,2.0 at,sedan,,5,4400,1720,1410,2670,1495,1485,1310,,135,,,,,,,,286,,,286,200,multi-point fuel injection,,inline,6,,gasoline,4,,75,75,,,4400,,,1988,160,6200,rear wheel drive,,4,10.2,automatic,,,,60,,,,,92,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,sedan,2.0 at,sedan,,5,4400,1720,1410,2670,1495,1485,1330,,135,,,,,,,,286,,,286,216,multi-point fuel injection,,inline,4,,gasoline,4,,86,86,,,4800,,,1998,200,7000,rear wheel drive,,5,10.2,automatic,,,,60,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,sedan,2.0 mt,sedan,,5,4400,1720,1410,2670,1495,1485,1300,,135,,,,,,,,286,,,286,200,multi-point fuel injection,,inline,6,,gasoline,4,,75,75,,,4400,,,1988,160,6200,rear wheel drive,,6,10.2,manual,9.8,440|770,,60,,215,13.6,,92,7.8,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota altezza,toyota,altezza,xe10,1998,2005,sedan,2.0 mt,sedan,,5,4400,1720,1410,2670,1495,1485,1340,,135,,,,,,,,286,,,286,216,multi-point fuel injection,,inline,4,,gasoline,4,,86,86,,,6400,,,1998,210,7600,rear wheel drive,,6,10.2,manual,,,,60,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,1279,239,60,1578
toyota aristo,toyota,aristo,s14,1991,1994,sedan,3.0 at,sedan,,5,4865,1795,1420,2780,1535,1510,1580,,150,,,,,,,,404,,,404,284,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,4800,,,2997,230,6000,rear wheel drive,,4,11,automatic,9.3,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s14,1991,1994,sedan,3.0 twin-turbo at,sedan,,5,4865,1795,1420,2780,1535,1510,1680,,150,,,,,,,,404,,,404,"431,5",multi-point fuel injection,,inline,6,,gasoline,4,biturbo,86,86,,,3600,,present,2997,280,5600,rear wheel drive,,4,11,automatic,9.6,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s14,1991,1994,sedan,4.0 at 4wd,sedan,,5,4865,1795,1405,2780,1535,1520,1740,,135,,,,,,,,404,,,404,353,multi-point fuel injection,,v-type,8,,gasoline,4,,87,82,,,4600,,,3968,260,5400,all wheel drive (awd),,4,11.2,automatic,,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s14 [redesign],1994,1997,sedan,3.0 at,sedan,,5,4920,1795,1420,2780,1535,1510,1570,,150,,,,,,,,404,,,404,284,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,4800,,,2997,230,6000,rear wheel drive,,4,11,automatic,9.3,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s14 [redesign],1994,1997,sedan,3.0 twin-turbo at,sedan,,5,4920,1795,1420,2780,1535,1510,1680,,150,,,,,,,,404,,,404,"431,5",multi-point fuel injection,,inline,6,,gasoline,4,biturbo,86,86,,,3600,,present,2997,280,5600,rear wheel drive,,4,11,automatic,9.6,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s14 [redesign],1994,1997,sedan,4.0 at 4wd,sedan,,5,4920,1795,1405,2780,1535,1520,1740,,135,,,,,,,,404,,,404,353,multi-point fuel injection,,v-type,8,,gasoline,4,,87,82,,,4600,,,3968,260,5400,all wheel drive (awd),,4,11.2,automatic,,,,80,,,,,95,,"independent, double wishbone, spring",ventilated disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s140,1991,1997,sedan,3.0 at,,,5,4865,1795,1150,2780,,,1580,,,,,1510,1535,150,,,,,,404,284,distributed injection (multipoint),,inline,6,10,petrol,4,none,86,86,"front, longitudinal",,4800,169,,2997,230,6000,rear wheel drive,,4,,automatic,12.8,,,80,,,,,95,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s140,1991,1997,sedan,3.0 at,,,5,4865,1795,1150,2780,,,1680,,,,,1510,1535,150,,,,,,404,431,distributed injection (multipoint),,inline,6,"8,5",petrol,4,turbine,86,86,"front, longitudinal",,3600,206,,2997,280,5600,rear wheel drive,,4,,automatic,14,,,80,,,,,95,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s140,1991,1997,sedan,3.0 at,,,5,4865,1795,1150,2780,,,1680,225/55/r15,,,,1510,1535,150,1955,,,,,404,427,distributed injection (multipoint),,inline,6,"8,5",petrol,4,turbine,86,86,,,4000,238,,2997,324,5600,rear wheel drive,,4,,automatic,9.6,,,80,,,,,95,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s140,1991,1997,sedan,4.0 at 4wd,,,5,4865,1795,1150,2780,,,1750,215/60/r16,,,,1510,1535,150,,,,,,404,353,distributed injection (multipoint),,v-type,8,10,petrol,4,,87,82,,,4600,191,,3968,260,5400,full,,4,,automatic,13.7,,,80,,,,,95,,"independent, spring",disc ventilated,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s16,1997,2000,sedan,3.0 at,sedan,,5,4805,1800,1435,2800,1535,1515,1600,,150,,,,,,,,515,,,515,304,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,4000,,,2997,230,6000,rear wheel drive,,4,11,automatic,,,,75,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s16,1997,2000,sedan,3.0 twin-turbo at,sedan,,5,4805,1800,1435,2800,1535,1515,1680,,150,,,,,,,,515,,,515,"431,5",multi-point fuel injection,,inline,6,,gasoline,4,biturbo,86,86,,,3600,,present,2997,280,5600,rear wheel drive,,4,11,automatic,,,,75,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s16 [redesign],2000,2004,sedan,3.0 at,sedan,,5,4805,1800,1435,2800,1535,1515,1610,,150,,,,,,,,515,,,515,304,multi-point fuel injection,,inline,6,,gasoline,4,,86,86,,,4000,,,2997,230,6000,rear wheel drive,,5,11,automatic,,,,75,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s16 [redesign],2000,2004,sedan,3.0 twin-turbo at,sedan,,5,4805,1800,1435,2800,1535,1515,1680,,150,,,,,,,,515,,,515,"431,5",multi-point fuel injection,,inline,6,,gasoline,4,biturbo,86,86,,,3600,,present,2997,280,5600,rear wheel drive,,4,11,automatic,,,,75,,,,,95,,"independent, double wishbone, spring",disc,ventilated disc,"independent, double wishbone, spring",,,,,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s160,1997,2004,sedan,3.0 at,,,5,4805,1800,1180,2800,,,1680,225/55/r16,,,,1515,1535,150,1955,,,,,515,284,distributed injection (multipoint),,inline,6,10,petrol,4,none,86,86,,,4800,165,,2997,225,6000,rear wheel drive,,4,,automatic,11.4,,,75,,,,,95,,"independent, spring",disc,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s160,1997,2004,sedan,3.0 at,,,5,4805,1800,1180,2800,,,1610,225/55/r16,,,,1515,1535,150,,,,,,515,304,distributed injection (multipoint),,inline,6,"10,5",petrol,4,none,86,86,"front, longitudinal",,4000,169,,2997,230,6000,rear wheel drive,,5,,automatic,10.6,,,75,,,,,95,,"independent, spring",disc,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota aristo,toyota,aristo,s160,1997,2004,sedan,3.0 at,,,5,4805,1800,1180,2800,,,1680,235/45/r17,,,,1515,1535,150,,,,,,515,451,distributed injection (multipoint),,inline,6,"8,5",petrol,4,turbine,86,86,"front, longitudinal",,3600,206,,2997,280,5600,rear wheel drive,,4,,automatic,11.3,,,75,5.9,,,,98,,"independent, spring",disc,disc ventilated,"independent, spring",,e,japan,4,,,,,,71,7,1,79
toyota auris,toyota,auris,1 generation,2006,2009,hatchback 3-doors,1.33 mt,hatchback,,5,4220,1760,1515,2600,1524,1522,1220,,,2720,500,,,,1720,,777,,,354,132,multi-point fuel injection,,inline,4,,gasoline,4,,72,80,,,3800,,,1329,101,6000,front wheel drive,,6,11,manual,5.8,"790|1,100",euro iv,55,13.1,175,7,,95,5,"semi-dependent, torsion beam",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,200051,121761,18987,340799
toyota auris,toyota,auris,1 generation,2006,2009,hatchback 3-doors,1.4 d-4d 6mmt,hatchback,,5,4220,1760,1515,2600,1536,1533,1315,,,2760,445,,,,1760,,777,,,354,205,common rail,,inline,4,,diesel,2,turbo,73,81,,,3000,,present,1364,90,3800,front wheel drive,,6,11,robot,4.7,"960|1,310",euro iv,55,14.7,175,5.7,,diesel,4.2,"semi-dependent, torsion beam",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,200051,121761,18987,340799
toyota auris,toyota,auris,1 generation,2006,2009,hatchback 3-doors,1.4 d-4d 6mt,hatchback,,5,4220,1760,1515,2600,1536,1533,1260,,,2760,500,,,,1760,,777,,,354,205,common rail,,inline,4,,diesel,2,turbo,73,81,,,3000,,present,1364,90,3800,front wheel drive,,6,11,manual,4.7,"980|1,310",euro iv,55,11.9,175,5.6,,diesel,4.2,"semi-dependent, torsion beam",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,200051,121761,18987,340799
toyota auris,toyota,auris,1 generation,2006,2009,hatchback 3-doors,1.4 d-4d mmt,hatchback,,5,4220,1760,1515,2600,1533,1536,1315,,,2760,445,,,,1760,,1190,,,354,190,common rail,,inline,4,,diesel,2,turbo,73,81,,,3000,,present,1364,90,3800,front wheel drive,,5,11,robot,5,"950|1,220",euro iv,55,14.7,175,5.8,,diesel,4.5,"semi-dependent, torsion beam",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,200051,121761,18987,340799
toyota auris,toyota,auris,1 generation,2006,2009,hatchback 3-doors,1.4 d-4d mt,hatchback,,5,4220,1760,1515,2600,1533,1536,1260,,,2760,500,,,,1760,,1190,,,354,190,common rail,,inline,4,,diesel,2,turbo,73,81,,,3000,,present,1364,90,3800,front wheel drive,,5,11,manual,5,"950|1,220",euro iv,55,12,175,5.8,,diesel,4.5,"semi-dependent, torsion beam",disc,ventilated disc,"independent, mcpherson struts",,,,,,,,,,200051,121761,18987,340799
