make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
triumph acclaim,triumph,acclaim,1 generation,1981,1984,sedan,1.3 at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153009,72333,4834,230176
triumph acclaim,triumph,acclaim,1 generation,1981,1984,sedan,1.3 mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153009,72333,4834,230176
triumph spitfire,triumph,spitfire,2 generation,1965,1967,roadster,1.2 mt,,,2,3683,1448,1207,2108,,,,,,,,1219,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,73183,18057,3431,94671
triumph spitfire,triumph,spitfire,3 generation,1967,1970,roadster,1.3 mt,,,2,3734,1448,1207,2108,,,,,,,,1245,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,73183,18057,3431,94671
triumph stag,triumph,stag,1 generation,1970,1977,cabriolet,3.0 mt,,,4,4394,1613,1257,2540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,64517,9478,2255,76250
triumph tr4,triumph,tr4,1 generation,1965,1967,roadster tr4a,2.1 mt,,,2,3960,1470,1270,2240,,,,,,,,1232,1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,26046,1359,1010,28415
triumph tr6,triumph,tr6,1 generation,1968,1976,roadster,2.5 mt,,,2,3950,1550,1270,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,45002,2835,1885,49722
triumph tr6,triumph,tr6,1 generation,1968,1976,roadster,2.5 mt,,,2,3950,1550,1270,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,45002,2835,1885,49722
triumph tr6,triumph,tr6,1 generation,1968,1976,roadster,2.5 mt,,,2,3950,1550,1270,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great britain,2,,,,,,45002,2835,1885,49722
triumph tr7,triumph,tr7,1 generation,1975,1981,coupe,2.0 at,,,2,4064,1575,1270,2159,,,,,,,,1410,1410,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,26592,4881,1192,32665
triumph tr7,triumph,tr7,1 generation,1975,1981,coupe,2.0 mt,,,2,4064,1575,1270,2159,,,,,,,,1410,1410,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,26592,4881,1192,32665
triumph tr7,triumph,tr7,1 generation,1975,1981,roadster,2.0 at,,,2,4064,1575,1270,2159,,,,,,,,1410,1410,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,26592,4881,1192,32665
triumph tr7,triumph,tr7,1 generation,1975,1981,roadster,2.0 mt,,,2,4064,1575,1270,2159,,,,,,,,1410,1410,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,26592,4881,1192,32665
triumph tr8,triumph,tr8,1 generation,1980,1981,roadster,3.5 mt,,,2,4067,1681,1267,2160,,,,,,,,1397,1410,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,great britain,2,,,,,,425,15,27,467
