make_model,make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
volkswagen 181,volkswagen,181,1 generation,1969,1979,cabriolet,1.5 mt,,,4,3780,1640,1620,2400,,,,,,,,1380,1350,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,germany,4,,,,,,231,21,8,260
volkswagen 181,volkswagen,181,1 generation,1969,1979,cabriolet,1.6 mt,,,4,3780,1640,1620,2400,,,,,,,,1380,1350,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,germany,4,,,,,,231,21,8,260
volkswagen 181,volkswagen,181,1 generation,1969,1979,cabriolet,1.6 mt,,,4,3780,1640,1620,2400,,,,,,,,1380,1350,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,germany,4,,,,,,231,21,8,260
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,cabriolet,1.1 mt,cabriolet,,4,4070,1550,1550,2400,1290,1250,800,,,,,,,,,,140,,,140,67,carburetor,,opposed,4,,gasoline,2,,75,64,,,2000,,,1131,25,3300,rear wheel drive,,4,,manual,,,,40,50,105,,,80,,"semi-dependent, trailing arms, transverse torsion bars",drum,drum,torsion,,,,,,,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.4 mt,,,4,4081,1724,1498,2508,,,1160,195/65/r15,,,,1494,1508,130,1620,,,,,210,126,distributed injection (multipoint),,inline,4,10,petrol,4,none,76,75,,,3800,55,,1390,75,5000,front wheel drive,,5,,manual,7,,,55,14.6,161,9.5,,95,5.8,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.6 at,,,4,4081,1724,1498,2508,,,1290,195/65/r15,,,,1494,1508,130,1620,,,,,210,148,distributed injection (multipoint),,inline,4,"10,5",petrol,2,none,81,77,,,3800,75,,1595,102,5600,front wheel drive,,4,,automatic,8.3,,,55,13.2,175,11.5,,95,6.5,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.6 mt,,,4,4081,1724,1498,2508,,,1205,195/65/r15,,,,1494,1508,130,1630,,,,,210,145,distributed injection (multipoint),,inline,4,10,petrol,2,none,81,77,,,3800,74,,1595,100,5600,front wheel drive,,5,,manual,7.5,,,55,11,178,11.1,,95,6.3,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.6 mt,,,4,4081,1724,1498,2508,,,1205,195/65/r15,,,,1494,1508,130,1620,,,,,210,148,distributed injection (multipoint),,inline,4,"10,5",petrol,2,none,81,77,,,3800,75,,1595,102,5600,front wheel drive,,5,,manual,7.5,,,55,11.6,179,10.3,,95,5.9,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.8 at,,,4,4081,1724,1498,2508,,,1290,205/55/r16,,,,1494,1508,109,1680,,,,,210,220,distributed injection (multipoint),,inline,4,"9,5",petrol,5,turbine,81,86,,,1750,110,,1781,150,5800,front wheel drive,,5,,automatic,9,,,55,9.5,199,12.8,,95,6.9,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
volkswagen beetle,volkswagen,beetle,1 generation,1946,1953,hatchback 3 doors,1.8 mt,,,4,4081,1724,1498,2508,,,1290,205/55/r16,,,,1494,1508,109,1680,,,,,210,220,distributed injection (multipoint),,inline,4,"9,5",petrol,5,turbine,81,86,,,1750,110,,1781,150,5800,front wheel drive,,5,,manual,8.3,,,55,9,203,11.1,,95,6.3,"independent, spring",disc,disc ventilated,"independent, spring",,c,germany,3,05-Apr,euroncap,,,,291074,526182,51977,869233
