make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h,male,female,unknown,total
volvo,164,1 generation,1968,1974,sedan,2.9 mt,,,5,4710,1730,1440,2720,,,,,,,,1350,1350,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,sweden,4,,,,,,2062,235,98,2395
volvo,164,1 generation,1968,1974,sedan,2.9 mt,,,5,4710,1730,1440,2720,,,,,,,,1350,1350,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,sweden,4,,,,,,2062,235,98,2395
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.0 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1250,,,,530,,,,1780,,615,,,615,152,carburetor,,inline,4,,gasoline,2,,88,80,,,2500,,,1986,90,5000,rear wheel drive,,4,9.8,manual,,,,60,15.5,150,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,100,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,103,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,107,5500,rear wheel drive,,4,9.8,manual,11.2,440|710,,60,12.9,171,13.6,,92,8.5,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,injector,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,125,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,97,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.1 turbo mt,sedan,,4,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,245,injector,,inline,4,,gasoline,2,turbo,92,80,,,3750,,,2127,155,5500,rear wheel drive,,5,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 at,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,133,5750,rear wheel drive,,3,9.8,automatic,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 at,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,138,5750,rear wheel drive,,3,9.8,automatic,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 at,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,142,5750,rear wheel drive,,3,9.8,automatic,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 mt,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,133,5750,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 mt,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,138,5750,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.3 mt,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,191,injector,,inline,4,,gasoline,2,,,,,,4500,,,2316,142,5750,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.4 d mt,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,140,multi-point fuel injection,,inline,6,,diesel,2,,76,86,,,2800,,,2383,82,4800,rear wheel drive,,4,9.8,manual,,,,60,,,,,diesel,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,242 sedan 2-doors,2.7 mt,sedan,,4,4897,1707,1435,2640,1420,1350,,,,,,,,,,,615,,,615,204,injector,,v-type,6,,gasoline,2,,88,73,,,3000,,,2664,140,6000,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,244 sedan 4-doors,2.0 mt,sedan,,5,4897,1707,1435,2640,1420,1350,1250,,,,530,,,,1780,,615,,,615,152,carburetor,,inline,4,,gasoline,2,,88,80,,,2500,,,1986,90,5000,rear wheel drive,,4,9.8,manual,,,,60,15.5,150,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,244 sedan 4-doors,2.1 mt,sedan,,5,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,100,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,244 sedan 4-doors,2.1 mt,sedan,,5,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,103,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,244 sedan 4-doors,2.1 mt,sedan,,5,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,carburetor,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,107,5500,rear wheel drive,,4,9.8,manual,11.2,440|710,,60,12.9,171,13.6,,92,8.5,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
volvo,240,1 generation,1974,1993,244 sedan 4-doors,2.1 mt,sedan,,5,4897,1707,1435,2640,1420,1350,1290,,,,,,,,,,615,,,615,170,injector,,inline,4,,gasoline,2,,92,80,,,2500,,,2127,125,5500,rear wheel drive,,4,9.8,manual,,,,60,,,,,92,,,disc,disc,"independent, mcpherson struts, dampers, helical springs",,,,,,,,,,528061,119813,29542,677416
